source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Reach,1913,Canadian League,acheson,B00718,Acheson,,0,Berlin,,,10,,
minoraverages/1914Reach,1913,Canadian League,acheson,F20713,Acheson,,0,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,auld,B01313,Auld,,0,Berlin,,,31,,
minoraverages/1914Reach,1913,Canadian League,auld,F21319,Auld,,0,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,auld,P10228,Auld,,0,Berlin,,,,25,
minoraverages/1914Reach,1913,Canadian League,baker,B01162,Baker,,0,St. Thomas,,,27,,
minoraverages/1914Reach,1913,Canadian League,baker,F21163,Baker,,0,St. Thomas,,,,,
minoraverages/1914Reach,1913,Canadian League,baker,P10176,Baker,,0,St. Thomas,,,,29,
minoraverages/1914Reach,1913,Canadian League,barney,B01093,Barney,,0,St. Thomas,,,20,,
minoraverages/1914Reach,1913,Canadian League,barney,F21092,Barney,,0,St. Thomas,,,,,
minoraverages/1914Reach,1913,Canadian League,barton,B00667,Barton,,1,Hamilton,,,,,
minoraverages/1914Reach,1913,Canadian League,barton,B00667,Barton,,2,St. Thomas,,,,,
minoraverages/1914Reach,1913,Canadian League,barton,B00667,Barton,,T,,,,79,,
minoraverages/1914Reach,1913,Canadian League,barton,F20661,Barton,,1,Hamilton,,,,,
minoraverages/1914Reach,1913,Canadian League,barton,F20661,Barton,,2,St. Thomas,,,,,
minoraverages/1914Reach,1913,Canadian League,barton,F20661,Barton,,T,,,,,,
minoraverages/1914Reach,1913,Canadian League,beard,B01415,Beard,,1,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,beard,B01415,Beard,,2,Guelph,,,,,
minoraverages/1914Reach,1913,Canadian League,beard,B01415,Beard,,T,,,,8,,
minoraverages/1914Reach,1913,Canadian League,beard,F21416,Beard,,1,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,beard,F21416,Beard,,2,Guelph,,,,,
minoraverages/1914Reach,1913,Canadian League,beard,F21416,Beard,,T,,,,,,
minoraverages/1914Reach,1913,Canadian League,beebe,B01321,Beebe,,0,London,,,13,,
minoraverages/1914Reach,1913,Canadian League,beebe,F21324,Beebe,,0,London,,,,,
minoraverages/1914Reach,1913,Canadian League,beebe,P10100,Beebe,,0,London,,,,14,
minoraverages/1914Reach,1913,Canadian League,behan,B00794,Behan,,0,Guelph,,,103,,
minoraverages/1914Reach,1913,Canadian League,behan,F20792,Behan,,0,Guelph,,,,,
minoraverages/1914Reach,1913,Canadian League,belding,B01135,Belding,,0,Peterboro,,,24,,
minoraverages/1914Reach,1913,Canadian League,belding,F21130,Belding,,0,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,belding,P10113,Belding,,0,Peterboro,,,,25,
minoraverages/1914Reach,1913,Canadian League,beltz,B00961,Beltz,,0,Berlin,,,74,,
minoraverages/1914Reach,1913,Canadian League,beltz,F20962,Beltz,,0,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,bickers,B00319,Bickers,,0,Guelph,,,5,,
minoraverages/1914Reach,1913,Canadian League,bickers,F20316,Bickers,,0,Guelph,,,,,
minoraverages/1914Reach,1913,Canadian League,bickers,P10137,Bickers,,0,Guelph,,,,6,
minoraverages/1914Reach,1913,Canadian League,bierbauer,B00125,Bierbauer,,0,London,,,106,,
minoraverages/1914Reach,1913,Canadian League,bierbauer,F20128,Bierbauer,,0,London,,,,,
minoraverages/1914Reach,1913,Canadian League,boldt,P10019,Boldt,,0,London,,,,5,
minoraverages/1914Reach,1913,Canadian League,bradshaw,B00747,Bradshaw,,0,Berlin,,,39,,
minoraverages/1914Reach,1913,Canadian League,bradshaw,F20745,Bradshaw,,0,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,bradshaw,P10486,Bradshaw,,0,Berlin,,,,28,
minoraverages/1914Reach,1913,Canadian League,brady,B00760,Brady,,0,Guelph,,,33,,
minoraverages/1914Reach,1913,Canadian League,brady,F20768,Brady,,0,Guelph,,,,,
minoraverages/1914Reach,1913,Canadian League,bramble,B00370,Bramble,,0,Berlin,,,57,,
minoraverages/1914Reach,1913,Canadian League,bramble,F20375,Bramble,,0,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,bramble,P10432,Bramble,,0,Berlin,,,,28,
minoraverages/1914Reach,1913,Canadian League,brant,B00491,Brant,,0,Peterboro,,,93,,
minoraverages/1914Reach,1913,Canadian League,brant,F20496,Brant,,0,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,B01453,Brodie,,1,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,B01453,Brodie,,2,St. Thomas,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,B01453,Brodie,,T,,,,7,,
minoraverages/1914Reach,1913,Canadian League,brodie,F21450,Brodie,,1,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,F21450,Brodie,,2,St. Thomas,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,F21450,Brodie,,T,,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,P10493,Brodie,,1,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,P10493,Brodie,,2,St. Thomas,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,P10493,Brodie,,3,Hamilton,,,,,
minoraverages/1914Reach,1913,Canadian League,brodie,P10493,Brodie,,T,,,,,14,
minoraverages/1914Reach,1913,Canadian League,brundage,B00158,Brundage,,0,Brantford,,,33,,
minoraverages/1914Reach,1913,Canadian League,brundage,F20153,Brundage,,0,Brantford,,,,,
minoraverages/1914Reach,1913,Canadian League,bullock,B00308,Bullock,,1,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,bullock,B00308,Bullock,,2,Ottawa,,,,,
minoraverages/1914Reach,1913,Canadian League,bullock,B00308,Bullock,,T,,,,92,,
minoraverages/1914Reach,1913,Canadian League,bullock,F20303,Bullock,,1,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,bullock,F20303,Bullock,,2,Ottawa,,,,,
minoraverages/1914Reach,1913,Canadian League,bullock,F20303,Bullock,,T,,,,,,
minoraverages/1914Reach,1913,Canadian League,burns,B00854,Burns,,0,Berlin,,,95,,
minoraverages/1914Reach,1913,Canadian League,burns,F20855,Burns,,0,Berlin,,,,,
minoraverages/1914Reach,1913,Canadian League,burrill,B01055,Burrill,,0,Brantford,,,50,,
minoraverages/1914Reach,1913,Canadian League,burrill,F21059,Burrill,,0,Brantford,,,,,
minoraverages/1914Reach,1913,Canadian League,byrne,B00589,Byrne,,0,Peterboro,,,78,,
minoraverages/1914Reach,1913,Canadian League,byrne,F20583,Byrne,,0,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,callahan,B00623,Callahan,,1,Ottawa,,,,,
minoraverages/1914Reach,1913,Canadian League,callahan,B00623,Callahan,,2,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,callahan,B00623,Callahan,,T,,,,23,,
minoraverages/1914Reach,1913,Canadian League,callahan,F20620,Callahan,,1,Ottawa,,,,,
minoraverages/1914Reach,1913,Canadian League,callahan,F20620,Callahan,,2,Peterboro,,,,,
minoraverages/1914Reach,1913,Canadian League,callahan,F20620,Callahan,,T,,,,,,
minoraverages/1914Reach,1913,Canadian League,cassavant,B01227,Cassavant,,0,Brantford,,,14,,
minoraverages/1914Reach,1913,Canadian League,cassavant,F21229,Cassavant,,0,Brantford,,,,,
minoraverages/1914Reach,1913,Canadian League,chanut,B01143,Chanut,,1,London,,,,,
minoraverages/1914Reach,1913,Canadian League,chanut,B01143,Chanut,,2,Guelph,,,,,
minoraverages/1914Reach,1913,Canadian League,chanut,B01143,Chanut,,T,,,,28,,
minoraverages/1914Reach,1913,Canadian League,chanut,F21149,Chanut,,1,London,,,,,
minoraverages/1914Reach,1913,Canadian League,chanut,F21149,Chanut,,2,Guelph,,,,,
