source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Central Association,adams-ott,B00973,Adams,,0,Ottumwa,,,18,,
minoraverages/1914Spalding,1913,Central Association,adams-cr,B01873,Adams,,0,Cedar Rapids,,,,,
minoraverages/1914Spalding,1913,Central Association,adams-ott,F21898,Adams,,0,Ottumwa,,,,,p16
minoraverages/1914Spalding,1913,Central Association,adams-cr,F21936,Adams,,0,Cedar Rapids,,,,,p6
minoraverages/1914Spalding,1913,Central Association,adams-ott,P10056,Adams,,0,Ottumwa,,,,13,
minoraverages/1914Spalding,1913,Central Association,adams-cr,P10709,Adams,,0,Cedar Rapids,,,,,
minoraverages/1914Spalding,1913,Central Association,allen,B01706,Allen,,0,Kewanee,,,,,
minoraverages/1914Spalding,1913,Central Association,anderson,B00609,Anderson,,0,Muscatine,,,16,,
minoraverages/1914Spalding,1913,Central Association,anderson,F20547,Anderson,,0,Muscatine,,,,,3b16
minoraverages/1914Spalding,1913,Central Association,andreen,B00747,Andreen,,0,Kewanee,,,105,,
minoraverages/1914Spalding,1913,Central Association,andreen,F20046,Andreen,,0,Kewanee,,,,,1b61
minoraverages/1914Spalding,1913,Central Association,andreen,F22127,Andreen,,0,Kewanee,,,,,c45
minoraverages/1914Spalding,1913,Central Association,andrews,B00936,Andrews,,0,Waterloo,,,26,,
minoraverages/1914Spalding,1913,Central Association,andrews,F20401,Andrews,,0,Waterloo,,,,,3b16
minoraverages/1914Spalding,1913,Central Association,andrews,P10894,Andrews,,0,Waterloo,,,,,
minoraverages/emilbb,1913,Central Association,andrews,M92163,Andrews,Jay,,Waterloo,,,,,
minoraverages/1914Spalding,1913,Central Association,applegate,B02008,Applegate,,0,Muscatine,,,,,
minoraverages/1914Spalding,1913,Central Association,applegate,P11023,Applegate,,0,Muscatine,,,,,
minoraverages/1914Spalding,1913,Central Association,ashland,B00680,Ashland,,0,Waterloo,,,87,,
minoraverages/1914Spalding,1913,Central Association,ashland,F21293,Ashland,,0,Waterloo,,,,,rf27
minoraverages/1914Spalding,1913,Central Association,ashland,F22048,Ashland,,0,Waterloo,,,,,c57
minoraverages/1914Spalding,1913,Central Association,ashley,B00999,Ashley,,0,Waterloo,,,14,,
minoraverages/1914Spalding,1913,Central Association,ashley,F21362,Ashley,,0,Waterloo,,,,,p10
minoraverages/1914Spalding,1913,Central Association,ashley,P10019,Ashley,,0,Waterloo,,,,10,
minoraverages/1914Spalding,1913,Central Association,bauer,B02253,Bauer,,0,Kewanee,,,,,
minoraverages/1914Spalding,1913,Central Association,baxter,B01674,Baxter,,0,Kewanee,,,,,
minoraverages/1914Spalding,1913,Central Association,beach,B02137,Beach,,0,Ottumwa,,,,,
minoraverages/1914Spalding,1913,Central Association,beach,F21427,Beach,,0,Ottumwa,,,,,p5
minoraverages/1914Spalding,1913,Central Association,beach,P10687,Beach,,0,Ottumwa,,,,,
