source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Empire State League,alperman,B00362,Alperman,,0,Waycross,,,14,,
minoraverages/1914Spalding,1913,Empire State League,alperman,F20430,Alperman,,0,Waycross,,,,,of14
minoraverages/1914Spalding,1913,Empire State League,anderson,B00130,Anderson,,0,Waycross,,,85,,
minoraverages/1914Spalding,1913,Empire State League,anderson,F20265,Anderson,,0,Waycross,,,,,ss85
minoraverages/1914Spalding,1913,Empire State League,anderson,F20482,Anderson,,0,Waycross,,,,,of85
minoraverages/1914Spalding,1913,Empire State League,barnett,B00589,Barnett,,0,Thomasville,,,97,,
minoraverages/1914Spalding,1913,Empire State League,barnett,F20463,Barnett,,0,Thomasville,,,,,of97
minoraverages/1914Spalding,1913,Empire State League,bernstein,B00207,Bernstein,,0,Americus,,,27,,
minoraverages/1914Spalding,1913,Empire State League,bernstein,F20287,Bernstein,,0,Americus,,,,,ss27
minoraverages/1914Spalding,1913,Empire State League,bitting,B00278,Bitting,,0,Waycross,,,35,,
minoraverages/1914Spalding,1913,Empire State League,bitting,F20211,Bitting,,0,Waycross,,,,,3b35
minoraverages/1914Spalding,1913,Empire State League,bowden,B00163,Bowden,,0,Cordele,,,59,,
minoraverages/1914Spalding,1913,Empire State League,bowden,F20648,Bowden,,0,Cordele,,,,,
minoraverages/1914Spalding,1913,Empire State League,bowen,B00059,Bowen,,0,Americus,,,96,,
minoraverages/1914Spalding,1913,Empire State League,bowen,F20190,Bowen,,0,Americus,,,,,3b96
minoraverages/1914Spalding,1913,Empire State League,brazier,B00101,Brazier,,0,Cordele,,,102,,
minoraverages/1914Spalding,1913,Empire State League,brazier,F20505,Brazier,,0,Cordele,,,,,of99
minoraverages/1914Spalding,1913,Empire State League,brouthers,B00229,Brouthers,,1,Waycross,,,,,
minoraverages/1914Spalding,1913,Empire State League,brouthers,B00229,Brouthers,,2,Americus,,,,,
minoraverages/1914Spalding,1913,Empire State League,brouthers,B00229,Brouthers,,T,,,,100,,
