source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,adams,B00638,Adams,,0,Vincennes,,,20,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,adams,F21021,Adams,,0,Vincennes,,,,,of13
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,allen,B00356,Allen,,0,Clarksville,,,76,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,allen,F20166,Allen,,0,Clarksville,,,,,1b76
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,anderson.b,B00680,Anderson,B.,0,Vincennes,,,65,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,anderson.d,B00840,Anderson,D.,0,Vincennes,,,18,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,anderson.d,F20594,Anderson,D.,0,Vincennes,,,,,ss15
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,anderson.b,F21589,Anderson,B.,0,Vincennes,,,,,c51
minoraverages/emilbb,1913,Kentucky-Illinois-Tennessee League,anderson-hop,M92651,Anderson,Dave,,Hopkinsville,,,,,
minoraverages/emilbb,1913,Kentucky-Illinois-Tennessee League,anderson.b,M92752,Anderson,Bob,,Vincennes,,,,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,ashby,B00084,Ashby,,0,Vincennes,,,110,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,ashby,F21207,Ashby,,0,Vincennes,,,,,of55
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,ashby,F21747,Ashby,,0,Vincennes,,,,,c55
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,ashe,B01242,Ashe,,0,Vincennes,,,15,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,ashe,F20768,Ashe,,0,Vincennes,,,,,of15
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bachmann,B01086,Bachmann,,0,Henderson,,,36,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bachmann,F20287,Bachmann,,0,Henderson,,,,,2b36
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bailey,B00985,Bailey,,1,Cairo,,,,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bailey,B00985,Bailey,,2,Henderson,,,,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bailey,B00985,Bailey,,T,,,,18,,
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bailey,F21491,Bailey,,1,Cairo,,,,,p
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bailey,F21491,Bailey,,2,Henderson,,,,,p
minoraverages/1914Spalding,1913,Kentucky-Illinois-Tennessee League,bailey,F21491,Bailey,,T,,,,,,p10
