source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Michigan State League,adams,B00434,Adams,,1,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,adams,B00434,Adams,,2,Cadillac,,,,,
minoraverages/1914Spalding,1913,Michigan State League,adams,B00434,Adams,,T,,,,124,,
minoraverages/1914Spalding,1913,Michigan State League,adams,F20128,Adams,,1,Ludington,,,,,1b
minoraverages/1914Spalding,1913,Michigan State League,adams,F20128,Adams,,2,Cadillac,,,,,1b
minoraverages/1914Spalding,1913,Michigan State League,adams,F20128,Adams,,T,,,,,,1b86
minoraverages/1914Spalding,1913,Michigan State League,adams,F20886,Adams,,1,Ludington,,,,,of
minoraverages/1914Spalding,1913,Michigan State League,adams,F20886,Adams,,2,Cadillac,,,,,of
minoraverages/1914Spalding,1913,Michigan State League,adams,F20886,Adams,,T,,,,,,of38
minoraverages/1914Spalding,1913,Michigan State League,allison,B00037,Allison,,0,Cadillac,,,120,,
minoraverages/1914Spalding,1913,Michigan State League,allison,F20014,Allison,,0,Cadillac,,,,,1b51
minoraverages/1914Spalding,1913,Michigan State League,allison,F20648,Allison,,0,Cadillac,,,,,of69
minoraverages/1914Spalding,1913,Michigan State League,altenberg,B00045,Altenberg,,0,Ludington,,,29,,
minoraverages/1914Spalding,1913,Michigan State League,altenberg,F20265,Altenberg,,0,Ludington,,,,,2b29
minoraverages/1914Spalding,1913,Michigan State League,anderson,B00362,Anderson,,0,Manistee,,,124,,
minoraverages/1914Spalding,1913,Michigan State League,anderson,F20102,Anderson,,0,Manistee,,,,,1b124
minoraverages/1914Spalding,1913,Michigan State League,arndt,B00117,Arndt,,0,Ludington,,,74,,
minoraverages/1914Spalding,1913,Michigan State League,arndt,F20051,Arndt,,0,Ludington,,,,,1b48
minoraverages/1914Spalding,1913,Michigan State League,arndt,F20206,Arndt,,0,Ludington,,,,,2b26
minoraverages/emilbb,1913,Michigan State League,arndt,M92879,Arndt,Harry,,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,arnson,B00515,Arnson,,0,Cadillac,,,117,,
minoraverages/1914Spalding,1913,Michigan State League,arnson,F20303,Arnson,,0,Cadillac,,,,,3b103
minoraverages/1914Spalding,1913,Michigan State League,arnson,F20893,Arnson,,0,Cadillac,,,,,of14
minoraverages/1914Spalding,1913,Michigan State League,ashley,B00680,Ashley,,0,Ludington,,,31,,
minoraverages/1914Spalding,1913,Michigan State League,ashley,F20560,Ashley,,0,Ludington,,,,,of10
minoraverages/1914Spalding,1913,Michigan State League,ashley,F21286,Ashley,,0,Ludington,,,,,p21
minoraverages/1914Spalding,1913,Michigan State League,ashley,P10145,Ashley,,0,Ludington,,,,20,
minoraverages/1914Spalding,1913,Michigan State League,bailey,B00343,Bailey,,1,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,bailey,B00343,Bailey,,2,Cadillac,,,,,
minoraverages/1914Spalding,1913,Michigan State League,bailey,B00343,Bailey,,T,,,,16,,
minoraverages/1914Spalding,1913,Michigan State League,bailey,F21343,Bailey,,1,Ludington,,,,,p
minoraverages/1914Spalding,1913,Michigan State League,bailey,F21343,Bailey,,2,Cadillac,,,,,p
minoraverages/1914Spalding,1913,Michigan State League,bailey,F21343,Bailey,,T,,,,,,p16
minoraverages/1914Spalding,1913,Michigan State League,bailey,P10192,Bailey,,1,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,bailey,P10192,Bailey,,2,Cadillac,,,,,
minoraverages/1914Spalding,1913,Michigan State League,bailey,P10192,Bailey,,T,,,,,16,
minoraverages/1914Spalding,1913,Michigan State League,barney,B00149,Barney,,0,Ludington,,,55,,
minoraverages/1914Spalding,1913,Michigan State League,barney,F20222,Barney,,0,Ludington,,,,,2b55
minoraverages/1914Spalding,1913,Michigan State League,bartell,B00999,Bartell,,0,Manistee,,,17,,
minoraverages/1914Spalding,1913,Michigan State League,bartell,F21021,Bartell,,0,Manistee,,,,,p17
minoraverages/1914Spalding,1913,Michigan State League,bartell,P10100,Bartell,,0,Manistee,,,,17,
minoraverages/1914Spalding,1913,Michigan State League,baum,B00638,Baum,,0,Cadillac,,,32,,
minoraverages/1914Spalding,1913,Michigan State League,baum,F20919,Baum,,0,Cadillac,,,,,of32
minoraverages/1914Spalding,1913,Michigan State League,bellow,B00475,Bellow,,1,Boyne City,,,,,
minoraverages/1914Spalding,1913,Michigan State League,bellow,B00475,Bellow,,2,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,bellow,B00475,Bellow,,T,,,,20,,
minoraverages/1914Spalding,1913,Michigan State League,bellow,F20552,Bellow,,1,Boyne City,,,,,ss
minoraverages/1914Spalding,1913,Michigan State League,bellow,F20552,Bellow,,2,Ludington,,,,,ss
minoraverages/1914Spalding,1913,Michigan State League,bellow,F20552,Bellow,,T,,,,,,ss10
minoraverages/1914Spalding,1913,Michigan State League,bellow,F20943,Bellow,,1,Boyne City,,,,,of
minoraverages/1914Spalding,1913,Michigan State League,bellow,F20943,Bellow,,2,Ludington,,,,,of
minoraverages/1914Spalding,1913,Michigan State League,bellow,F20943,Bellow,,T,,,,,,of10
minoraverages/1914Spalding,1913,Michigan State League,bemis,B00760,Bemis,,0,Muskegon,,,35,,
minoraverages/1914Spalding,1913,Michigan State League,bemis,F21319,Bemis,,0,Muskegon,,,,,p35
minoraverages/1914Spalding,1913,Michigan State League,bemis,P10081,Bemis,,0,Muskegon,,,,27,
minoraverages/emilbb,1913,Michigan State League,bemis,M92822,Bemis,Peg,,Muskegon,,,,,
minoraverages/1914Spalding,1913,Michigan State League,bennett,B00125,Bennett,,0,Cadillac,,,19,,
minoraverages/1914Spalding,1913,Michigan State League,bennett,F21450,Bennett,,0,Cadillac,,,,,c19
minoraverages/1914Spalding,1913,Michigan State League,berdan,P10070,Berdan,,0,Muskegon,,,,6,
minoraverages/1914Spalding,1913,Michigan State League,beyers,B00264,Beyers,,0,Ludington,,,119,,
minoraverages/1914Spalding,1913,Michigan State League,beyers,F20935,Beyers,,0,Ludington,,,,,of25
minoraverages/1914Spalding,1913,Michigan State League,beyers,F21416,Beyers,,0,Ludington,,,,,c94
minoraverages/1914Spalding,1913,Michigan State League,bonine,B00566,Bonine,,0,Muskegon,,,64,,
minoraverages/1914Spalding,1913,Michigan State League,bonine,F20177,Bonine,,0,Muskegon,,,,,2b10
minoraverages/1914Spalding,1913,Michigan State League,bonine,F20316,Bonine,,0,Muskegon,,,,,3b54
minoraverages/1914Spalding,1913,Michigan State League,bourke,B00920,Bourke,,0,Cadillac,,,16,,
minoraverages/1914Spalding,1913,Michigan State League,bourke,F20768,Bourke,,0,Cadillac,,,,,of16
minoraverages/1914Spalding,1913,Michigan State League,broder,B00403,Broder,,1,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,broder,B00403,Broder,,2,Traverse City,,,,,
minoraverages/1914Spalding,1913,Michigan State League,broder,B00403,Broder,,T,,,,93,,
minoraverages/1914Spalding,1913,Michigan State League,broder,F20673,Broder,,1,Ludington,,,,,of
minoraverages/1914Spalding,1913,Michigan State League,broder,F20673,Broder,,2,Traverse City,,,,,of
minoraverages/1914Spalding,1913,Michigan State League,broder,F20673,Broder,,T,,,,,,of93
minoraverages/1914Spalding,1913,Michigan State League,brooks,B00589,Brooks,,0,Muskegon,,,104,,
minoraverages/1914Spalding,1913,Michigan State League,brooks,F20713,Brooks,,0,Muskegon,,,,,of104
minoraverages/1914Spalding,1913,Michigan State League,campbell-man,B00865,Campbell,,0,Manistee,,,10,,
minoraverages/1914Spalding,1913,Michigan State League,campbell-mus,B01143,Campbell,G.,0,Muskegon,,,28,,
minoraverages/1914Spalding,1913,Michigan State League,campbell-man,F20661,Campbell,,0,Manistee,,,,,of10
minoraverages/1914Spalding,1913,Michigan State League,campbell-mus,F21130,Campbell,,0,Muskegon,,,,,p28
minoraverages/1914Spalding,1913,Michigan State League,campbell-mus,P10320,Campbell,,0,Muskegon,,,,26,
minoraverages/1914Spalding,1913,Michigan State League,chapel,B00833,Chapel,,0,Boyne City,,,26,,
minoraverages/1914Spalding,1913,Michigan State League,chapel,F20962,Chapel,,0,Boyne City,,,,,of26
minoraverages/1914Spalding,1913,Michigan State League,christman,B01093,Christman,,1,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,christman,B01093,Christman,,2,Manistee,,,,,
minoraverages/1914Spalding,1913,Michigan State League,christman,B01093,Christman,,T,,,,10,,
minoraverages/1914Spalding,1913,Michigan State League,christman,F21084,Christman,,1,Ludington,,,,,p
minoraverages/1914Spalding,1913,Michigan State League,christman,F21084,Christman,,2,Manistee,,,,,p
minoraverages/1914Spalding,1913,Michigan State League,christman,F21084,Christman,,T,,,,,,p10
minoraverages/1914Spalding,1913,Michigan State League,christman,P10043,Christman,,1,Ludington,,,,,
minoraverages/1914Spalding,1913,Michigan State League,christman,P10043,Christman,,2,Manistee,,,,,
minoraverages/1914Spalding,1913,Michigan State League,christman,P10043,Christman,,T,,,,,10,
minoraverages/1914Spalding,1913,Michigan State League,clark,B00381,Clark,,0,Boyne City,,,57,,
minoraverages/1914Spalding,1913,Michigan State League,clark,F20699,Clark,,0,Boyne City,,,,,of57
minoraverages/1914Spalding,1913,Michigan State League,cole,B00356,Cole,,0,Traverse City,,,26,,
minoraverages/1914Spalding,1913,Michigan State League,cole,F20784,Cole,,0,Traverse City,,,,,of26
