source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Nebraska State League,acock,B00308,Acock,,0,Kearney,,,112,,
minoraverages/1914Spalding,1913,Nebraska State League,acock,F20115,Acock,,0,Kearney,,,,,2b112
minoraverages/1914Spalding,1913,Nebraska State League,adams,B00362,Adams,,0,Columbus,,,57,,
minoraverages/1914Spalding,1913,Nebraska State League,adams,F20350,Adams,,0,Columbus,,,,,ss57
minoraverages/1914Spalding,1913,Nebraska State League,artley,B00822,Artley,,0,Grand Island,,,48,,
minoraverages/1914Spalding,1913,Nebraska State League,artley,F20886,Artley,,0,Grand Island,,,,,p48
minoraverages/1914Spalding,1913,Nebraska State League,artley,P10455,Artley,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,barry,B00566,Barry,,0,Fremont,,,50,,
minoraverages/1914Spalding,1913,Nebraska State League,barry,F20190,Barry,,0,Fremont,,,,,2b50
minoraverages/1914Spalding,1913,Nebraska State League,barry,F20342,Barry,,0,Fremont,,,,,ss50
minoraverages/1914Spalding,1913,Nebraska State League,bechtold,B00293,Bechtold,,0,Hastings,,,112,,
minoraverages/1914Spalding,1913,Nebraska State League,bechtold,F20583,Bechtold,,0,Hastings,,,,,rf112
minoraverages/1914Spalding,1913,Nebraska State League,belz,P10441,Belz,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,bennett,B00210,Bennett,,0,Hastings,,,102,,
minoraverages/1914Spalding,1913,Nebraska State League,bennett,F20474,Bennett,,0,Hastings,,,,,cf102
minoraverages/1914Spalding,1913,Nebraska State League,berte,B00999,Berte,,0,all,,,,,
minoraverages/emilbb,1913,Nebraska State League,berte,M92920,Berte,Harry,,Kearney,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,black,B00174,Black,,0,Beatrice,,,112,,
minoraverages/1914Spalding,1913,Nebraska State League,black,F20560,Black,,0,Beatrice,,,,,rf112
minoraverages/1914Spalding,1913,Nebraska State League,bockewitz,B00163,Bockewitz,,0,Superior,,,110,,
minoraverages/1914Spalding,1913,Nebraska State League,bockewitz,F20038,Bockewitz,,0,Superior,,,,,1b110
minoraverages/emilbb,1913,Nebraska State League,bockewitz,M92961,Bockewitz,Dennis,,Superior,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,bono,B00442,Bono,,0,Columbus,,,10,,
minoraverages/1914Spalding,1913,Nebraska State League,bono,F20893,Bono,,0,Columbus,,,,,p10
minoraverages/1914Spalding,1913,Nebraska State League,brannan,B00811,Brannan,,0,Beatrice,,,104,,
minoraverages/1914Spalding,1913,Nebraska State League,brannan,F20265,Brannan,,0,Beatrice,,,,,3b104
minoraverages/1914Spalding,1913,Nebraska State League,brewer,B00726,Brewer,,0,Beatrice,,,30,,
minoraverages/1914Spalding,1913,Nebraska State League,brewer,F20072,Brewer,,0,Beatrice,,,,,1b30
minoraverages/1914Spalding,1913,Nebraska State League,brown-sup,B00068,Brown,,0,Superior,,,18,,
minoraverages/1914Spalding,1913,Nebraska State League,brown-has,B00255,Brown,,0,Hastings,,,108,,
minoraverages/1914Spalding,1913,Nebraska State League,brown-yor,B00416,Brown,,0,York,,,86,,
minoraverages/1914Spalding,1913,Nebraska State League,brown-gi,B00936,Brown,,0,Grand Island,,,22,,
minoraverages/1914Spalding,1913,Nebraska State League,brown-sup,F20298,Brown,,0,Superior,,,,,ss18
minoraverages/1914Spalding,1913,Nebraska State League,brown-has,F20369,Brown,E.,0,Hastings,,,,,ss108
minoraverages/1914Spalding,1913,Nebraska State League,brown-gi,F20810,Brown,C.,0,Grand Island,,,,,p22
minoraverages/1914Spalding,1913,Nebraska State League,brown-yor,F20997,Brown,,0,York,,,,,c86
minoraverages/1914Spalding,1913,Nebraska State League,brown-gi,P10385,Brown,C.,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,carey,B01007,Carey,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,carey,F20924,Carey,,0,Columbus,,,,,p6
minoraverages/1914Spalding,1913,Nebraska State League,carey,P10410,Carey,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,chase,B00092,Chase,,0,York,,,83,,
minoraverages/1914Spalding,1913,Nebraska State League,chase,F20014,Chase,,0,York,,,,,1b83
minoraverages/1914Spalding,1913,Nebraska State League,clarke,B00084,Clarke,,0,York,,,105,,
minoraverages/1914Spalding,1913,Nebraska State League,clarke,F20449,Clarke,,0,York,,,,,lf105
minoraverages/1914Spalding,1913,Nebraska State League,clarke,P10534,Clarke,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,clemmons,P10542,Clemmons,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,coe,B00544,Coe,,0,Beatrice,,,105,,
minoraverages/1914Spalding,1913,Nebraska State League,coe,F20962,Coe,,0,Beatrice,,,,,c105
minoraverages/1914Spalding,1913,Nebraska State League,conine,P10575,Conine,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,conners,P10516,Conners,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,conway,B00794,Conway,,0,Fremont,,,32,,
minoraverages/1914Spalding,1913,Nebraska State League,conway,F20673,Conway,,0,Fremont,,,,,p32
minoraverages/1914Spalding,1913,Nebraska State League,conway,P10361,Conway,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,cran,B00196,Cran,,0,Columbus,,,105,,
minoraverages/1914Spalding,1913,Nebraska State League,cran,F20391,Cran,,0,Columbus,,,,,lf105
minoraverages/1914Spalding,1913,Nebraska State League,dark,P10464,Dark,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,deal,B00241,Deal,,0,Columbus,,,99,,
minoraverages/1914Spalding,1913,Nebraska State League,deal,F20067,Deal,,0,Columbus,,,,,1b99
minoraverages/1914Spalding,1913,Nebraska State League,downey,B00614,Downey,,0,Grand Island,,,96,,
minoraverages/1914Spalding,1913,Nebraska State League,downey,F20604,Downey,,0,Grand Island,,,,,rf96
minoraverages/1914Spalding,1913,Nebraska State League,erixson,B00752,Erixson,,0,Kearney,,,85,,
minoraverages/1914Spalding,1913,Nebraska State League,erixson,F21021,Erixson,,0,Kearney,,,,,c85
minoraverages/1914Spalding,1913,Nebraska State League,errett,B00879,Errett,,0,Beatrice,,,38,,
minoraverages/1914Spalding,1913,Nebraska State League,errett,F20829,Errett,,0,Beatrice,,,,,p38
minoraverages/1914Spalding,1913,Nebraska State League,errett,P10121,Errett,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,everdon,P10081,Everdon,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,farley,B00343,Farley,,0,Grand Island,,,60,,
minoraverages/1914Spalding,1913,Nebraska State League,farley,F20080,Farley,,0,Grand Island,,,,,1b60
minoraverages/1914Spalding,1913,Nebraska State League,fentress,P10478,Fentress,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,firestine-has,B00488,Firestine,,0,Hastings,,,105,,
minoraverages/1914Spalding,1913,Nebraska State League,firestine-has,F20222,Firestine,,0,Hastings,,,,,3b105
minoraverages/emilbb,1913,Nebraska State League,firestine-gi,M93016,Firestine,O. J.,,Grand Island,,,,,
minoraverages/emilbb,1913,Nebraska State League,forrester,M93027,Forrester,Jack,,Grand Island,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,franklin,B00912,Franklin,,0,Grand Island,,,22,,
minoraverages/1914Spalding,1913,Nebraska State League,franklin,F20878,Franklin,,0,Grand Island,,,,,p22
minoraverages/1914Spalding,1913,Nebraska State League,franklin,P10503,Franklin,,0,all,,,,,
minoraverages/emilbb,1913,Nebraska State League,gardner,M92948,Gardner,Frank,,York,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,getchell,B00515,Getchell,,0,Fremont,,,44,,
minoraverages/1914Spalding,1913,Nebraska State League,getchell,F20713,Getchell,,0,Fremont,,,,,p44
minoraverages/1914Spalding,1913,Nebraska State League,getchell,P10231,Getchell,,0,all,,,,,
minoraverages/emilbb,1913,Nebraska State League,gondling,M92973,Gondling,John,,Columbus,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,gray-kea,B00076,Gray,,0,Kearney,,,111,,
minoraverages/1914Spalding,1913,Nebraska State League,gray-sup,B00356,Gray,,0,Superior,,,89,,
minoraverages/1914Spalding,1913,Nebraska State League,gray-sup,F20153,Gray,,0,Superior,,,,,2b89
minoraverages/1914Spalding,1913,Nebraska State League,gray-kea,F20943,Gray,,0,Kearney,,,,,c111
minoraverages/1914Spalding,1913,Nebraska State League,haley,B00854,Haley,,0,Beatrice,,,36,,
minoraverages/1914Spalding,1913,Nebraska State League,haley,F20784,Haley,,0,Beatrice,,,,,p36
minoraverages/1914Spalding,1913,Nebraska State League,haley,P10202,Haley,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,hanks,P10159,Hanks,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,hatch,P10228,Hatch,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,henry,B00335,Henry,,0,Fremont,,,112,,
minoraverages/1914Spalding,1913,Nebraska State League,henry,F20051,Henry,,0,Fremont,,,,,1b112
minoraverages/1914Spalding,1913,Nebraska State League,herriott,B00158,Herriott,,0,Kearney,,,108,,
minoraverages/1914Spalding,1913,Nebraska State League,herriott,F20023,Herriott,,0,Kearney,,,,,1b108
minoraverages/1914Spalding,1913,Nebraska State League,hicklin,B00434,Hicklin,,0,Beatrice,,,111,,
minoraverages/1914Spalding,1913,Nebraska State League,hicklin,F20482,Hicklin,,0,Beatrice,,,,,cf111
minoraverages/1914Spalding,1913,Nebraska State League,hinckley,B00840,Hinckley,,0,Fremont,,,35,,
minoraverages/1914Spalding,1913,Nebraska State League,hinckley,F20776,Hinckley,,0,Fremont,,,,,p35
minoraverages/1914Spalding,1913,Nebraska State League,hinckley,P10184,Hinckley,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,irwin,P10486,Irwin,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,jepson,B00973,Jepson,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,jepson,F20864,Jepson,,0,Superior,,,,,p9
minoraverages/1914Spalding,1913,Nebraska State League,jepson,P10373,Jepson,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,johnson,B00887,Johnson,,0,Hastings,,,16,,
minoraverages/1914Spalding,1913,Nebraska State League,johnson,F20935,Johnson,,0,Hastings,,,,,p16
minoraverages/1914Spalding,1913,Nebraska State League,johnson,P10266,Johnson,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,justus,P10348,Justus,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,kingdon,P10070,Kingdon,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,knight,P10244,Knight,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,kraninger,B00747,Kraninger,,0,Columbus,,,80,,
minoraverages/1914Spalding,1913,Nebraska State League,kraninger,F21013,Kraninger,,0,Columbus,,,,,c80
minoraverages/emilbb,1913,Nebraska State League,kraninger,M92999,Kraninger,Jack,,Columbus,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,landreth,B00125,Landreth,,0,Superior,,,96,,
minoraverages/1914Spalding,1913,Nebraska State League,landreth,F20571,Landreth,,0,Superior,,,,,rf96
minoraverages/1914Spalding,1913,Nebraska State League,leise,B00182,Leise,,0,York,,,60,,
minoraverages/1914Spalding,1913,Nebraska State League,leise,F20526,Leise,,0,York,,,,,cf60
minoraverages/1914Spalding,1913,Nebraska State League,ling,B00491,Ling,,0,Beatrice,,,109,,
minoraverages/1914Spalding,1913,Nebraska State League,ling,F20417,Ling,,0,Beatrice,,,,,lf109
minoraverages/1914Spalding,1913,Nebraska State League,lotz,B00013,Lotz,,0,Kearney,,,47,,
minoraverages/1914Spalding,1913,Nebraska State League,lotz,F20685,Lotz,,0,Kearney,,,,,p47
minoraverages/1914Spalding,1913,Nebraska State League,lotz,P10192,Lotz,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,malmquist,B00021,Malmquist,,0,York,,,110,,
minoraverages/1914Spalding,1913,Nebraska State League,malmquist,F20316,Malmquist,,0,York,,,,,ss110
minoraverages/1914Spalding,1913,Nebraska State League,manda,B00680,Manda,,0,Superior,,,41,,
minoraverages/1914Spalding,1913,Nebraska State League,manda,F20334,Manda,,0,Superior,,,,,ss41
minoraverages/1914Spalding,1913,Nebraska State League,maples,B00920,Maples,,0,Kearney,,,27,,
minoraverages/1914Spalding,1913,Nebraska State League,maples,F20855,Maples,,0,Kearney,,,,,p27
minoraverages/1914Spalding,1913,Nebraska State League,maples,P10043,Maples,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,matticks,B00577,Matticks,,0,York,,,87,,
minoraverages/1914Spalding,1913,Nebraska State League,matticks,F20144,Matticks,,0,York,,,,,2b87
minoraverages/1914Spalding,1913,Nebraska State League,maxey,B01010,Maxey,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,mccabe,B00101,McCabe,,0,Hastings,,,111,,
minoraverages/1914Spalding,1913,Nebraska State League,mccabe,F20430,McCabe,,0,Hastings,,,,,lf111
minoraverages/1914Spalding,1913,Nebraska State League,mccoy,P10290,McCoy,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,mccullough,B00324,McCullough,,0,Grand Island,,,16,,
minoraverages/1914Spalding,1913,Nebraska State League,mccullough,F20841,McCullough,,0,Grand Island,,,,,p16
minoraverages/1914Spalding,1913,Nebraska State League,mccullough,P10527,McCullough,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,mcdonald,F20792,McDonald,,0,Beatrice,,,,,p15
minoraverages/1914Spalding,1913,Nebraska State League,mcdonnell,B00695,McDonnell,,0,Beatrice,,,15,,
minoraverages/1914Spalding,1913,Nebraska State League,mcdonnell,P10062,McDonnell,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,meinert,B00475,Meinert,,0,Superior,,,107,,
minoraverages/1914Spalding,1913,Nebraska State League,meinert,F20518,Meinert,,0,Superior,,,,,cf107
minoraverages/1914Spalding,1913,Nebraska State League,miller,B00502,Miller,,0,Superior,,,11,,
minoraverages/1914Spalding,1913,Nebraska State League,miller,F20612,Miller,,0,Superior,,,,,p11
minoraverages/1914Spalding,1913,Nebraska State League,miller,P10432,Miller,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,mulvey,B00117,Mulvey,,0,York,,,91,,
minoraverages/1914Spalding,1913,Nebraska State League,mulvey,F20594,Mulvey,,0,York,,,,,rf91
minoraverages/1914Spalding,1913,Nebraska State League,neff-bea,B00319,Neff,Clyde,0,Beatrice,,,29,,
minoraverages/1914Spalding,1913,Nebraska State League,neff-fre,B00672,Neff,Clint,0,Fremont,,,93,,
minoraverages/1914Spalding,1913,Nebraska State League,neff-bea,F20131,Neff,Clyde,0,Fremont,,,,,2b29
minoraverages/1914Spalding,1913,Nebraska State League,neff-fre,F20970,Neff,Clint,0,Fremont,,,,,c93
minoraverages/1914Spalding,1913,Nebraska State League,norton,P10215,Norton,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,obst,B00783,Obst,,0,Superior,,,112,,
minoraverages/1914Spalding,1913,Nebraska State League,obst,F20279,Obst,,0,Superior,,,,,3b112
minoraverages/1914Spalding,1913,Nebraska State League,osborne,B00739,Osborne,,0,York,,,38,,
minoraverages/1914Spalding,1913,Nebraska State League,osborne,F20768,Osborne,,0,York,,,,,p38
minoraverages/1914Spalding,1913,Nebraska State League,osborne,P10399,Osborne,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,patrick,P10113,Patrick,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,payne,B00045,Payne,,0,York,,,38,,
minoraverages/1914Spalding,1913,Nebraska State League,payne,F20539,Payne,,0,York,,,,,cf38
minoraverages/1914Spalding,1913,Nebraska State League,peoples,B00528,Peoples,,0,Columbus,,,73,,
minoraverages/1914Spalding,1913,Nebraska State League,peoples,F20189,Peoples,,0,Columbus,,,,,2b73
minoraverages/1914Spalding,1913,Nebraska State League,plympton,B00229,Plympton,,0,Kearney,,,51,,
minoraverages/1914Spalding,1913,Nebraska State League,plympton,F20745,Plympton,,0,Kearney,,,,,p51
minoraverages/1914Spalding,1913,Nebraska State League,plympton,P10056,Plympton,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,poteet,B00718,Poteet,,0,Grand Island,,,98,,
minoraverages/1914Spalding,1913,Nebraska State League,poteet,F21037,Poteet,,0,Grand Island,,,,,c98
minoraverages/1914Spalding,1913,Nebraska State League,price,B00037,Price,,0,York,,,29,,
minoraverages/1914Spalding,1913,Nebraska State League,price,F20095,Price,,0,York,,,,,1b29
minoraverages/1914Spalding,1913,Nebraska State League,ramey,B00207,Ramey,,0,Columbus,,,29,,
minoraverages/1914Spalding,1913,Nebraska State League,ramey,F20721,Ramey,,0,Columbus,,,,,p29
minoraverages/1914Spalding,1913,Nebraska State League,ramey,P10407,Ramey,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,ramsey,B00370,Ramsey,,0,Columbus,,,103,,
minoraverages/1914Spalding,1913,Nebraska State League,ramsey,F21045,Ramsey,,0,Columbus,,,,,c103
minoraverages/1914Spalding,1913,Nebraska State League,reed,B00833,Reed,,0,Columbus,,,29,,
minoraverages/1914Spalding,1913,Nebraska State League,reed,F20807,Reed,,0,Columbus,,,,,p29
minoraverages/1914Spalding,1913,Nebraska State League,reed,P10024,Reed,,0,all,,,,,
minoraverages/1914Spalding,1913,Nebraska State League,reis,B00651,Reis,,0,Fremont,,,112,,
minoraverages/1914Spalding,1913,Nebraska State League,reis,F20166,Reis,,0,Fremont,,,,,2b112
minoraverages/1914Spalding,1913,Nebraska State League,rice,B00553,Rice,,0,York,,,104,,
minoraverages/1914Spalding,1913,Nebraska State League,rice,F20177,Rice,,0,York,,,,,2b104
minoraverages/1914Spalding,1913,Nebraska State League,rice,F20233,Rice,,0,York,,,,,3b104
minoraverages/1914Spalding,1913,Nebraska State League,richardson-yor,B00059,Richardson,,0,York,,,15,,
minoraverages/1914Spalding,1913,Nebraska State League,richardson-has,B00771,Richardson,,0,Hastings,,,45,,
minoraverages/1914Spalding,1913,Nebraska State League,richardson-yor,F20700,Richardson,,0,York,,,,,p15
minoraverages/1914Spalding,1913,Nebraska State League,richardson-has,F20981,Richardson,,0,Hastings,,,,,c45
