source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ahearn,B00442,Ahearn,,0,Bangor,,,30,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ahearn,F21416,Ahearn,,1,Fredericton,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ahearn,F21416,Ahearn,,2,Bangor,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ahearn,F21416,Ahearn,,T,,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ahearn,P10266,Ahearn,,1,Fredericton,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ahearn,P10266,Ahearn,,2,Bangor,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ahearn,P10266,Ahearn,,T,,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,arminger,F21255,Arminger,,0,Bangor,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,arminger,P10100,Arminger,,0,Bangor,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,ashworth,F20657,Ashworth,,0,Bangor,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,bien,B00232,Bien,,0,St. John,,,55,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,black,F20855,Black,,1,St. John,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,black,F20855,Black,,2,Calais-St. Stephen,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,black,F20855,Black,,T,,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,blackbird,F20699,Blackbird,,0,Bangor,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,blackbird,F21403,Blackbird,,0,Bangor,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,blackbird,P10253,Blackbird,,0,Bangor,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,bien,F21059,Blen,,0,St. John,,,,,c
minoraverages/1914Spalding,1913,New Brunswick-Maine League,boardman,B00130,Boardman,,0,Bangor,,,30,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,boardman,F20388,Boardman,,0,Bangor,,,,,3b
minoraverages/1914Spalding,1913,New Brunswick-Maine League,brooks,F20023,Brooks,,0,Bangor,,,,,1b
minoraverages/1914Spalding,1913,New Brunswick-Maine League,brooks,F20886,Brooks,,0,Bangor,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,brooks,F21076,Brooks,,0,Bangor,,,,,c
minoraverages/1914Spalding,1913,New Brunswick-Maine League,brown,F21544,Brown,,0,Bangor,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,brown,P10399,Brown,,0,Bangor,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,callahan,F20014,Callahan,,0,Fredericton,,,,,1b
minoraverages/1914Spalding,1913,New Brunswick-Maine League,callahan,F20298,Callahan,,0,Fredericton,,,,,2b
minoraverages/1914Spalding,1913,New Brunswick-Maine League,callahan,B00335,Callhan,,0,Fredericton,,,65,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,carney,F21515,Carney,,0,Bangor,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,carney,P10361,Carney,,0,Bangor,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,charles,F21450,Charles,,0,St. John,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,charles,P10304,Charles,,0,St. John,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,condon,B00076,Condon,,0,Fredericton,,,30,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,condon,F20908,Condon,,0,Fredericton,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,condon,F21362,Condon,,0,Fredericton,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,condon,P10215,Condon,,0,Fredericton,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,B00163,Conley,,0,St. John,,,22,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-fre,B00229,Conley,,0,Fredericton,,,51,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-fre,F20391,Conley,R.,0,Fredericton,,,,,3b
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,F20685,Conley,,1,Calais-St. Stephen,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,F20685,Conley,,2,St. John,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,F20685,Conley,,T,,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-ban,F20829,Conley,L.,0,Bangor,,,,,of
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,F21427,Conley,,1,Calais-St. Stephen,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,F21427,Conley,,2,St. John,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,F21427,Conley,,T,,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,P10277,Conley,,1,Calais-St. Stephen,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,P10277,Conley,,2,St. John,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,conley-sc+sj,P10277,Conley,,T,,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,connaughton,B00092,Connaughton,,0,Bangor,,,45,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,connaughton,F20287,Connaughton,,0,Bangor,,,,,2b
minoraverages/emilbb,1913,New Brunswick-Maine League,connaughton,M93088,Connaughton,Frank,,Bangor,,,,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,cooney,B00125,Cooney,,0,Bangor,,,19,,
minoraverages/1914Spalding,1913,New Brunswick-Maine League,cooney,F20046,Cooney,,0,Bangor,,,,,1b
minoraverages/1914Spalding,1913,New Brunswick-Maine League,cooney,F21229,Cooney,,0,Bangor,,,,,p
minoraverages/1914Spalding,1913,New Brunswick-Maine League,cooney,P10070,Cooney,,0,Bangor,,,,,
