source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,New York-New Jersey League,adler,B00293,Adler,,0,Kingston,,,91,,
minoraverages/1914Spalding,1913,New York-New Jersey League,adler,F20240,Adler,,0,Kingston,,,,,3b91
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,B00898,Ahearn,,1,Poughkeepsie,,,,,
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,B00898,Ahearn,,2,Middletown,,,,,
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,B00898,Ahearn,,T,,,,27,,
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,F21084,Ahearn,,1,Poughkeepsie,,,,,p
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,F21084,Ahearn,,2,Middletown,,,,,p
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,F21084,Ahearn,,T,,,,,,p19
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,P10202,Ahearn,,1,Poughkeepsie,,,,,
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,P10202,Ahearn,,2,Middletown,,,,,
minoraverages/1914Spalding,1913,New York-New Jersey League,ahearn,P10202,Ahearn,,T,,,,,19,
minoraverages/1914Spalding,1913,New York-New Jersey League,anderson,B00747,Anderson,,0,Kingston,,,34,,
minoraverages/1914Spalding,1913,New York-New Jersey League,anderson,F20166,Anderson,,0,Kingston,,,,,2b34
minoraverages/1914Spalding,1913,New York-New Jersey League,applegate,P10244,Applegate,,0,Newburgh,,,,7,
minoraverages/1914Spalding,1913,New York-New Jersey League,arragon,B00059,Arragon,,0,Long Branch,,,78,,
minoraverages/1914Spalding,1913,New York-New Jersey League,arragon,F20131,Arragon,,0,Long Branch,,,,,2b19
minoraverages/1914Spalding,1913,New York-New Jersey League,arragon,F20334,Arragon,,0,Long Branch,,,,,ss37
minoraverages/1914Spalding,1913,New York-New Jersey League,arragon,F20505,Arragon,,0,Long Branch,,,,,of20
minoraverages/1914Spalding,1913,New York-New Jersey League,bailey,B00158,Bailey,,0,Kingston,,,27,,
minoraverages/1914Spalding,1913,New York-New Jersey League,bailey,F20095,Bailey,,0,Kingston,,,,,1b24
minoraverages/1914Spalding,1913,New York-New Jersey League,baxter,B00718,Baxter,,0,Danbury,,,95,,
minoraverages/1914Spalding,1913,New York-New Jersey League,baxter,F20391,Baxter,,0,Danbury,,,,,ss46
minoraverages/1914Spalding,1913,New York-New Jersey League,baxter,F20657,Baxter,,0,Danbury,,,,,of47
minoraverages/1914Spalding,1913,New York-New Jersey League,bennett,B00822,Bennett,,0,Kingston,,,46,,
minoraverages/1914Spalding,1913,New York-New Jersey League,bennett,F20604,Bennett,,0,Kingston,,,,,of46
minoraverages/emilbb,1913,New York-New Jersey League,bennett,M93123,Bennett,Walter,,Kingston,,,,,
minoraverages/1914Spalding,1913,New York-New Jersey League,bernesser,B00957,Bernesser,,0,Middletown,,,27,,
minoraverages/1914Spalding,1913,New York-New Jersey League,bernesser,F21117,Bernesser,,0,Middletown,,,,,p27
minoraverages/1914Spalding,1913,New York-New Jersey League,bernesser,P10290,Bernesser,,0,Middletown,,,,27,
minoraverages/1914Spalding,1913,New York-New Jersey League,blakley,B00278,Blakley,,0,Danbury,,,54,,
minoraverages/1914Spalding,1913,New York-New Jersey League,blakley,F20463,Blakley,,0,Danbury,,,,,ss11
minoraverages/1914Spalding,1913,New York-New Jersey League,blakley,F20526,Blakley,,0,Danbury,,,,,of43
minoraverages/1914Spalding,1913,New York-New Jersey League,bohannan,B00232,Bohannan,,0,Danbury,,,99,,
minoraverages/1914Spalding,1913,New York-New Jersey League,bohannan,F20038,Bohannan,,0,Danbury,,,,,1b99
minoraverages/1914Spalding,1913,New York-New Jersey League,bowman,P10035,Bowman,,0,Middletown,,,,5,
