source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,North Carolina State League,adams-gbo,B00646,Adams,,0,Greensboro,,,47,,
minoraverages/1914Spalding,1913,North Carolina State League,adams-ral,B00794,Adams,,0,Raleigh,,,15,,
minoraverages/1914Spalding,1913,North Carolina State League,adams-gbo,F20369,Adams,,0,Greensboro,,,,,ss47
minoraverages/1914Spalding,1913,North Carolina State League,agnew,B00672,Agnew,,0,Charlotte,,,117,,
minoraverages/1914Spalding,1913,North Carolina State League,agnew,F20189,Agnew,,0,Charlotte,,,,,2b117
minoraverages/1914Spalding,1913,North Carolina State League,angier,B00718,Angier,,0,Durham,,,85,,
minoraverages/1914Spalding,1913,North Carolina State League,angier,F20583,Angier,,0,Durham,,,,,of85
minoraverages/1914Spalding,1913,North Carolina State League,barbare,B00241,Barbare,,0,Asheville,,,116,,
minoraverages/1914Spalding,1913,North Carolina State League,barbare,F20222,Barbare,,0,Asheville,,,,,3b116
minoraverages/1914Spalding,1913,North Carolina State League,bausewein,B00021,Bausewein,,0,Charlotte,,,27,,
minoraverages/1914Spalding,1913,North Carolina State League,bausewein,F20962,Bausewein,,0,Charlotte,,,,,p21
minoraverages/1914Spalding,1913,North Carolina State League,bausewein,P10192,Bausewein,,0,Charlotte,,,,21,
minoraverages/1914Spalding,1913,North Carolina State League,belanger,B00531,Belanger,,0,Raleigh,,,27,,
minoraverages/1914Spalding,1913,North Carolina State League,belanger,F20997,Belanger,,0,Raleigh,,,,,p16
minoraverages/1914Spalding,1913,North Carolina State League,belanger,P10019,Belanger,,0,Raleigh,,,,16,
minoraverages/1914Spalding,1913,North Carolina State League,bell,B00403,Bell,,1,Charlotte,,,,,
minoraverages/1914Spalding,1913,North Carolina State League,bell,B00403,Bell,,2,Greensboro,,,,,
minoraverages/1914Spalding,1913,North Carolina State League,bell,B00403,Bell,,T,,,,95,,
minoraverages/1914Spalding,1913,North Carolina State League,bell,F20759,Bell,,1,Charlotte,,,,,of
minoraverages/1914Spalding,1913,North Carolina State League,bell,F20759,Bell,,2,Greensboro,,,,,of
minoraverages/1914Spalding,1913,North Carolina State League,bell,F20759,Bell,,T,,,,,,of91
minoraverages/1914Spalding,1913,North Carolina State League,betsill,B00623,Betsill,,0,Asheville,,,23,,
minoraverages/1914Spalding,1913,North Carolina State League,betsill,F20924,Betsill,,0,Asheville,,,,,p23
minoraverages/1914Spalding,1913,North Carolina State League,betsill,P10043,Betsill,,0,Asheville,,,,23,
minoraverages/1914Spalding,1913,North Carolina State League,boyle,B00491,Boyle,,0,Winston-Salem,,,59,,
minoraverages/1914Spalding,1913,North Carolina State League,boyle,F20810,Boyle,,0,Winston-Salem,,,,,p41
minoraverages/1914Spalding,1913,North Carolina State League,boyle,P10100,Boyle,,0,Winston-Salem,,,,41,
minoraverages/1914Spalding,1913,North Carolina State League,breslin,B00469,Breslin,,1,Durham,,,,,
minoraverages/1914Spalding,1913,North Carolina State League,breslin,B00469,Breslin,,2,Greensboro,,,,,
minoraverages/1914Spalding,1913,North Carolina State League,breslin,B00469,Breslin,,T,,,,116,,
minoraverages/1914Spalding,1913,North Carolina State League,breslin,F20526,Breslin,,1,Durham,,,,,of
minoraverages/1914Spalding,1913,North Carolina State League,breslin,F20526,Breslin,,2,Greensboro,,,,,of
