source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Northwestern League,,P10611,Agnew,,0,Portland,,,,,
minoraverages/1914Spalding,1913,Northwestern League,,B00362,Alberts,,0,Victoria,,,137,,
minoraverages/1914Spalding,1913,Northwestern League,,F20430,Alberts,,0,Victoria,,,,,3b36
minoraverages/1914Spalding,1913,Northwestern League,,F20657,Alberts,,0,Victoria,,,,,of96
minoraverages/1914Spalding,1913,Northwestern League,,P10622,Alberts,,0,Victoria,,,,,
minoraverages/1914Spalding,1913,Northwestern League,,B00695,Altman,,0,Spokane,,,102,,
minoraverages/1914Spalding,1913,Northwestern League,,F20539,Altman,,0,Spokane,,,,,ss40
minoraverages/1914Spalding,1913,Northwestern League,,F21416,Altman,,0,Spokane,,,,,c25
minoraverages/1914Spalding,1913,Northwestern League,,B00854,Auer,,0,Spokane,,,39,,
minoraverages/1914Spalding,1913,Northwestern League,,F21403,Auer,,0,Spokane,,,,,c39
minoraverages/1914Spalding,1913,Northwestern League,,B00609,Bancroft,,0,Portland,,,133,,
minoraverages/1914Spalding,1913,Northwestern League,,F20316,Bancroft,,0,Portland,,,,,3b20
minoraverages/1914Spalding,1913,Northwestern League,,F20482,Bancroft,,0,Portland,,,,,ss113
minoraverages/1914Spalding,1913,Northwestern League,,B00651,Barham,,0,Victoria,,,12,,
minoraverages/1914Spalding,1913,Northwestern League,,F21101,Barham,,0,Victoria,,,,,p42
minoraverages/1914Spalding,1913,Northwestern League,,P10056,Barham,,0,Victoria,,,,12,
minoraverages/1914Spalding,1913,Northwestern League,,B00577,Belford,,0,Tacoma,,,47,,
minoraverages/1914Spalding,1913,Northwestern League,,F21207,Belford,,0,Tacoma,,,,,p46
minoraverages/1914Spalding,1913,Northwestern League,,P10503,Belford,,0,Tacoma,,,,46,
minoraverages/1914Spalding,1913,Northwestern League,,B00343,Bennett,,0,Vancouver,,,157,,
minoraverages/1914Spalding,1913,Northwestern League,,F20206,Bennett,,0,Vancouver,,,,,2b157
minoraverages/1914Spalding,1913,Northwestern League,,F21308,Boatman,,0,Victoria,,,,,p10
minoraverages/1914Spalding,1913,Northwestern League,,P10527,Boatman,,0,Victoria,,,,10,
minoraverages/1914Spalding,1913,Northwestern League,,P10429,Boice,,0,Tacoma,,,,22,
minoraverages/1914Spalding,1913,Northwestern League,,F21370,Bratten,,0,Victoria,,,,,c30
minoraverages/1914Spalding,1913,Northwestern League,,B00158,Brinker,,0,Vancouver,,,128,,
minoraverages/1914Spalding,1913,Northwestern League,,F20699,Brinker,,0,Vancouver,,,,,of118
minoraverages/1914Spalding,1913,Northwestern League,,B00163,Brooks,,0,Victoria,,,64,,
minoraverages/1914Spalding,1913,Northwestern League,,F20067,Brooks,,0,Victoria,,,,,1b61
minoraverages/1914Spalding,1913,Northwestern League,,B00840,Brottem,,0,Victoria,,,44,,
minoraverages/1914Spalding,1913,Northwestern League,,B00544,Brown,,0,Seattle,,,76,,
minoraverages/1914Spalding,1913,Northwestern League,,F20303,Brown,,0,Seattle,,,,,2b20
minoraverages/1914Spalding,1913,Northwestern League,,F20547,Brown,,0,Seattle,,,,,ss12
minoraverages/1914Spalding,1913,Northwestern League,,P10289,Brown,,0,Victoria,,,,4,
minoraverages/1914Spalding,1913,Northwestern League,,B00912,Burrell,,1,Tacoma,,,,,
minoraverages/1914Spalding,1913,Northwestern League,,B00912,Burrell,,2,Victoria,,,,,
minoraverages/1914Spalding,1913,Northwestern League,,B00912,Burrell,,T,,,,34,,
minoraverages/1914Spalding,1913,Northwestern League,,F20334,Burrell,,0,Victoria,,,,,3b13
minoraverages/1914Spalding,1913,Northwestern League,,B00416,Cadman,,0,Seattle,,,140,,
minoraverages/1914Spalding,1913,Northwestern League,,F21343,Cadman,,0,Seattle,,,,,c132
minoraverages/1914Spalding,1913,Northwestern League,,B01242,Cadreau,,1,Spokane,,,,,
minoraverages/1914Spalding,1913,Northwestern League,,B01242,Cadreau,,2,Vancouver,,,,,
minoraverages/1914Spalding,1913,Northwestern League,,B01242,Cadreau,,T,,,,42,,
minoraverages/1914Spalding,1913,Northwestern League,,F21158,Cadreau,,0,Vancouver,,,,,p42
