source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Ohio State League,adams,B01572,Adams,,0,Ironton,,,13,,
minoraverages/1914Spalding,1913,Ohio State League,allenbacher,B01055,Allenbacher,,0,Huntington,,,84,,
minoraverages/1914Spalding,1913,Ohio State League,allenbacher,F20190,Allenbacher,,0,Huntington,,,,,2b89
minoraverages/1914Spalding,1913,Ohio State League,baggan,B00092,Baggan,,0,Portsmouth,,,137,,
minoraverages/1914Spalding,1913,Ohio State League,baggan,F20997,Baggan,,0,Portsmouth,,,,,of134
minoraverages/1914Spalding,1913,Ohio State League,baird,B01392,Baird,,0,Lexington,,,11,,
minoraverages/1914Spalding,1913,Ohio State League,baird,F20279,Baird,,0,Lexington,,,,,2b11
minoraverages/1914Spalding,1913,Ohio State League,barrett,F20128,Barret,,1,Chillicothe,,,,,1b
minoraverages/1914Spalding,1913,Ohio State League,barrett,F20128,Barret,,2,Maysville,,,,,1b
minoraverages/1914Spalding,1913,Ohio State League,barrett,F20128,Barret,,T,,,,,,1b83
minoraverages/1914Spalding,1913,Ohio State League,barrett,B00196,Barrett,,1,Chillicothe,,,,,
minoraverages/1914Spalding,1913,Ohio State League,barrett,B00196,Barrett,,2,Maysville,,,,,
minoraverages/1914Spalding,1913,Ohio State League,barrett,B00196,Barrett,,T,,,,129,,
minoraverages/1914Spalding,1913,Ohio State League,barrett,F20721,Barrett,,1,Chillicothe,,,,,of
minoraverages/1914Spalding,1913,Ohio State League,barrett,F20721,Barrett,,2,Maysville,,,,,of
minoraverages/1914Spalding,1913,Ohio State League,barrett,F20721,Barrett,,T,,,,,,of43
minoraverages/1914Spalding,1913,Ohio State League,barum,B00646,Barum,,0,Huntington,,,18,,
minoraverages/1914Spalding,1913,Ohio State League,barum,F20673,Barum,,0,Huntington,,,,,of18
minoraverages/1914Spalding,1913,Ohio State League,becknell,B00442,Becknell,,0,Portsmouth,,,32,,
minoraverages/1914Spalding,1913,Ohio State League,becknell,F21528,Becknell,,0,Portsmouth,,,,,p32
