source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1914Reach,1913,Pacific Coast League,ables,B01313,Ables,,0,Oakland,,,37,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,ables,F21092,Ables,,0,Oakland,,,,,,,,,,,,,,37,
minoraverages/1914Reach,1913,Pacific Coast League,ables,P10429,Ables,,0,Oakland,,,,37,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,arbogast,F21544,Abrogast,,0,Los Angeles,,,,,,,,,,,,,70,,
minoraverages/1914Reach,1913,Pacific Coast League,alberts,P10687,Alberts,,0,Sacramento,,,,5,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,alexander,B00999,Alexander,,0,Oakland,,,20,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,alexander,F21416,Alexander,,0,Oakland,,,,,,,,,,,,,20,,
minoraverages/1914Reach,1913,Pacific Coast League,arbogast,B01078,Arbogast,,0,Los Angeles,,,71,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,arellanes,B01010,Arellanes,,0,Sacramento,,,43,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,arellanes,F21158,Arellanes,,0,Sacramento,,,,,,,,,,,,,,43,
minoraverages/1914Reach,1913,Pacific Coast League,arellanes,P10373,Arellanes,,0,Sacramento,,,,42,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,baker,B00013,Baker,,0,San Francisco,,,38,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,baker,F21319,Baker,,0,San Francisco,,,,,,,,,,,,,,38,
minoraverages/1914Reach,1913,Pacific Coast League,baker,P10361,Baker,,0,San Francisco,,,,34,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,baum,B00739,Baum,,0,Venice,,,49,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,baum,F21229,Baum,,0,Venice,,,,,,,,,,,,,,49,
minoraverages/1914Reach,1913,Pacific Coast League,baum,P10176,Baum,,0,Venice,,,,51,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,bayless,B00037,Bayless,,0,Venice,,,195,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,bayless,F20768,Bayless,,0,Venice,,,,,,,,,195,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,becker,F20759,Becker,,0,Oakland,,,,,,,,,47,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,berry,B00672,Berry,,0,Portland,,,101,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,berry,F21502,Berry,,0,Portland,,,,,,,,,,,,,101,,
minoraverages/1914Reach,1913,Pacific Coast League,bliss,B00985,Bliss,,0,Sacramento,,,152,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,bliss,F21469,Bliss,,0,Sacramento,,,,,,,,,,,,,152,,
minoraverages/1914Reach,1913,Pacific Coast League,boles,B00794,Boles,,0,Los Angeles,,,86,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,boles,F21531,Boles,,0,Los Angeles,,,,,,,,,,,,,86,,
minoraverages/1914Reach,1913,Pacific Coast League,brackenridge,P10622,Brackenridge,,0,Venice,,,,3,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,brashear,B00553,Brashear,,0,Los Angeles,,,148,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,brashear,F20177,Brashear,,0,Venice,,,,,15,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,brashear,F20222,Brashear,,0,Venice,,,,,,133,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,brooks,B00515,Brooks,,0,Los Angeles,,,50,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,brooks,F21614,Brooks,,0,Los Angeles,,,,,,,,,,,,,50,,
minoraverages/1914Reach,1913,Pacific Coast League,byrnes,B01093,Byrnes,,0,Los Angeles,,,40,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,byrnes,F21623,Byrnes,,0,Los Angeles,,,,,,,,,,,,,40,,
minoraverages/1914Reach,1913,Pacific Coast League,carlislie,B00854,Carlisle,,0,Venice,,,187,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,carlislie,F20886,Carlisle,,0,Venice,,,,,,,,,187,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,carson,P10410,Carson,,0,Portland,,,,14,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,cartwright,B00397,Cartwright,,0,San Francisco,,,187,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,cartwright,F20583,Cartwright,,0,San Francisco,,,,,,,187,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,chadbourne,B00229,Chadbourne,,0,Portland,,,191,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,chadbourne,F20673,Chadbourne,,0,Portland,,,,,,,,,191,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,charles,B00783,Charles,,0,San Francisco,,,81,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,charles,F20298,Charles,,0,San Francisco,,,,,,46,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,charles,F20571,Charles,,0,San Francisco,,,,,,,13,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,charles,F20924,Charles,,0,San Francisco,,,,,,,,,19,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,chech,F21241,Chech,,0,Los Angeles,,,,,,,,,,,,,,42,
minoraverages/1914Reach,1913,Pacific Coast League,chech,P10320,Chech,,0,Los Angeles,,,,42,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,chech,B01029,Check,,0,Los Angeles,,,42,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,cheek,B00898,Cheek,,0,San Francisco,,,56,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,cheek,F21475,Cheek,,0,Sacramento,,,,,,,,,,,,,56,,
minoraverages/1914Reach,1913,Pacific Coast League,christian,B00771,Christian,,0,Oakland,,,25,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,christian,F21021,Christian,,0,Oakland,,,,,,,,,,,,,,25,
minoraverages/1914Reach,1913,Pacific Coast League,christian,P10168,Christian,,0,Oakland,,,,22,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,clarke,B00293,Clarke,,0,San Francisco,,,54,,,,,,,,,,,,
minoraverages/1914Reach,1913,Pacific Coast League,clarke,F21442,Clarke,,0,San Francisco,,,,,,,,,,,,,54,,
