source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1914Reach,1913,Southern Association,abstein,B00614,Abstein,,0,Memphis,,,144,,,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,abstein,F20095,Abstein,,0,Memphis,,,,,144,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,adams,B00726,Adams,,0,New Orleans,,,75,,,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,adams,F21771,Adams,,0,New Orleans,,,,,,,,,,,,,72,,
minoraverages/1914Reach,1913,Southern Association,agler,B00149,Agler,,0,Atlanta,,,145,,,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,agler,F20072,Agler,,0,Atlanta,,,,,145,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,alperman,B00207,Alperman,,0,Atlanta,,,97,,,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,alperman,F20166,Alperman,,0,Atlanta,,,,,,97,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,angermeir,F21822,Angermeir,,0,New Orleans,,,,,,,,,,,,,47,,
minoraverages/1914Reach,1913,Southern Association,angermeir,B01143,Angermier,,0,New Orleans,,,50,,,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,atz,B00324,Atz,,0,New Orleans,,,61,,,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,atz,F20144,Atz,,0,New Orleans,,,,,,44,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,atz,F20401,Atz,,0,New Orleans,,,,,,,11,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,baerwald,B00502,Baerwald,,0,Memphis,,,144,,,,,,,,,,,,
minoraverages/1914Reach,1913,Southern Association,baerwald,F20886,Baerwald,,0,Memphis,,,,,,,,,144,,,,,,
minoraverages/1914Reach,1913,Southern Association,bagby,B00806,Bagby,,1,Montgomery,,,,,,,,,,,,,,,
