source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1913,Southern California League,,M93353,Abbott,Spencer,,San Diego,,,,,
minoraverages/emilbb,1913,Southern California League,,M93443,Abbott,Spencer,,Pasadena/Santa Barbara,,,,,
minoraverages/emilbb,1913,Southern California League,,M93389,Brashear,Kitty,,San Bernardino,,,,,
minoraverages/emilbb,1913,Southern California League,,M93408,Connor,Harry,,Long Beach,,,,,
minoraverages/emilbb,1913,Southern California League,,M93366,Cooley,Dick,,San DIego,,,,,
minoraverages/emilbb,1913,Southern California League,,M93390,Durham,"Louis ""Bull""",,Long Beach,,,,,
minoraverages/emilbb,1913,Southern California League,,M93435,Durham,"Louis ""Bull""",,Pasadena/Santa Barbara,,,,,
minoraverages/emilbb,1913,Southern California League,,M93377,Householder,Edward H.,,San Bernardino,,,,,
minoraverages/emilbb,1913,Southern California League,,M93424,Schuster,John,,Pasadena/Santa Barbara,,,,,
minoraverages/emilbb,1913,Southern California League,,M93419,Stovall,Jesse,,Long Beach,,,,,
