source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93557,Gordon,Brooks,,Ardmore,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93536,Hewitt,Whitney,,Ardmore,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93497,Humphries,Jimmy,,Sherman,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93462,Jutze,Jack,,Paris,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93504,Leslie,Roy,,Bonham,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93512,Morris,"Fred ""Cap""",,Wichita Falls/Hugo,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93520,Naylor,Art,,Ardmore,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93456,Peebles,Babe,,Denison,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93548,Pelkey,Lew,,Ardmore,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93481,Poindexter,Dee,,Texarkana,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93470,Ritter,"A. L. ""Dad""",,Texarkana,,,,,
minoraverages/emilbb,1913,Texas-Oklahoma League,,M93561,Speer,Dick,,Durant,,,,,
