source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Western Tri-State League,altermatt,B00174,Altermatt,,0,Boise,,,113,,
minoraverages/1914Spalding,1913,Western Tri-State League,altermatt,F20222,Altermatt,,0,Boise,,,,,ss113
minoraverages/1914Spalding,1913,Western Tri-State League,augustus,B00362,Augustus,,0,Pendleton,,,98,,
minoraverages/1914Spalding,1913,Western Tri-State League,augustus,F20233,Augustus,,0,Pendleton,,,,,ss83
minoraverages/emilbb,1913,Western Tri-State League,bade,M93741,Bade,Gus,,Walla Walla,,,,,
minoraverages/1914Spalding,1913,Western Tri-State League,beck,B00609,Beck,,0,Walla Walla,,,12,,
minoraverages/emilbb,1913,Western Tri-State League,bender,M93764,Bender,John,,North Yakima,,,,,
minoraverages/1914Spalding,1913,Western Tri-State League,berger,B00531,Berger,,0,Pendleton,,,69,,
minoraverages/1914Spalding,1913,Western Tri-State League,berger,F20298,Berger,,0,Pendleton,,,,,of16
minoraverages/1914Spalding,1913,Western Tri-State League,berger,F20547,Berger,,0,Pendleton,,,,,p36
minoraverages/1914Spalding,1913,Western Tri-State League,berger,P10159,Berger,,0,Pendleton,,,,36,
minoraverages/1914Spalding,1913,Western Tri-State League,blausser,B00101,Blausser,,0,Boise,,,113,,
minoraverages/1914Spalding,1913,Western Tri-State League,blausser,F20166,Blausser,,0,Boise,,,,,3b113
minoraverages/1914Spalding,1913,Western Tri-State League,bonner,B00370,Bonner,,0,Boise,,,62,,
minoraverages/1914Spalding,1913,Western Tri-State League,bonner,F20496,Bonner,,0,Boise,,,,,of22
minoraverages/1914Spalding,1913,Western Tri-State League,bonner,F20594,Bonner,,0,Boise,,,,,p33
minoraverages/1914Spalding,1913,Western Tri-State League,bonner,P10070,Bonner,,0,Boise,,,,33,
minoraverages/1914Spalding,1913,Western Tri-State League,bridger-ww,B00343,Bridger,,0,Walla Walla,,,14,,
minoraverages/1914Spalding,1913,Western Tri-State League,bridger-boi,B00646,Bridger,,0,Boise,,,20,,
minoraverages/1914Spalding,1913,Western Tri-State League,bridger-ww,F20604,Bridger,,0,Walla Walla,,,,,p12
minoraverages/1914Spalding,1913,Western Tri-State League,bridger-boi,F20661,Bridger,,0,Boise,,,,,p19
minoraverages/1914Spalding,1913,Western Tri-State League,bridger-ww,P10097,Bridger,,0,Walla Walla,,,,12,
minoraverages/1914Spalding,1913,Western Tri-State League,bridger-boi,P10145,Bridger,,0,Boise,,,,18,
minoraverages/1914Spalding,1913,Western Tri-State League,brown,B00335,Brown,,0,Walla Walla,,,110,,
minoraverages/1914Spalding,1913,Western Tri-State League,brown,F20713,Brown,,0,Walla Walla,,,,,c104
minoraverages/1914Spalding,1913,Western Tri-State League,byrnes,B00232,Byrnes,,0,Pendleton,,,32,,
minoraverages/1914Spalding,1913,Western Tri-State League,byrnes,F20745,Byrnes,,0,Pendleton,,,,,c32
minoraverages/1914Spalding,1913,Western Tri-State League,case,B00528,Case,,0,Boise,,,37,,
minoraverages/1914Spalding,1913,Western Tri-State League,case,F20401,Case,,0,Boise,,,,,of34
minoraverages/1914Spalding,1913,Western Tri-State League,childers,B00614,Childers,,0,Walla Walla,,,106,,
minoraverages/1914Spalding,1913,Western Tri-State League,childers,F20153,Childers,,0,Walla Walla,,,,,3b106
minoraverages/1914Spalding,1913,Western Tri-State League,clark,B00059,Clark,,0,Boise,,,108,,
minoraverages/1914Spalding,1913,Western Tri-State League,clark,F20023,Clark,,0,Boise,,,,,1b108
minoraverages/emilbb,1913,Western Tri-State League,clark,M93732,Clark,Fred,,Boise,,,,,
minoraverages/1914Spalding,1913,Western Tri-State League,cowan,B00210,Cowan,,0,Pendleton,,,15,,
minoraverages/1914Spalding,1913,Western Tri-State League,daley,B00590,Daley,,0,Walla Walla,,,11,,
