source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,baillies,B01093,Baillies,,0,Wausau,,,42,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,baillies,F21013,Baillies,,0,Wausau,,,,,p42
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,baillies,P10244,Baillies,,0,Wausau,,,,40,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,bauman,B00403,Bauman,,0,Green Bay,,,88,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,bauman,F20612,Bauman,,0,Green Bay,,,,,of88
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,baxter,B00638,Baxter,,0,Appleton,,,117,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,baxter,F20177,Baxter,,0,Appleton,,,,,2b117
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,bay,B00092,Bay,,0,Madison,,,125,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,bay,F20505,Bay,,0,Madison,,,,,of125
minoraverages/emilbb,1913,Wisconsin-Illinois League,bay,M91891,Bay,Harry,,Madison,,,,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,besse,B00255,Besse,,0,Wausau,,,43,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,besse,F20620,Besse,,0,Wausau,,,,,of43
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,bewer,B00961,Bewer,,0,Wausau,,,49,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,bewer,F20240,Bewer,,0,Wausau,,,,,3b49
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,block,B00515,Block,,0,Rockford,,,109,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,block,F20713,Block,,0,Rockford,,,,,of109
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,boothby,B00739,Boothby,,0,Rockford,,,47,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,boothby,F21068,Boothby,,0,Rockford,,,,,p40
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,boothby,P10228,Boothby,,0,Rockford,,,,40,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,brady,B01007,Brady,,0,Oshkosh,,,33,,
minoraverages/1914Spalding,1913,Wisconsin-Illinois League,brady,F21149,Brady,,0,Oshkosh,,,,,p33
