source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1915Spalding,1914,Atlantic League,acosta,B00752,Acosta,,0,Long Branch,,,31,,
minoraverages/1915Spalding,1914,Atlantic League,acosta,F20829,Acosta,,0,Long Branch,,,,,p31
minoraverages/1915Spalding,1914,Atlantic League,acosta,P10056,Acosta,,0,Long Branch,,,,25,
minoraverages/1915Spalding,1914,Atlantic League,adler,B00255,Adler,,0,Poughkeepsie,,,90,,
minoraverages/1915Spalding,1914,Atlantic League,adler,F20128,Adler,,0,Poughkeepsie,,,,,1b39
minoraverages/1915Spalding,1914,Atlantic League,adler,F20265,Adler,,0,Poughkeepsie,,,,,3b51
minoraverages/1915Spalding,1914,Atlantic League,applegate,P10290,Applegate,,0,Perth Amboy,,,,11,
minoraverages/1915Spalding,1914,Atlantic League,arragon,B00013,Arragon,,0,Long Branch,,,58,,
minoraverages/1915Spalding,1914,Atlantic League,arragon,F20279,Arragon,,0,Long Branch,,,,,3b58
minoraverages/1915Spalding,1914,Atlantic League,baranda,B00174,Baranda,,0,Long Branch,,,62,,
minoraverages/1915Spalding,1914,Atlantic League,baranda,F20080,Baranda,,0,Long Branch,,,,,1b35
minoraverages/1915Spalding,1914,Atlantic League,baranda,F20768,Baranda,,0,Long Branch,,,,,of11
minoraverages/1915Spalding,1914,Atlantic League,baranda,F20943,Baranda,,0,Long Branch,,,,,p11
minoraverages/1915Spalding,1914,Atlantic League,baranda,P10100,Baranda,,0,Long Branch,,,,14,
minoraverages/1915Spalding,1914,Atlantic League,beatty,B00207,Beatty,,0,Poughkeepsie,,,88,,
minoraverages/1915Spalding,1914,Atlantic League,beatty,F20350,Beatty,,0,Poughkeepsie,,,,,
minoraverages/1915Spalding,1914,Atlantic League,berran,B00196,Berran,,0,Danbury,,,44,,
minoraverages/1915Spalding,1914,Atlantic League,berran,F20547,Berran,,0,Danbury,,,,,of44
minoraverages/1915Spalding,1914,Atlantic League,bien,B00335,Bien,,0,Perth Amboy,,,54,,
minoraverages/1915Spalding,1914,Atlantic League,bien,F21149,Bien,,0,Perth Amboy,,,,,c54
minoraverages/1915Spalding,1914,Atlantic League,blakey,B00416,Blakey,,0,Danbury,,,64,,
minoraverages/1915Spalding,1914,Atlantic League,blakey,F20636,Blakey,,0,Danbury,,,,,of64
minoraverages/1915Spalding,1914,Atlantic League,bradley,B00068,Bradley,,0,Poughkeepsie,,,79,,
minoraverages/1915Spalding,1914,Atlantic League,bradley,F20458,Bradley,,0,Poughkeepsie,,,,,ss21
minoraverages/1915Spalding,1914,Atlantic League,bradley,F20784,Bradley,,0,Poughkeepsie,,,,,of58
minoraverages/1915Spalding,1914,Atlantic League,brandt,B00822,Brandt,,1,Asbury Park,,,,,
minoraverages/1915Spalding,1914,Atlantic League,brandt,B00822,Brandt,,2,Paterson,,,,,
minoraverages/1915Spalding,1914,Atlantic League,brandt,B00822,Brandt,,T,,,,62,,
minoraverages/1915Spalding,1914,Atlantic League,brandt,F20287,Brandt,,1,Asbury Park,,,,,3b
minoraverages/1915Spalding,1914,Atlantic League,brandt,F20287,Brandt,,2,Paterson,,,,,3b
minoraverages/1915Spalding,1914,Atlantic League,brandt,F20287,Brandt,,T,,,,,,3b62
minoraverages/1915Spalding,1914,Atlantic League,brock,B00760,Brock,,0,Paterson,,,47,,
minoraverages/1915Spalding,1914,Atlantic League,brock,F20648,Brock,,0,Paterson,,,,,of47
minoraverages/1915Spalding,1914,Atlantic League,burns,B00101,Burns,,0,Poughkeepsie,,,50,,
minoraverages/1915Spalding,1914,Atlantic League,burns,F20463,Burns,,0,Poughkeepsie,,,,,ss24
minoraverages/1915Spalding,1914,Atlantic League,burns,F20505,Burns,,0,Poughkeepsie,,,,,of26
minoraverages/1915Spalding,1914,Atlantic League,calvo,B00241,Calvo,,0,Long Branch,,,49,,
minoraverages/1915Spalding,1914,Atlantic League,calvo,F20539,Calvo,,0,Long Branch,,,,,of49
minoraverages/1915Spalding,1914,Atlantic League,campbell,B00397,Campbell,,0,Newburgh,,,30,,
minoraverages/1915Spalding,1914,Atlantic League,campbell,F21174,Campbell,,0,Newburgh,,,,,c30
minoraverages/1915Spalding,1914,Atlantic League,clark,F20166,Clark,,0,Perth Amboy,,,,,2b29
minoraverages/1915Spalding,1914,Atlantic League,clifford,B00739,Clifford,,0,Perth Amboy,,,15,,
minoraverages/1915Spalding,1914,Atlantic League,clifford,F21045,Clifford,,0,Perth Amboy,,,,,p15
minoraverages/1915Spalding,1914,Atlantic League,clifford,P10043,Clifford,,0,Perth Amboy,,,,15,
