source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1915Spalding,1914,Central Texas League,allison,B00553,Allison,,0,Waxahachie,,,11,,
minoraverages/1915Spalding,1914,Central Texas League,allison,F20807,Allison,,0,Waxahachie,,,,,
minoraverages/1915Spalding,1914,Central Texas League,anderson,B00278,Anderson,,0,Italy,,,12,,
minoraverages/1915Spalding,1914,Central Texas League,anderson,F20657,Anderson,,0,Italy,,,,,p12
minoraverages/1915Spalding,1914,Central Texas League,angel,B00623,Angel,F.,0,Corsicana,,,16,,
minoraverages/1915Spalding,1914,Central Texas League,angel,F20713,Angel,F.,0,Corsicana,,,,,p16
minoraverages/1915Spalding,1914,Central Texas League,brockman,B00667,Brockman,,0,Italy,,,22,,
minoraverages/1915Spalding,1914,Central Texas League,brockman,F20496,Brockman,,0,Italy,,,,,c22
minoraverages/1915Spalding,1914,Central Texas League,burleson,B00811,Burleson,,0,Waxahachie,,,6,,
minoraverages/1915Spalding,1914,Central Texas League,burleson,F20829,Burleson,,0,Waxahachie,,,,,
minoraverages/emilbb,1914,Central Texas League,,M92335,Burleson,Luther,,Waxahachie,,,,,
minoraverages/1915Spalding,1914,Central Texas League,caldwell,B00059,Caldwell,,0,Corsicana,,,21,,
minoraverages/1915Spalding,1914,Central Texas League,caldwell,F20189,Caldwell,,0,Corsicana,,,,,3b21
minoraverages/1915Spalding,1914,Central Texas League,carson,B00705,Carson,,0,Italy,,,28,,
minoraverages/1915Spalding,1914,Central Texas League,carson,F20342,Carson,,0,Italy,,,,,of28
minoraverages/1915Spalding,1914,Central Texas League,chapman,B00381,Chapman,,1,Corsicana,,,,,
minoraverages/1915Spalding,1914,Central Texas League,chapman,B00381,Chapman,,2,Hillsboro,,,,,
minoraverages/1915Spalding,1914,Central Texas League,chapman,B00381,Chapman,,T,,,,43,,
minoraverages/1915Spalding,1914,Central Texas League,chapman,F20560,Chapman,,1,Corsicana,,,,,c
minoraverages/1915Spalding,1914,Central Texas League,chapman,F20560,Chapman,,2,Hillsboro,,,,,c
minoraverages/1915Spalding,1914,Central Texas League,chapman,F20560,Chapman,,T,,,,,,c30
minoraverages/1915Spalding,1914,Central Texas League,chapman,F20699,Chapman,,0,Corsicana,,,,,p13
minoraverages/1915Spalding,1914,Central Texas League,cole,B00182,Cole,,0,Waxahachie,,,37,,
minoraverages/1915Spalding,1914,Central Texas League,cole,F20233,Cole,,0,Waxahachie,,,,,ss37
minoraverages/1915Spalding,1914,Central Texas League,collins,B00130,Collins,,0,Hillsboro,,,6,,
minoraverages/1915Spalding,1914,Central Texas League,collins,F20583,Collins,,0,Hillsboro,,,,,p6
minoraverages/1915Spalding,1914,Central Texas League,cooley,B00531,Cooley,,1,Italy,,,,,
minoraverages/1915Spalding,1914,Central Texas League,cooley,B00531,Cooley,,2,West,,,,,
minoraverages/1915Spalding,1914,Central Texas League,cooley,B00531,Cooley,,T,,,,26,,
minoraverages/1915Spalding,1914,Central Texas League,cooley,F20539,Cooley,,1,Italy,,,,,c
minoraverages/1915Spalding,1914,Central Texas League,cooley,F20539,Cooley,,2,West,,,,,c
minoraverages/1915Spalding,1914,Central Texas League,cooley,F20539,Cooley,,T,,,,,,c26
minoraverages/1915Spalding,1914,Central Texas League,corder,B00502,Corder,,0,Italy,,,36,,
minoraverages/1915Spalding,1914,Central Texas League,corder,F20810,Corder,,0,Italy,,,,,
minoraverages/emilbb,1914,Central Texas League,,M92370,Craig,T. A.,,Italy,,,,,
minoraverages/1915Spalding,1914,Central Texas League,crockett,B00308,Crockett,,0,Waxahachie,,,39,,
minoraverages/1915Spalding,1914,Central Texas League,crockett,F20014,Crockett,,0,Waxahachie,,,,,1b39
minoraverages/1915Spalding,1914,Central Texas League,currie,B00475,Currie,,0,Ennis,,,30,,
minoraverages/1915Spalding,1914,Central Texas League,currie,F20552,Currie,,0,Ennis,,,,,c30
minoraverages/1915Spalding,1914,Central Texas League,darnaby,B00207,Darnaby,,0,West,,,52,,
minoraverages/1915Spalding,1914,Central Texas League,darnaby,F20316,Darnaby,,0,West,,,,,of52
minoraverages/1915Spalding,1914,Central Texas League,davis,B00241,Davis,,0,Waxahachie,,,35,,
minoraverages/1915Spalding,1914,Central Texas League,davis,F20375,Davis,,0,Waxahachie,,,,,of35
minoraverages/1915Spalding,1914,Central Texas League,denton,B00794,Denton,,1,Italy,,,,,
minoraverages/1915Spalding,1914,Central Texas League,denton,B00794,Denton,,2,Hillsboro,,,,,
minoraverages/1915Spalding,1914,Central Texas League,denton,B00794,Denton,,T,,,,20,,
minoraverages/1915Spalding,1914,Central Texas League,denton,F20080,Denton,,1,Italy,,,,,1b
minoraverages/1915Spalding,1914,Central Texas League,denton,F20080,Denton,,2,Hillsboro,,,,,1b
minoraverages/1915Spalding,1914,Central Texas League,denton,F20080,Denton,,T,,,,,,1b20
minoraverages/1915Spalding,1914,Central Texas League,dickey,B00912,Dickey,,0,Italy,,,13,,
minoraverages/1915Spalding,1914,Central Texas League,dickey,F20685,Dickey,,0,Italy,,,,,p13
minoraverages/1915Spalding,1914,Central Texas League,disharoon,B00255,Disharoon,,0,Waxahachie,,,39,,
minoraverages/1915Spalding,1914,Central Texas League,disharoon,F20131,Disharoon,,0,Waxahachie,,,,,2b39
minoraverages/1915Spalding,1914,Central Texas League,dobbins,B00854,Dobbins,,0,Corsicana,,,38,,
minoraverages/1915Spalding,1914,Central Texas League,dobbins,F20240,Dobbins,,0,Corsicana,,,,,ss38
minoraverages/emilbb,1914,Central Texas League,,M92397,Eastland,L. C.,,Hillsboro,,,,,
minoraverages/1915Spalding,1914,Central Texas League,ellis,B00589,Ellis,,0,Italy,,,7,,
minoraverages/1915Spalding,1914,Central Texas League,ellis,F20792,Ellis,,0,Italy,,,,,
