source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1915Spalding,1914,Colonial League,aldred,B00450,Aldred,,0,Pawtucket,,,101,,
minoraverages/1915Spalding,1914,Colonial League,aldred,F20636,Aldred,,0,Pawtucket,,,,,of91
minoraverages/1915Spalding,1914,Colonial League,barry,B00278,Barry,,0,Taunton,,,87,,
minoraverages/1915Spalding,1914,Colonial League,barry,F21174,Barry,,0,Taunton,,,,,c87
minoraverages/1915Spalding,1914,Colonial League,bauer,B00646,Bauer,,0,Brockton,,,25,,
minoraverages/1915Spalding,1914,Colonial League,bauer,F20496,Bauer,,1,Woonsocket,,,,,ss
minoraverages/1915Spalding,1914,Colonial League,bauer,F20496,Bauer,,2,Brockton,,,,,ss
minoraverages/1915Spalding,1914,Colonial League,bauer,F20496,Bauer,,T,,,,,,ss25
minoraverages/1915Spalding,1914,Colonial League,besse,B00059,Besse,,0,New Bedford,,,37,,
minoraverages/1915Spalding,1914,Colonial League,bope,B00403,Bope,,1,New Bedford,,,,,
minoraverages/1915Spalding,1914,Colonial League,bope,B00403,Bope,,2,Fall River,,,,,
minoraverages/1915Spalding,1914,Colonial League,bope,B00403,Bope,,3,Taunton,,,,,
minoraverages/1915Spalding,1914,Colonial League,bope,B00403,Bope,,T,,,,79,,
minoraverages/1915Spalding,1914,Colonial League,bope,F20115,Bope,,1,New Bedford,,,,,1b
minoraverages/1915Spalding,1914,Colonial League,bope,F20115,Bope,,2,Fall River,,,,,1b
minoraverages/1915Spalding,1914,Colonial League,bope,F20115,Bope,,3,Taunton,,,,,1b
minoraverages/1915Spalding,1914,Colonial League,bope,F20115,Bope,,T,,,,,,1b79
minoraverages/1915Spalding,1914,Colonial League,breen,B00335,Breen,,1,Woonsocket,,,,,
minoraverages/1915Spalding,1914,Colonial League,breen,B00335,Breen,,2,Fall River,,,,,
minoraverages/1915Spalding,1914,Colonial League,breen,B00335,Breen,,T,,,,81,,
minoraverages/1915Spalding,1914,Colonial League,breen,F20700,Breen,,1,Woonsocket,,,,,of
