source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Georgia-Alabama League,aaron,B00614,Aaron,,0,Rome,,,29,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,aaron,F20864,Aaron,,0,Rome,,,,,,,,,,,,,,29,
researchers/blau,1914,Georgia-Alabama League,,VHYDJQG,Aaron,,,Rome,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,abbott-ann,B00695,Abbott,,0,Anniston,,,86,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,abbott-gad,B01010,Abbott,,0,Gadsden,,,31,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,abbott-gad,F20222,Abbott,,0,Gadsden,,,,,,,86,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,abbott-ann,F20919,Abbott,,0,Anniston,,,,,,,,,,,,,,31,
minoraverages/1915Spalding,1914,Georgia-Alabama League,alexander,B00646,Alexander,,0,Rome,,,75,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,alexander,F20298,Alexander,,0,Rome,,,,,,,75,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,allen,B00752,Allen,,0,La Grange,,,73,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,allen,F20552,Allen,,0,La Grange,,,,,,,,,73,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,amazon,B00833,Amazon,,0,La Grange,,,75,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,amazon,F20014,Amazon,,0,La Grange,,,,,75,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,askew,B00488,Askew,,0,Gadsden,,,59,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,askew,F20072,Askew,,0,Gadsden,,,,,59,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,askew,F20482,Askew,,0,Gadsden,,,,,,,,,59,,,,,,
researchers/blau,1914,Georgia-Alabama League,,CMCPTDL,Askew,,,Anniston,,,,,,,,,,,,,,,
researchers/blau,1914,Georgia-Alabama League,,CMCPTDL,Askew,,,Talladega,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,,B00324,Baker,,0,Talladega,,,78,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,,F21092,Baker,,0,Talladega,,,,,,,,,,,,,78,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,bannister,B00335,Bannister,,0,La Grange,,,78,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,bannister,F20583,Bannister,,0,La Grange,,,,,,,,,78,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,barclay,B00794,Barclay,,0,Rome,,,16,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,barclay,F20956,Barclay,,0,Rome,,,,,,,,,,,,,,16,
minoraverages/1915Spalding,1914,Georgia-Alabama League,batson,B01086,Batson,,0,Anniston,,,29,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,batson,F20962,Batson,,0,Anniston,,,,,,,,,,,,,,29,
minoraverages/1915Spalding,1914,Georgia-Alabama League,baumgardner,B00528,Baumgardner,,0,Gadsden,,,75,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,baumgardner,F20265,Baumgardner,,0,Gadsden,,,,,,,75,,,,,,,,
researchers/blau,1914,Georgia-Alabama League,,SVLZNDG,Baumgardner,,,Anniston,,,,,,,,,,,,,,,
researchers/blau,1914,Georgia-Alabama League,,SVLZNDG,Baumgardner,,,Gadsden,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,,B00651,Black,,0,Talladega,,,12,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,,F20768,Black,,0,Talladega,,,,,,,,,,,,,,12,
minoraverages/1915Spalding,1914,Georgia-Alabama League,blackwell,B00210,Blackwell,,0,Opelika,,,88,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Georgia-Alabama League,blackwell,F20240,Blackwell,,0,Opelika,,,,,,,88,,,,,,,,
