source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Nebraska State League,acock,B00771,Acock,,0,Kearney,,,102,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,acock,F20131,Acock,,0,Kearney,,,,,,102,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,acock,F21174,Acock,,0,Kearney,,,,,,,,,102,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,adams-kea,B00623,Adams,,0,Kearney,,,10,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,adams-col,B01119,Adams,,0,Columbus,,,92,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,adams-col,F20222,Adams,,0,Columbus,,,,,,92,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,adams-col,F21491,Adams,,0,Columbus,,,,,,,,,92,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,adams-kea,F21553,Adams,,0,Kearney,,,,,,,,,10,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,adams-kea,F22169,Adams,,0,Kearney,,,,,,,,,,,,,,10,
minoraverages/1915Spalding,1914,Nebraska State League,adams-kea,P10486,Adams,,0,Kearney,,,,9,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,artley,P10019,Artley,,0,Superior,,,,4,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,ash,B01156,Ash,,0,York,,,25,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,ash,F20233,Ash,,0,York,,,,,,25,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,ash,F21589,Ash,,0,York,,,,,,,,,25,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,atherton,B01345,Atherton,,0,Beatrice,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bechtold,B00811,Bechtold,,0,York,,,98,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bechtold,F21403,Bechtold,,0,York,,,,,,,,,98,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,begley,B00718,Begley,,0,Superior,,,41,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,begley,F20046,Begley,,0,Superior,,,,,41,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,begley,F20571,Begley,,0,Superior,,,,,,,,,41,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bennett,B00117,Bennett,,0,Hastings,,,99,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bennett,F20776,Bennett,,0,Hastings,,,,,,,,,99,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bernsen,B01300,Bernsen,,0,York,,,17,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bernsen,F21566,Bernsen,,0,York,,,,,,,,,17,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,berte,B00488,Berte,,0,Kearney,,,45,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,berte,F20375,Berte,,0,Kearney,,,,,,,,45,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,berte,F21084,Berte,,0,Kearney,,,,,,,,,45,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bischop,B00544,Bischop,,0,Superior,,,51,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bischop,F20997,Bischop,,0,Superior,,,,,,,,,51,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bischop,F21912,Bischop,,0,Superior,,,,,,,,,,,,,,51,
minoraverages/1915Spalding,1914,Nebraska State League,bischop,P10244,Bischop,,0,Superior,,,,35,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,black,B00092,Black,,0,Beatrice,,,112,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,black,F20810,Black,,0,Beatrice,,,,,,,,,112,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bockeml,P10542,Bockem'l,,0,York,,,,3,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bockewitz,B00416,Bockewitz,,0,Beatrice,,,113,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bockewitz,F20023,Bockewitz,,0,Beatrice,,,,,113,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bockewitz,F20604,Bockewitz,,0,Beatrice,,,,,,,,,113,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bono,B01007,Bono,,0,Kearney,,,13,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bono,F20908,Bono,,0,Kearney,,,,,,,,,13,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,bono,F21865,Bono,,0,Kearney,,,,,,,,,,,,,,13,
minoraverages/1915Spalding,1914,Nebraska State League,bono,P10113,Bono,,0,Kearney,,,,12,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,brannon,B00865,Brannon,,0,Beatrice,,,64,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,brannon,F20342,Brannon,,0,Beatrice,,,,,,,64,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,brannon,F21680,Brannon,,0,Beatrice,,,,,,,,,64,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,brian,B00356,Brian,,0,Beatrice,,,36,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,brian,F20886,Brian,,0,Beatrice,,,,,,,,,36,,,,,,
minoraverages/1915Spalding,1914,Nebraska State League,brian,F21854,Brian,,0,Beatrice,,,,,,,,,,,,,,36,
minoraverages/1915Spalding,1914,Nebraska State League,brian,P10168,Brian,,0,Beatrice,,,,30,,,,,,,,,,,
researchers/blau,1914,Nebraska State League,,DHBBZFY,Brian,Bert,,Beatrice,,,,,,,,,,,,,,,
