source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1915Spalding,1914,Tri-State League,adams,B01007,Adams,,0,Harrisburg,,,39,,
minoraverages/1915Spalding,1914,Tri-State League,adams,F20956,Adams,,0,Harrisburg,,,,,p36
minoraverages/1915Spalding,1914,Tri-State League,adams,P10100,Adams,,0,Harrisburg,,,,,
minoraverages/1915Spalding,1914,Tri-State League,baker,B00747,Baker,,0,Reading,,,30,,
minoraverages/1915Spalding,1914,Tri-State League,baker,F21084,Baker,,0,Reading,,,,,p27
minoraverages/1915Spalding,1914,Tri-State League,baker,P10215,Baker,,0,Reading,,,,,
minoraverages/1915Spalding,1914,Tri-State League,barrett,B00531,Barrett,,0,Lancaster,,,17,,
minoraverages/1915Spalding,1914,Tri-State League,barrett,F20699,Barrett,,0,Lancaster,,,,,of16
minoraverages/1915Spalding,1914,Tri-State League,beaver,B01093,Beaver,,0,Reading,,,,,
minoraverages/1915Spalding,1914,Tri-State League,beaver,F20784,Beaver,,0,Reading,,,,,p7
minoraverages/1915Spalding,1914,Tri-State League,beaver,P10361,Beaver,,0,Reading,,,,,
minoraverages/1915Spalding,1914,Tri-State League,boelzle,B00255,Boelzle,,0,Reading,,,66,,
minoraverages/1915Spalding,1914,Tri-State League,boelzle,F21196,Boelzle,,0,Reading,,,,,c57
minoraverages/1915Spalding,1914,Tri-State League,bohen,B00488,Bohen,,0,Reading,,,31,,
minoraverages/1915Spalding,1914,Tri-State League,bohen,F21076,Bohen,,0,Reading,,,,,p30
minoraverages/1915Spalding,1914,Tri-State League,bohen,P10070,Bohen,,0,Reading,,,,,
minoraverages/1915Spalding,1914,Tri-State League,bold,B00528,Bold,,0,Lancaster,,,24,,
minoraverages/1915Spalding,1914,Tri-State League,bold,F20080,Bold,,0,Lancaster,,,,,1b24
minoraverages/1915Spalding,1914,Tri-State League,boyle,B00397,Boyle,,0,Allentown,,,110,,
minoraverages/1915Spalding,1914,Tri-State League,boyle,F20072,Boyle,,0,Allentown,,,,,1b110
minoraverages/1915Spalding,1914,Tri-State League,brown,B00232,Brown,,0,Wilmington,,,101,,
minoraverages/1915Spalding,1914,Tri-State League,brown,F20604,Brown,,0,Wilmington,,,,,of88
minoraverages/1915Spalding,1914,Tri-State League,brown,F20970,Brown,,0,Wilmington,,,,,p13
minoraverages/1915Spalding,1914,Tri-State League,brown,P10336,Brown,,0,Wilmington,,,,,
minoraverages/1915Spalding,1914,Tri-State League,byers,B01029,Byers,,0,Harrisburg,,,19,,
minoraverages/1915Spalding,1914,Tri-State League,byers,F20327,Byers,,0,Harrisburg,,,,,3b19
minoraverages/1915Spalding,1914,Tri-State League,cannell,B00045,Cannell,,0,Allentown,,,105,,
minoraverages/1915Spalding,1914,Tri-State League,cannell,F20505,Cannell,,0,Allentown,,,,,ss104
minoraverages/1915Spalding,1914,Tri-State League,cassell,B00638,Cassell,,0,Trenton,,,39,,
minoraverages/1915Spalding,1914,Tri-State League,cassell,F21210,Cassell,,0,Trenton,,,,,c26
minoraverages/1915Spalding,1914,Tri-State League,castle,B00158,Castle,,0,Allentown,,,110,,
minoraverages/1915Spalding,1914,Tri-State League,castle,F20620,Castle,,0,Allentown,,,,,of110
minoraverages/emilbb,1914,Tri-State League,,M91326,Castle,John,,Allentown,,,,,
minoraverages/1915Spalding,1914,Tri-State League,chabek,B00879,Chabek,,0,Harrisburg,,,45,,
minoraverages/1915Spalding,1914,Tri-State League,chabek,F20919,Chabek,,0,Harrisburg,,,,,p35
minoraverages/1915Spalding,1914,Tri-State League,chabek,P10019,Chabek,,0,Harrisburg,,,,,
minoraverages/1915Spalding,1914,Tri-State League,clark,B00130,Clark,,0,Lancaster,,,20,,
minoraverages/1915Spalding,1914,Tri-State League,clark,F20713,Clark,,0,Lancaster,,,,,of20
minoraverages/1915Spalding,1914,Tri-State League,clauser,B00614,Clauser,,0,Lancaster,,,47,,
minoraverages/1915Spalding,1914,Tri-State League,clauser,F20144,Clauser,,0,Lancaster,,,,,2b26
minoraverages/1915Spalding,1914,Tri-State League,clauser,F20334,Clauser,,0,Lancaster,,,,,3b21
minoraverages/1915Spalding,1914,Tri-State League,clay,B00229,Clay,,0,Lancaster,,,108,,
minoraverages/1915Spalding,1914,Tri-State League,clay,F20737,Clay,,0,Lancaster,,,,,of108
minoraverages/1915Spalding,1914,Tri-State League,clunn,B00117,Clunn,,0,Reading,,,34,,
minoraverages/1915Spalding,1914,Tri-State League,clunn,F21000,Clunn,,0,Reading,,,,,p28
minoraverages/1915Spalding,1914,Tri-State League,clunn,P10184,Clunn,,0,Reading,,,,,
minoraverages/1915Spalding,1914,Tri-State League,cockill,B00149,Cockill,,0,Harrisburg,,,107,,
