source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B00427,Adams,,0,Twin City,,,110,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F20095,Adams,,0,Twin City,,,,,110,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B01029,Baillies,,0,Wausau,,,36,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F21264,Baillies,,0,Wausau,,,,,,,,,,,,,,36,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,P10373,Baillies,,0,Wausau,,,,35,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B00515,Bauman,,0,Green Bay,,,117,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F20350,Bauman,,0,Green Bay,,,,,,,45,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F20539,Bauman,,0,Green Bay,,,,,,,,,72,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B00434,Baxter,,0,Wausau,,,123,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F20153,Baxter,,0,Wausau,,,,,,123,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B00475,Bay,,0,Madison,,,114,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F20571,Bay,,0,Madison,,,,,,,,,114,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B00101,Bell,,0,Racine,,,97,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F20612,Bell,,0,Racine,,,,,,,,,97,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B00045,Benton,,0,Madison,,,10,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F20841,Benton,,0,Madison,,,,,,,,,,,,,,10,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,P10493,Benton,,0,Madison,,,,9,,,,,,,,,,,
researchers/blau,1914,Wisconsin-Illinois League,,YXVTBMB,Benton,Harry,,Madison,,,,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,B01242,Benz,,0,Green Bay,,,26,,,,,,,,,,,,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,F21293,Benz,,0,Green Bay,,,,,,,,,,,,,,26,
minoraverages/1915Spalding,1914,Wisconsin-Illinois League,,P10407,Benz,,0,Green Bay,,,,27,,,,,,,,,,,
