source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/Nemec,1915,Bi-State League,anderson,B00013,Anderson,Robert,0,Freeport,,,47,,"c,of"
minoraverages/Nemec,1915,Bi-State League,bachant,B00021,Bachant,Louis,0,Aurora,,,36,,c
minoraverages/Nemec,1915,Bi-State League,bailey,B00037,Bailey,Doc,0,Elgin,,,18,,"p,of"
minoraverages/Nemec,1915,Bi-State League,bailiess,B00045,Bailiess,Frank,0,Aurora,,,16,,"p,of"
minoraverages/Nemec,1915,Bi-State League,bartell,B00059,Bartell,,0,Racine,,,1,,p
minoraverages/Nemec,1915,Bi-State League,barter,B00068,Barter,Ernie,0,Aurora,,,37,,2b
minoraverages/Nemec,1915,Bi-State League,belting,B00076,Belting,Snort,0,Ottawa,,,13,,p
minoraverages/Nemec,1915,Bi-State League,bierman,B00084,Bierman,Frank,0,Ottawa,,,11,,p
minoraverages/Nemec,1915,Bi-State League,bixby,B00092,Bixby,,0,Racine,,,1,,p
minoraverages/Nemec,1915,Bi-State League,blake,B00101,Blake,Denny,0,Elgin,,,46,,"1b,2b,3b,of"
minoraverages/Nemec,1915,Bi-State League,blake,M90039,Blake,Denny,,Elgin,,,,,
minoraverages/emilbb,1915,Bi-State League,blake,M91581,Blake,Dennis,,Elgin,,,,,
minoraverages/Nemec,1915,Bi-State League,brautigam,B00117,Brautigam,Geo.,0,Elgin,,,48,,"2b,ss"
minoraverages/Nemec,1915,Bi-State League,broadwell,B00130,Broadwell,,0,Streator,,,2,,"p,2b,of"
minoraverages/Nemec,1915,Bi-State League,bronnan,B00125,Bronnan,Joseph,0,Elgin,,,51,,of
minoraverages/Nemec,1915,Bi-State League,brooks,B00149,Brooks,,0,Streator,,,1,,p
minoraverages/Nemec,1915,Bi-State League,brown,B00158,Brown,,0,Freeport,,,5,,of
minoraverages/Nemec,1915,Bi-State League,burgwald,B00163,Burgwald,Ted,0,Aurora,,,49,,ss
minoraverages/Nemec,1915,Bi-State League,burwell,B00174,Burwell,William,0,Elgin,,,26,,"p,1b,of"
minoraverages/Nemec,1915,Bi-State League,carroll,B00182,Carroll,Frank,0,Racine,,,25,,"p,of"
minoraverages/Nemec,1915,Bi-State League,carrow,B00196,Carrow,Fred,T,,,,17,,p
minoraverages/Nemec,1915,Bi-State League,carrow,B01359,Carrow,,1,Ottawa,,,3,,
minoraverages/Nemec,1915,Bi-State League,carrow,B01368,Carrow,,2,Racine,,,14,,
minoraverages/Nemec,1915,Bi-State League,chellgord,B00207,Chellgord,,0,Racine,,,12,,2b
minoraverages/Nemec,1915,Bi-State League,chick,B00210,Chick,Fred,0,Elgin,,,17,,3b
minoraverages/Nemec,1915,Bi-State League,cockingham,B00232,Cockingham,,0,Racine,,,1,,p
minoraverages/Nemec,1915,Bi-State League,collins,B00229,Collins,Joseph,0,Elgin,,,49,,"2b,3b,of"
minoraverages/Nemec,1915,Bi-State League,cosgrove,B00241,Cosgrove,,0,Aurora,,,4,,of
minoraverages/Nemec,1915,Bi-State League,coyle,B00255,Coyle,,0,Streator,,,48,,1b
minoraverages/Nemec,1915,Bi-State League,cummings,B00264,Cummings,H. S. (Doc),0,Freeport,,,11,,"p,of"
minoraverages/Nemec,1915,Bi-State League,cummings,M90052,Cummings,H. S. (Doc),,Freeport,,,,,
minoraverages/emilbb,1915,Bi-State League,cummings,M91607,Cummings,Doc,,Freeport,,,,,
minoraverages/Nemec,1915,Bi-State League,davis,B00278,Davis,,0,Aurora,,,5,,p
minoraverages/Nemec,1915,Bi-State League,dean,B00286,Dean,,0,Aurora,,,49,,of
minoraverages/Nemec,1915,Bi-State League,desmond,B00293,Desmond,,T,,,,46,,2b
minoraverages/Nemec,1915,Bi-State League,desmond,B01376,Desmond,,1,Ottawa,,,8,,
minoraverages/Nemec,1915,Bi-State League,desmond,B01384,Desmond,,2,Racine,,,38,,
minoraverages/Nemec,1915,Bi-State League,devine,B00308,Devine,Hurbert,0,Streator,,,5,,p
minoraverages/Nemec,1915,Bi-State League,donaldson,B00319,Donaldson,,0,Ottawa,,,20,,"p,of"
minoraverages/Nemec,1915,Bi-State League,dowd,B00324,Dowd,William,0,Freeport,,,2,,p
minoraverages/Nemec,1915,Bi-State League,dugan,B00335,Dugan,,0,Freeport,,,12,,of
minoraverages/Nemec,1915,Bi-State League,dunn,B00343,Dunn,Dinny,0,Ottawa,,,2,,"c,of"
minoraverages/Nemec,1915,Bi-State League,durham,B00356,Durham,Albert (Bull),0,Racine,,,48,,"1b,of"
minoraverages/Nemec,1915,Bi-State League,ehrgott,B00362,Ehrgott,Louis,0,Ottawa,,,53,,c
minoraverages/Nemec,1915,Bi-State League,ehrgott,M90060,Ehrgott,Louis,,Ottawa,,,,,
minoraverages/Nemec,1915,Bi-State League,engman,B00370,Engman,,0,Ottawa,,,3,,2b
minoraverages/emilbb,1915,Bi-State League,ehrgott,M91610,Erghott,Lou,,Ottawa,,,,,
minoraverages/Nemec,1915,Bi-State League,fanvill,B00381,Fanville,,0,Streator,,,2,,p
minoraverages/Nemec,1915,Bi-State League,fenner,B00397,Fenner,Fritz,0,Elgin,,,4,,p
minoraverages/Nemec,1915,Bi-State League,fortin,B00403,Fortin,,0,Racine,,,2,,of
minoraverages/Nemec,1915,Bi-State League,franks,B00416,Franks,Earl,0,Freeport,,,12,,of
minoraverages/Nemec,1915,Bi-State League,french,B00427,French,Winnie,0,Streator,,,9,,"p,of"
minoraverages/Nemec,1915,Bi-State League,gouldner,B00434,Gouldner,Ben,0,Racine,,,51,,ss
minoraverages/Nemec,1915,Bi-State League,groeling,B00442,Groeling,Frank,0,Aurora,,,49,,3b
minoraverages/Nemec,1915,Bi-State League,gruno,B00450,Gruno,Butch,0,Racine,,,15,,p
minoraverages/Nemec,1915,Bi-State League,halstead,B00469,Halstead,Harry,T,,,,6,,p
minoraverages/Nemec,1915,Bi-State League,halstead,B01392,Halstead,,1,Ottawa,,,1,,
minoraverages/Nemec,1915,Bi-State League,halstead,B01402,Halstead,,2,Streator,,,3,,
