source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1915/1915-SBN,1915,California Winter League,autrey,P0191772,Audtrey,,,San Diego,19151113,19151113,1,0,1b1
boxscores/1915/1915-SBN,1915,California Winter League,autrey,P7273592,Autrey,,,San Diego,19151114,19151205,2,0,1b2
boxscores/1915/1915-SDU,1915,California Winter League,autrey,P9374785,Autrey,,,San Diego,19151106,19151226,13,0,1b13
boxscores/1915/1915-SBN,1915,California Winter League,bachman,P5932172,Bachman,,,Chicago,19151120,19151120,1,0,2b1
boxscores/1915/1915-SDU,1915,California Winter League,bachman,P4480693,Bachman,,,Chicago,19151106,19151226,11,0,2b11
boxscores/1915/1915-SBN,1915,California Winter League,barber,P6823888,Barber,,,Chicago,19151120,19151212,4,0,3b4
boxscores/1915/1915-SDU,1915,California Winter League,barber,P7992025,Barber,,,Chicago,19151106,19151226,11,0,3b11
boxscores/1915/1915-SBN,1915,California Winter League,bassler,P9941414,Bassler,,,San Bernardino,19151205,19151212,2,0,of2lf2
boxscores/1915/1915-SBN,1915,California Winter League,bachman,P5878689,Bauchman,,,Chicago,19151121,19151212,3,0,2b3
boxscores/1915/1915-SBN,1915,California Winter League,bayless,P8647473,Bayless,,,San Diego,19151113,19151205,2,0,of2cf2
boxscores/1915/1915-SDU,1915,California Winter League,bayless,P7986842,Bayless,,,San Diego,19151106,19151226,13,0,of13cf13
boxscores/1915/1915-SBN,1915,California Winter League,bayless,P6007842,Baylis,,,San Diego,19151114,19151114,1,0,of1cf1
boxscores/1915/1915-SBN,1915,California Winter League,bennett,P2362606,Bennett,,,San Diego,19151113,19151205,3,0,2b3
boxscores/1915/1915-SDU,1915,California Winter League,bennett,P1701975,Bennett,,,San Diego,19151106,19151226,13,0,2b13
boxscores/1915/1915-SBN,1915,California Winter League,berger,P5638741,Berger,,,San Diego,19151113,19151205,3,0,ss3
boxscores/1915/1915-SDU,1915,California Winter League,berger,P7739934,Berger,,,San Diego,19151106,19151212,8,0,ss8
boxscores/1915/1915-SBN,1915,California Winter League,bieloper,P5019148,Bieloper,,,San Bernardino,19151205,19151205,1,0,3b1
boxscores/1915/1915-SDU,1915,California Winter League,bieloper,P9082969,Bieloper,,,San Diego,19151120,19151226,9,0,c13b7of1rf1
boxscores/1915/1915-SDU,1915,California Winter League,bliss,P3306020,Bliss,,,San Diego,19151219,19151225,2,0,c2
boxscores/1915/1915-SBN,1915,California Winter League,boles,P7134895,Boles,,,San Bernardino,19151113,19151212,8,0,c7of1cf1
boxscores/1915/1915-SBN,1915,California Winter League,brashear@ump,P1034254,Brashear,,,#umpire,19151113,19151128,,,
boxscores/1915/1915-SDU,1915,California Winter League,brashear@ump,P9582775,Brashear,,,#umpire,19151106,19151107,,,
boxscores/1915/1915-SBN,1915,California Winter League,brazelton,P9973907,Brazelton,,,Chicago,19151121,19151205,2,0,c2
boxscores/1915/1915-SDU,1915,California Winter League,brazelton,P9313276,Brazelton,,,Chicago,19151128,19151128,1,0,c1
boxscores/1915/1915-SDU,1915,California Winter League,brazelton,P7944540,Brazleton,,,Chicago,19151113,19151114,2,0,c1
boxscores/1915/1915-SDU,1915,California Winter League,carlton,P4936563,Carlton,,,Cline-Cline,19151211,19151212,2,0,c1of1rf1
boxscores/1915/1915-SBN,1915,California Winter League,chandler@ump,P9979303,Chandler,,,#umpire,19151205,19151205,,,
boxscores/1915/1915-SDU,1915,California Winter League,chandler@ump,P8527824,Chandler,,,#umpire,19151120,19151226,,,
boxscores/1915/1915-SBN,1915,California Winter League,chech,P8502517,Chech,,,San Bernardino,19151113,19151212,5,4,p4of1rf1
boxscores/1915/1915-SDU,1915,California Winter League,chech,P8590146,Chech,,,San Diego,19151226,19151226,1,1,p1
boxscores/1915/1915-SBN,1915,California Winter League,chech,P2304760,Check,,,San Bernardino,19151114,19151128,2,2,p2
boxscores/1915/1915-SDU,1915,California Winter League,brazelton,P2015176,Clarkson,,,Chicago,19151107,19151107,1,0,
boxscores/1915/1915-SBN,1915,California Winter League,cleveland@ump,P1557428,Cleveland,,,#umpire,19151211,19151212,,,
boxscores/1915/1915-SBN,1915,California Winter League,clipper,P0124201,Clipper,,,San Bernardino,19151205,19151205,1,0,ss1
boxscores/1915/1915-SBN,1915,California Winter League,cornett,P0417273,Cornett,,,San Bernardino,19151113,19151113,1,0,of1lf1
boxscores/1915/1915-SBN,1915,California Winter League,cowan,P5795698,Cowan,,,San Bernardino,19151113,19151120,2,1,p1of1rf1
boxscores/1915/1915-SDU,1915,California Winter League,jenkins,P0638246,Deakens,,,Chicago,19151107,19151107,1,0,
boxscores/1915/1915-SBN,1915,California Winter League,defty,P9206233,Defty,,,Reach All Stars,19151211,19151211,1,0,of1rf1
boxscores/1915/1915-SBN,1915,California Winter League,dismukes,P8870558,Dismiskus,,,Chicago,19151120,19151120,1,1,p1
boxscores/1915/1915-SBN,1915,California Winter League,dismukes,P5824980,Dismuke,,,Chicago,19151212,19151212,1,1,p1
boxscores/1915/1915-SDU,1915,California Winter League,dismukes,P0040923,Dixmude,,,Chicago,19151107,19151128,2,2,p2
boxscores/1915/1915-SDU,1915,California Winter League,dismukes,P3431118,Dixmudes,,,Chicago,19151218,19151218,1,1,p1
boxscores/1915/1915-SDU,1915,California Winter League,dismukes,P9518837,Dixmukes,,,Chicago,19151114,19151114,1,1,p1
boxscores/1915/1915-SBN,1915,California Winter League,dorsch,P1203133,Dorsch,,,San Bernardino,19151211,19151211,1,0,2b1
boxscores/1915/1915-SBN,1915,California Winter League,downey,P5667828,Downey,,,San Diego,19151113,19151205,3,0,3b3
boxscores/1915/1915-SDU,1915,California Winter League,downey,P7769021,Downey,,,San Diego,19151106,19151226,13,0,3b8ss6
boxscores/1915/1915-SDU,1915,California Winter League,lewis@ump,P9096625,Duffy Lewis,,,#umpire,19151128,19151128,,,
boxscores/1915/1915-SBN,1915,California Winter League,duncan,P1264571,Duncan,,,Chicago,19151120,19151212,4,0,of4rf4
boxscores/1915/1915-SDU,1915,California Winter League,duncan,P2432708,Duncan,,,Chicago,19151106,19151226,11,0,of11lf5rf6
boxscores/1915/1915-SBN,1915,California Winter League,easterly,P2247843,Easterly,,,San Bernardino,19151121,19151128,2,0,c1of1cf1
boxscores/1915/1915-SBN,1915,California Winter League,easterly,P8771488,Easterly,,,Cline-Cline,19151205,19151205,1,0,c1of1cf1
boxscores/1915/1915-SDU,1915,California Winter League,easterly,P7675241,Easterly,,,Cline-Cline,19151113,19151114,2,0,c2
boxscores/1915/1915-SBN,1915,California Winter League,elliott,P0547034,Elliott,,,Reach All Stars,19151211,19151211,1,0,ss1
boxscores/1915/1915-SBN,1915,California Winter League,elliott,P7525172,Elliott,,,Cline-Cline,19151128,19151205,2,0,ss2
boxscores/1915/1915-SDU,1915,California Winter League,elliott,P8098013,Elliott,,,Cline-Cline,19151113,19151212,6,0,ss6
boxscores/1915/1915-SBN,1915,California Winter League,fitchner,P5535754,Fitchner,,,Cline-Cline,19151128,19151205,2,1,p1
boxscores/1915/1915-SBN,1915,California Winter League,fitchner,P7963056,Fitchner,,,Reach All Stars,19151211,19151211,1,1,p1
boxscores/1915/1915-SDU,1915,California Winter League,fitchner,P4439507,Fitchner,,,Cline-Cline,19151113,19151212,4,4,p4
