source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-HC,1915,Colonial League,adams,P8595322,Adams,,,Pawtucket,19150531,19150803,20,19,0,0,0,0,1,1,0,0,0,19,
minoraverages/1916Reach,1915,Colonial League,adams,B00879,Adams,,0,Pawtucket,,,17,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,adams,F21442,Adams,,0,Pawtucket,,,,,,,,,,,,,,19,
minoraverages/1916Reach,1915,Colonial League,adams,P10244,Adams,,0,Pawtucket,,,,19,,,,,,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,aldred,P0590474,Aldred,,,Brockton,19150610,19150710,24,0,0,0,0,0,24,0,0,24,0,0,
boxscores/1915/1915-HC,1915,Colonial League,aldred,P4899584,Aldred,,,Pawtucket,19150520,19150607,11,0,0,0,0,0,11,10,0,1,0,0,
boxscores/1915/1915-HC,1915,Colonial League,aldred,P8653096,Aldred,,,New Bedford,19150722,19150906,47,0,0,0,0,0,47,33,14,0,0,0,
minoraverages/1916Reach,1915,Colonial League,aldred,B00614,Aldred,,1,Pawtucket,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,aldred,B00614,Aldred,,2,Brockton,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,aldred,B00614,Aldred,,3,New Bedford,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,aldred,B00614,Aldred,,T,,,,84,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,aldred,F20737,Aldred,,1,Pawtucket,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,aldred,F20737,Aldred,,2,Brockton,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,aldred,F20737,Aldred,,3,New Bedford,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,Colonial League,aldred,F20737,Aldred,,T,,,,,,,,,,84,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,aldred,P1933035,Aldrich,,,Pawtucket,19150523,19150523,1,0,0,0,0,0,1,1,0,0,0,0,
boxscores/1915/1915-HC,1915,Colonial League,aldred,P9865305,Alward,,,Brockton,19150705,19150705,1,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1915/1915-HC,1915,Colonial League,bangs,P6196841,Bangs,,,Brockton,19150520,19150906,88,0,0,88,0,0,0,0,0,0,0,0,
minoraverages/1916Reach,1915,Colonial League,bangs,B00528,Bangs,,0,Brockton,,,82,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bangs,F20254,Bangs,,0,Brockton,,,,,,89,,,,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,,P0826862,Barry,,,#umpire,19150605,19150612,,,,,,,,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,barry,P5330661,Barry,,,Taunton,19150520,19150705,37,0,0,0,0,0,0,0,0,0,37,0,
boxscores/1915/1915-HC,1915,Colonial League,barry,P9120020,Barry,,,Pawtucket,19150713,19150813,23,0,0,0,0,0,0,0,0,0,22,0,
minoraverages/1916Reach,1915,Colonial League,barry,B00502,Barry,,1,Taunton,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,barry,B00502,Barry,,2,Pawtucket,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,barry,B00502,Barry,,T,,,,59,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,barry,F21130,Barry,,1,Taunton,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,barry,F21130,Barry,,2,Pawtucket,,,,,,,,,,,,,yes,,
minoraverages/1916Reach,1915,Colonial League,barry,F21130,Barry,,T,,,,,,,,,,,,,,59,,
minoraverages/1916Reach,1915,Colonial League,beason,B01108,Beason,,0,Brockton,,,29,,,,,,,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,beason,P4710979,Benson,,,Brockton,19150521,19150906,30,27,0,0,0,0,2,0,0,2,0,27,
boxscores/1915/1915-HC,1915,Colonial League,,P6973779,Benson,,,#umpire,19150623,19150720,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,beason,F21544,Benson,,0,Brockton,,,,,,,,,,,,,,28,
minoraverages/1916Reach,1915,Colonial League,beason,P10176,Benson,,0,Brockton,,,,28,,,,,,,,,,,
researchers/blau,1915,Colonial League,beason,GNLWYZD,Benson,,,Brockton,,,,,,,,,,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,bentley,P5919894,Bentley,,,Fall River,19150520,19150710,46,0,0,0,37,9,0,0,0,0,0,0,
boxscores/1915/1915-HC,1915,Colonial League,bentley,P8523942,Bentley,,,Springfield,19150712,19150906,54,0,0,0,28,24,0,0,0,0,0,0,
minoraverages/1916Reach,1915,Colonial League,bentley,B00241,Bentley,,1,Fall River,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,B00241,Bentley,,2,Springfield,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,B00241,Bentley,,T,,,,97,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,F20375,Bentley,,1,Fall River,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,F20375,Bentley,,2,Springfield,,,,,,,yes,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,F20375,Bentley,,T,,,,,,,,29,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,F20547,Bentley,,1,Fall River,,,,,,,,yes,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,F20547,Bentley,,2,Springfield,,,,,,,,yes,,,,,,,
minoraverages/1916Reach,1915,Colonial League,bentley,F20547,Bentley,,T,,,,,,,,,68,,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,bielmiller,P7305268,Bielmiller,,,Springfield,19150529,19150601,4,0,0,0,0,4,0,0,0,0,0,0,
boxscores/1915/1915-HC,1915,Colonial League,billiard,P3704793,Billiard,,,Hartford,19150520,19150806,23,17,0,0,0,0,3,0,0,3,0,17,
boxscores/1915/1915-HC,1915,Colonial League,,P7594449,Billiard,,,#umpire,19150621,19150720,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,billiard,B01234,Billiard,,0,Hartford,,,23,,,,,,,,,,,,
minoraverages/1916Reach,1915,Colonial League,billiard,F21335,Billiard,,0,Hartford,,,,,,,,,,,,,,17,
minoraverages/1916Reach,1915,Colonial League,billiard,P10043,Billiard,,0,Hartford,,,,17,,,,,,,,,,,
boxscores/1915/1915-HC,1915,Colonial League,black,P3910331,Black,,,Brockton,19150630,19150710,11,0,0,0,0,0,11,0,11,0,0,0,
boxscores/1915/1915-HC,1915,Colonial League,bottomley,P0247643,Bottomley,,,New Bedford,19150816,19150819,5,0,0,0,0,0,5,0,3,2,0,0,
boxscores/1915/1915-HC,1915,Colonial League,bottomley,P9125107,Bottomley,,,Pawtucket,19150617,19150814,31,0,0,0,0,0,22,8,12,2,7,0,
minoraverages/1916Reach,1915,Colonial League,bottomley,F20878,Bottomley,,1,Brockton,,,,,,,,,yes,,,,,,
