source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
retrosheet/1915,1915,Federal League,adams,adamd103,Adams,Dan,,Kansas City,19150427,19150926,,,
retrosheet/1915,1915,Federal League,agler,aglej101,Agler,Joe,,Baltimore,19150609,19151002,,,
retrosheet/1915,1915,Federal League,agler,aglej101,Agler,Joe,,Buffalo,19150410,19150528,,,
retrosheet/1915,1915,Federal League,allen-pit,allef101,Allen,Frank,,Pittsburgh,19150410,19151003,,,
retrosheet/1915,1915,Federal League,allen-buf,allen101,Allen,Nick,,Buffalo,19150412,19150930,,,
retrosheet/1915,1915,Federal League,anderson-buf,andef101,Anderson,Fred,,Buffalo,19150501,19150929,,,
retrosheet/1915,1915,Federal League,anderson-bro,andeg102,Anderson,George,,Brooklyn,19150410,19150930,,,
retrosheet/1915,1915,Federal League,bailey,bailb101,Bailey,Bill,,Baltimore,19150416,19150912,,,
retrosheet/1915,1915,Federal League,bailey,bailb101,Bailey,Bill,,Chicago,19150921,19151003,,,
retrosheet/1915,1915,Federal League,barger,bargc101,Barger,Cy,,Pittsburgh,19150427,19151002,,,
retrosheet/1915,1915,Federal League,beck,beckf101,Beck,Fred,,Chicago,19150410,19151003,,,
retrosheet/1915,1915,Federal League,bedient,bedih101,Bedient,Hugh,,Buffalo,19150410,19150929,,,
retrosheet/1915,1915,Federal League,bender,bendc101,Bender,Chief,,Baltimore,19150413,19150826,,,
retrosheet/1915,1915,Federal League,berghammer,bergm101,Berghammer,Marty,,Pittsburgh,19150410,19151003,,,
retrosheet/1915,1915,Federal League,berry,berrc101,Berry,Claude,,Pittsburgh,19150412,19151003,,,
retrosheet/1915,1915,Federal League,billiard,billh101,Billiard,Harry,,Newark,19150415,19151003,,,
retrosheet/1915,1915,Federal League,black,blacd102,Black,Dave,,Baltimore,19150916,19151003,,,
retrosheet/1915,1915,Federal League,black,blacd102,Black,Dave,,Chicago,19150507,19150826,,,
retrosheet/1915,1915,Federal League,blackburn,blacc101,Blackburn,Charlie,,Kansas City,19150417,19150629,,,
retrosheet/1915,1915,Federal League,blair,blaiw101,Blair,Walter,,Buffalo,19150410,19150929,,,
retrosheet/1915,1915,Federal League,bluejacket,bluej101,Bluejacket,Jim,,Brooklyn,19150413,19150922,,,
retrosheet/1915,1915,Federal League,borton,bortb101,Borton,Babe,,St. Louis,19150410,19151003,,,
retrosheet/1915,1915,Federal League,bradley-kc,bradb102,Bradley,Bill,,Kansas City,19150410,19150928,,,
retrosheet/1915,1915,Federal League,bradley-pit+bro+new,bradh101,Bradley,Hugh,,Brooklyn,19150705,19150812,,,
retrosheet/1915,1915,Federal League,bradley-pit+bro+new,bradh101,Bradley,Hugh,,Newark,19150824,19150907,,,
retrosheet/1915,1915,Federal League,bradley-pit+bro+new,bradh101,Bradley,Hugh,,Pittsburgh,19150419,19150613,,,
retrosheet/1915,1915,Federal League,braithwood,braia101,Braithwood,Al,,Pittsburgh,19150901,19151002,,,
retrosheet/1915,1915,Federal League,brandom,branc101,Brandom,Chick,,Newark,19150415,19150907,,,
retrosheet/1915,1915,Federal League,brennan,brena101,Brennan,Ad,,Chicago,19150420,19150921,,,
retrosheet/1915,1915,Federal League,bridwell,brida101,Bridwell,Al,,St. Louis,19150410,19150923,,,
retrosheet/1915,1915,Federal League,brown-kc,browd101,Brown,Drummond,,Kansas City,19150425,19151003,,,
retrosheet/1915,1915,Federal League,brown-chi,browm102,Brown,Mordecai,,Chicago,19150415,19151002,,,
retrosheet/1915,1915,Federal League,burk,burks101,Burk,Sandy,,Pittsburgh,19150727,19150731,,,
retrosheet/1915,1915,Federal League,camnitz,camnh101,Camnitz,Howie,,Pittsburgh,19150413,19150503,,,
retrosheet/1915,1915,Federal League,campbell,campv101,Campbell,Vin,,Newark,19150412,19150927,,,
retrosheet/1915,1915,Federal League,chadbourne,chadc101,Chadbourne,Chet,,Kansas City,19150410,19151003,,,
retrosheet/1915,1915,Federal League,chapman,chaph102,Chapman,Harry,,St. Louis,19150415,19151003,,,
retrosheet/1915,1915,Federal League,chase,chash101,Chase,Hal,,Buffalo,19150410,19150930,,,
retrosheet/1915,1915,Federal League,chouinard,chouf101,Chouinard,Felix,,Brooklyn,19150429,19150508,,,
retrosheet/1915,1915,Federal League,clemens,clemc101,Clemens,Clem,,Chicago,19150507,19150912,,,
retrosheet/1915,1915,Federal League,compton,compp101,Compton,Pete,,St. Louis,19150724,19150724,,,
retrosheet/1915,1915,Federal League,comstock,comsr101,Comstock,Ralph,,Pittsburgh,19150817,19151002,,,
retrosheet/1915,1915,Federal League,conley,conls101,Conley,Snipe,,Baltimore,19150419,19151002,,,
retrosheet/1915,1915,Federal League,cooper,coopc101,Cooper,Claude,,Brooklyn,19150410,19150930,,,
retrosheet/1915,1915,Federal League,crandall,crand101,Crandall,Doc,,St. Louis,19150410,19151003,,,
retrosheet/1915,1915,Federal League,crawford,crawk101,Crawford,Ken,,Baltimore,19150906,19151003,,,
retrosheet/1915,1915,Federal League,cullop,culln101,Cullop,Nick,,Kansas City,19150412,19151002,,,
retrosheet/1915,1915,Federal League,dalton,daltj101,Dalton,Jack,,Buffalo,19150410,19150930,,,
retrosheet/1915,1915,Federal League,davenport,daved101,Davenport,Dave,,St. Louis,19150415,19151002,,,
retrosheet/1915,1915,Federal League,deal,dealc102,Deal,Charlie,,St. Louis,19150410,19150706,,,
retrosheet/1915,1915,Federal League,delahanty-pit,delaf101,Delahanty,Frank,,Pittsburgh,19150411,19150527,,,
retrosheet/1915,1915,Federal League,delahanty-bro,delaj103,Delahanty,Jim,,Brooklyn,19150410,19150508,,,
retrosheet/1915,1915,Federal League,dickson,dickw101,Dickson,Walt,,Pittsburgh,19150412,19151002,,,
retrosheet/1915,1915,Federal League,doolin,doolm101,Doolin,Mickey,,Baltimore,19150410,19150901,,,
retrosheet/1915,1915,Federal League,doolin,doolm101,Doolin,Mickey,,Chicago,19150904,19151003,,,
retrosheet/1915,1915,Federal League,douglas,dougl101,Douglas,Larry,,Baltimore,19150617,19150625,,,
retrosheet/1915,1915,Federal League,downey,downt101,Downey,Tom,,Buffalo,19150410,19150930,,,
retrosheet/1915,1915,Federal League,drake,drakd101,Drake,Delos,,St. Louis,19150410,19151002,,,
retrosheet/1915,1915,Federal League,duncan,duncv101,Duncan,Vern,,Baltimore,19150410,19151003,,,
retrosheet/1915,1915,Federal League,eakle,eaklc101,Eakle,Charlie,,Baltimore,19150820,19150821,,,
retrosheet/1915,1915,Federal League,easterly,eastt101,Easterly,Ted,,Kansas City,19150410,19151003,,,
retrosheet/1915,1915,Federal League,ehmke,ehmkh101,Ehmke,Howard,,Buffalo,19150412,19150926,,,
retrosheet/1915,1915,Federal League,engle,englc103,Engle,Clyde,,Buffalo,19150410,19150930,,,
retrosheet/1915,1915,Federal League,enzenroth,enzej101,Enzenroth,Jack,,Kansas City,19150428,19150922,,,
retrosheet/1915,1915,Federal League,esmond,esmoj101,Esmond,Jimmy,,Newark,19150410,19151003,,,
retrosheet/1915,1915,Federal League,evans,evans101,Evans,Steve,,Baltimore,19150701,19151003,,,
retrosheet/1915,1915,Federal League,evans,evans101,Evans,Steve,,Brooklyn,19150410,19150629,,,
retrosheet/1915,1915,Federal League,falkenberg,falkc101,Falkenberg,Cy,,Brooklyn,19150823,19150924,,,
retrosheet/1915,1915,Federal League,falkenberg,falkc101,Falkenberg,Cy,,Newark,19150410,19150817,,,
retrosheet/1915,1915,Federal League,farrell,farrj104,Farrell,Jack,,Chicago,19150410,19150717,,,
retrosheet/1915,1915,Federal League,finneran,finnh102,Finneran,Happy,,Brooklyn,19150414,19150929,,,
retrosheet/1915,1915,Federal League,fischer,fiscw101,Fischer,William,,Chicago,19150413,19151003,,,
retrosheet/1915,1915,Federal League,flack,flacm101,Flack,Max,,Chicago,19150413,19151003,,,
retrosheet/1915,1915,Federal League,ford,fordr101,Ford,Russ,,Buffalo,19150410,19150816,,,
retrosheet/1915,1915,Federal League,forsyth,forse101,Forsyth,Ed,,Baltimore,19151002,19151002,,,
retrosheet/1915,1915,Federal League,fritz,frith101,Fritz,Harry,,Chicago,19150427,19150918,,,
retrosheet/1915,1915,Federal League,gagnier,gagne101,Gagnier,Ed,,Brooklyn,19150410,19150908,,,
retrosheet/1915,1915,Federal League,gagnier,gagne101,Gagnier,Ed,,Buffalo,19150610,19150610,,,
retrosheet/1915,1915,Federal League,gallagher,gallj105,Gallagher,John,,Baltimore,19150820,19151003,,,
retrosheet/1915,1915,Federal League,gilmore,gilmg101,Gilmore,Grover,,Kansas City,19150410,19150926,,,
retrosheet/1915,1915,Federal League,gingras,gingj101,Gingras,Joe,,Kansas City,19150618,19150626,,,
retrosheet/1915,1915,Federal League,goodwin,goodp101,Goodwin,Pep,,Kansas City,19150413,19151003,,,
retrosheet/1915,1915,Federal League,griggs,griga101,Griggs,Art,,Brooklyn,19150414,19150930,,,
retrosheet/1915,1915,Federal League,groom,groob101,Groom,Bob,,St. Louis,19150413,19150913,,,
