source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,alexander,P0205909,Alexander,,,Thomasville,19150623,19150624,2,0,0,0,0,2,0,0,0,0,0,0,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,alexander,B01415,Alexander,,0,Thomasville,,,,,,,,,,,,,,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,alford,P5358831,Alford,,,Dothan,19150528,19150611,12,0,0,0,0,0,0,0,0,0,12,0,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,alford,B00182,Alford,,0,Dothan,,,12,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,alford,F20829,Alford,,0,Dothan,,,,,,,,,,,,,12,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,anderson,P2659643,Anderson,,,Thomasville,19150426,19150717,58,0,0,0,0,46,11,0,1,10,0,0,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,anderson,F20316,Anderson,,0,Thomasville,,,,,,,,,11,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,anderson,F20463,Anderson,,0,Thomasville,,,,,,,,46,,,,,,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,ansley,P9597469,Ansley,,,Brunswick,19150628,19150628,1,0,0,0,0,0,1,1,0,0,0,0,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,ansley,B00502,Ansley,,0,Brunswick,,,1,,,,,,,,,,,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,antley,P9442209,Antley,,,Waycross,19150427,19150716,35,20,1,0,0,0,13,1,0,12,0,20,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,antley,B00912,Antley,,0,Waycross,,,38,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,antley,F20240,Antley,,0,Waycross,,,,,,,,,14,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,antley,F20956,Antley,,0,Waycross,,,,,,,,,,,,,,20,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,antley,P10202,Antley,,0,Waycross,,,,20,,,,,,,,,,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,askew,P0762898,Askew,,,Dothan,19150707,19150710,4,0,4,0,0,0,0,0,0,0,0,0,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,askew,B01181,Askew,,0,Dothan,,,4,,,,,,,,,,,,
researchers/morris,1915,Florida-Alabama-Georgia League,,STYJQNL,Askew,,,Bainbridge,,,,,,,,,,,,,,,
researchers/morris,1915,Florida-Alabama-Georgia League,,SLSRCLV,Atridge,Ollie,,Dothan,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,attride,B00577,Attride,,0,Dothan,,,27,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,attride,F20807,Attride,,0,Dothan,,,,,,,,,,,,,17,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,attride,P5664459,Attridge,,,Dothan,19150426,19150717,27,0,0,0,0,0,0,0,0,0,27,0,
researchers/morris,1915,Florida-Alabama-Georgia League,,QCTHTYR,Attridge,Ollie,,Dothan,,,,,,,,,,,,,,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,baker-tho,P1593062,Baker,,,Thomasville,19150616,19150617,2,0,0,0,0,0,0,0,0,0,2,0,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,barber,P2257657,Baker,,,Waycross,19150430,19150501,3,0,3,0,0,0,0,0,0,0,0,0,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,baker-dot+gai,P3573948,Baker,,,Dothan,19150426,19150426,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,baker-dot+gai,P4946961,Baker,,,Gainesville,19150604,19150717,26,10,1,5,0,0,10,4,0,6,0,10,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,baker-val,P6137052,Baker,,,Valdosta,19150602,19150703,9,9,0,0,0,0,0,0,0,0,0,9,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,B00936,Baker,,1,Dothan,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,B00936,Baker,,2,Gainesville,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,B00936,Baker,,T,,,,28,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-val,B01156,Baker,,0,Valdosta,,,9,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-tho,B01359,Baker,,0,Thomasville,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,F20038,Baker,,0,Gainesville,,,,,,,,,10,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,F20864,Baker,,0,Gainesville,,,,,,,,,,,,,,12,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,P10121,Baker,,1,Dothan,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,P10121,Baker,,2,Gainesville,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-dot+gai,P10121,Baker,,T,,,,,12,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,baker-val,P10159,Baker,,0,Valdosta,,,,9,,,,,,,,,,,
researchers/morris,1915,Florida-Alabama-Georgia League,,CDSRRJR,Baker,Oscar,,Dothan,,,,,,,,,,,,,,,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,baker-dot+gai,P1760187,Baker [DOT],,,Dothan,19150429,19150429,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,barber,P5487106,Baker [WAY],,,Waycross,19150429,19150429,1,0,1,0,0,0,0,0,0,0,0,0,
boxscores/1915/1915-MT,1915,Florida-Alabama-Georgia League,bales,P4386462,Bales,,,Valdosta,19150616,19150717,30,0,0,0,30,0,0,0,0,0,0,0,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,bales,B00623,Bales,,0,Valdosta,,,30,,,,,,,,,,,,
minoraverages/1916Reach,1915,Florida-Alabama-Georgia League,bales,F20388,Bales,,0,Valdosta,,,,,,,30,,,,,,,,
