source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1916Reach,1915,Interstate League,andrews,P10373,Andrews,,0,,,,,,
minoraverages/1916Reach,1915,Interstate League,apple,B00609,Apple,,0,Wellsville,,,86,,
minoraverages/1916Reach,1915,Interstate League,apple,F20190,Apple,,0,Wellsville,,,,,2b85
minoraverages/emilbb,1915,Interstate League,archer,M92163,Archer,R. W.,,Warren,,,,,
minoraverages/1916Reach,1915,Interstate League,artman,B00286,Artman,,0,Olean,,,25,,
minoraverages/1916Reach,1915,Interstate League,artman,F21021,Artman,,0,Olean,,,,,p25
minoraverages/1916Reach,1915,Interstate League,artman,P10215,Artman,,0,Olean,,,,23,
minoraverages/1916Reach,1915,Interstate League,beck,B00469,Beck,,1,Wellsville,,,,,
minoraverages/1916Reach,1915,Interstate League,beck,B00469,Beck,,2,Olean,,,,,
minoraverages/1916Reach,1915,Interstate League,beck,B00469,Beck,,T,,,,76,,
minoraverages/1916Reach,1915,Interstate League,beck,F21308,Beck,,1,Wellsville,,,,,of
minoraverages/1916Reach,1915,Interstate League,beck,F21308,Beck,,2,Olean,,,,,of
minoraverages/1916Reach,1915,Interstate League,beck,F21308,Beck,,T,,,,,,of76
minoraverages/1916Reach,1915,Interstate League,behan,B00229,Behan,,1,Wellsville,,,,,
minoraverages/1916Reach,1915,Interstate League,behan,B00229,Behan,,2,Jamestown,,,,,
minoraverages/1916Reach,1915,Interstate League,behan,B00229,Behan,,T,,,,64,,
minoraverages/1916Reach,1915,Interstate League,behan,F20518,Behan,,1,Jamestown,,,,,ss
minoraverages/1916Reach,1915,Interstate League,behan,F20518,Behan,,2,Wellsville,,,,,ss
minoraverages/1916Reach,1915,Interstate League,behan,F20518,Behan,,T,,,,,,ss64
minoraverages/1916Reach,1915,Interstate League,bell,B00590,Bell,,0,Warren,,,15,,
minoraverages/1916Reach,1915,Interstate League,bell,F21125,Bell,,0,Warren,,,,,p15
minoraverages/1916Reach,1915,Interstate League,bell,P10043,Bell,,0,Warren,,,,15,
minoraverages/emilbb,1915,Interstate League,bell,M92174,Bell,George,,Warren,,,,,
minoraverages/1916Reach,1915,Interstate League,blake,B00904,Blake,,0,Jamestown,,,44,,
minoraverages/1916Reach,1915,Interstate League,blake,F20829,Blake,,0,Jamestown,,,,,c45
minoraverages/1916Reach,1915,Interstate League,blessing,F20636,Blessing,,0,,,,,,ss
minoraverages/1916Reach,1915,Interstate League,bowers,B00528,Bowers,,0,Jamestown,,,34,,
minoraverages/1916Reach,1915,Interstate League,bowers,F20095,Bowers,,0,Jamestown,,,,,1b34
minoraverages/1916Reach,1915,Interstate League,bradley,B00936,Bradley,,1,Bradford,,,,,
minoraverages/1916Reach,1915,Interstate League,bradley,B00936,Bradley,,2,Jamestown,,,,,
minoraverages/1916Reach,1915,Interstate League,bradley,B00936,Bradley,,T,,,,16,,
minoraverages/1916Reach,1915,Interstate League,bradley,F21210,Bradley,,1,Bradford,,,,,p
minoraverages/1916Reach,1915,Interstate League,bradley,F21210,Bradley,,2,Jamestown,,,,,p
minoraverages/1916Reach,1915,Interstate League,bradley,F21210,Bradley,,T,,,,,,p15
minoraverages/1916Reach,1915,Interstate League,bradley,P10266,Bradley,,1,Bradford,,,,,
minoraverages/1916Reach,1915,Interstate League,bradley,P10266,Bradley,,2,Jamestown,,,,,
minoraverages/1916Reach,1915,Interstate League,bradley,P10266,Bradley,,T,,,,,15,
minoraverages/1916Reach,1915,Interstate League,bradner,F20334,Bradner,,0,,,,,,2b
minoraverages/1916Reach,1915,Interstate League,breen,F20893,Breen,,0,,,,,,c
minoraverages/1916Reach,1915,Interstate League,brooks,B00638,Brooks,,0,Hornell,,,82,,
minoraverages/1916Reach,1915,Interstate League,brooks,F20924,Brooks,,0,,,,,,c
minoraverages/1916Reach,1915,Interstate League,brooks,F21286,Brooks,,0,Hornell,,,,,of82
minoraverages/1916Reach,1915,Interstate League,brown.f,B00125,Brown,F.,0,Warren,,,39,,
minoraverages/1916Reach,1915,Interstate League,brown.c,B00811,Brown,C.,1,Jamestown,,,,,
minoraverages/1916Reach,1915,Interstate League,brown.c,B00811,Brown,C.,2,Bradford,,,,,
minoraverages/1916Reach,1915,Interstate League,brown.c,B00811,Brown,C.,T,,,,32,,
minoraverages/1916Reach,1915,Interstate League,brown.f,F20316,Brown,F.,0,,,,,,2b
minoraverages/1916Reach,1915,Interstate League,brown.f,F20700,Brown,F.,0,,,,,,ss
minoraverages/1916Reach,1915,Interstate League,brown.c,F21037,Brown,C.,1,Jamestown,,,,,p
minoraverages/1916Reach,1915,Interstate League,brown.c,F21037,Brown,C.,2,Bradford,,,,,p
minoraverages/1916Reach,1915,Interstate League,brown.c,F21037,Brown,C.,T,,,,,,p29
minoraverages/1916Reach,1915,Interstate League,brown.f,F21130,Brown,F.,0,Warren,,,,,p23
minoraverages/1916Reach,1915,Interstate League,brown.f,F21528,Brown,F.,0,,,,,,
minoraverages/1916Reach,1915,Interstate League,brown.c,F21760,Brown,C.,0,,,,,,
minoraverages/1916Reach,1915,Interstate League,brown.c,P10176,Brown,C.,0,Jamestown,,,,20,
minoraverages/1916Reach,1915,Interstate League,brown.f,P10192,Brown,F.,0,Warren,,,,19,
minoraverages/1916Reach,1915,Interstate League,buffington,B00491,Buffington,,0,Olean,,,84,,
minoraverages/1916Reach,1915,Interstate League,buffington,F20391,Buffington,,0,Olean,,,,,3b84
minoraverages/1916Reach,1915,Interstate League,burne,F21609,Burne,,0,,,,,,
minoraverages/1916Reach,1915,Interstate League,burrell,B00037,Burrell,,0,Hornell,,,72,,
minoraverages/1916Reach,1915,Interstate League,burrell,F20342,Burrell,,0,Hornell,,,,,3b71
minoraverages/emilbb,1915,Interstate League,burrell,M92158,Burrell,Lenny,,Hornell,,,,,
minoraverages/1916Reach,1915,Interstate League,byberg,B00912,Byberg,,0,Warren,,,25,,
minoraverages/1916Reach,1915,Interstate League,byrnes,F20153,Byrnes,,0,,,,,,1b
minoraverages/1916Reach,1915,Interstate League,cable,B00059,Cable,,0,Bradford,,,63,,
minoraverages/1916Reach,1915,Interstate League,cable,F20177,Cable,,0,Bradford,,,,,2b63
minoraverages/1916Reach,1915,Interstate League,canty,F20886,Canty,,0,,,,,,c
minoraverages/1916Reach,1915,Interstate League,canty,F21623,Canty,,0,,,,,,
minoraverages/1916Reach,1915,Interstate League,carlson,P10385,Carlson,,0,,,,,,
minoraverages/1916Reach,1915,Interstate League,carlton,B00854,Carlton,,1,Hornell,,,,,
minoraverages/1916Reach,1915,Interstate League,carlton,B00854,Carlton,,2,Warren,,,,,
minoraverages/1916Reach,1915,Interstate League,carlton,B00854,Carlton,,T,,,,47,,
minoraverages/1916Reach,1915,Interstate League,carlton,F20807,Carlton,,1,Jamestown,,,,,c
