source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Hamilton,1915,Middle Texas League,albus,B00229,Albus,George,0,Temple,,,59,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,alexander,B01181,Alexander,,0,Brenham,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,alexander,P10441,Alexander,,0,Brenham,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,allen.l,B00084,Allen,Louis,0,Schulenburg,,,29,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,allen.w,B00308,Allen,William,0,Schulenburg,,,34,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,allison,B00726,Allison,F.,0,Temple,,,58,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,allison,P10062,Allison,,0,Temple,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,anderson,B01170,Anderson,Wayne,0,Temple,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,anderson,P10429,Anderson,,0,Belton,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,angel,B00948,Angel,F.,0,Temple,,,17,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,angel,P10113,Angel,,0,Temple,,,,16,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bailey,B00196,Bailey,Eugene A.,0,Bartlett,,,36,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,banner,B00904,Banner,Jack,0,Bartlett,,,6,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,barrett,B00957,Barrett,George,0,Brenham,,,17,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bassler,B00577,Bassler,Charles,0,Temple,,,17,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bassler,P10253,Bassler,,0,Temple,,,,6,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,B01029,Billings,,1,Belton,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,B01029,Billings,,2,Brenham,,,14,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,B01029,Billings,,3,Bartlett,,,4,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,B01029,Billings,,T,,,,19,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,P10277,Billings,,1,Brenham,,,,13,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,P10277,Billings,,2,Belton,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,P10277,Billings,,3,Bartlett,,,,3,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,billings,P10277,Billings,,T,,,,,17,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,B00667,Bowen,Ted,1,Schulenburg,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,B00667,Bowen,Ted,2,Bartlett,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,B00667,Bowen,Ted,3,Brenham,,,5,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,B00667,Bowen,Ted,T,,,,9,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,P10357,Bowen,,1,Schulenburg,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,P10357,Bowen,,2,Bartlett,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,P10357,Bowen,,3,Brenham,,,,5,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bowen,P10357,Bowen,,T,,,,,9,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,boykin,B01055,Boykin,,0,Schulenburg,,,6,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bradley,B00544,Bradley,,1,Bartlett,,,8,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bradley,B00544,Bradley,,2,Temple,,,13,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,bradley,B00544,Bradley,,T,,,,21,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,breaux,B00092,Breaux,Russell J.,0,Taylor,,,34,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,brown,B00475,Brown,E. H.,1,Schulenburg,,,7,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,brown,B00475,Brown,E. H.,2,Bartlett,,,42,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,brown,B00475,Brown,E. H.,T,,,,49,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,brown,P10304,Brown,,1,Schulenburg,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,brown,P10304,Brown,,2,Bartlett,,,,7,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,brown,P10304,Brown,,T,,,,,9,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,burleson,B01124,Burleson,Luther,0,Temple,,,8,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,burleson,M90047,Burleson,Luther,,Temple,,,,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,byrnes,B00680,Byrnes,,0,Austin,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,mcavoy,B00293,Carey (McAvoy),George R.,0,Belton,,,45,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,carter,B00515,Carter,Robin,0,Temple,,,13,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,carter,P10097,Carter,,0,Temple,,,,10,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,charbonet,P10493,Charbonet,,0,Taylor,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,cole,B01291,Cole,,0,Brenham,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,cole,P10478,Cole,,0,Brenham,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,countryman,B00705,Countryman,Robert,0,Bartlett,,,36,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,countryman,P10121,Countryman,,0,Bartlett,,,,4,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,cowan,B00117,Cowan,,0,Bartlett,,,20,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,craig,B01234,Craig,,0,Brenham,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,craig,P10464,Craig,,0,Brenham,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,crevenstine,B00553,Crevenstine,George,0,Bartlett,,,33,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,crevenstine,P10569,Crevenstine,,0,Bartlett,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,crosslin,B00021,Crosslin,,0,Austin,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,crowson,B00037,Crowson,Pat,0,Austin,,,2,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,crowson,P10407,Crowson,,0,Austin,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,curran,B01242,Curran,,0,Austin,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,curry,B01197,Curry,,0,Temple,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,dailey,B00427,Dailey,,0,Schulenburg,,,35,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,darnaby,B00502,Darnaby,William T.,0,Temple,,,56,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,darnaby,P10591,Darnaby,,0,Temple,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,darnell,B00158,Darnell,,0,Brenham,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,darnell,P10455,Darnell,,0,Brenham,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,davenport,B00068,Davenport,Benjamin D.,0,Schulenburg,,,12,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,davenport,P10202,Davenport,,0,Schulenburg,,,,9,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,davis,B00822,Davis,J. Wilbur,0,Bartlett,,,59,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,davis,P10665,Davis,,0,Bartlett,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,deats,B00811,Deats,,0,Austin,,,8,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,B00362,Delafield,,1,Belton,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,B00362,Delafield,,2,Temple,,,7,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,B00362,Delafield,,3,Taylor,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,B00362,Delafield,,T,,,,11,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,P10320,Delafield,,1,Belton,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,P10320,Delafield,,2,Temple,,,,6,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,P10320,Delafield,,3,Taylor,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,delafield,P10320,Delafield,,T,,,,,9,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,dennis,B00335,Dennis,,0,Belton,,,10,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,dennis,P10019,Dennis,,0,Belton,,,,12,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,disch,M90039,Disch,William J.,,Brenham,,,,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,disharon,B01162,Disharon,,0,Temple,,,7,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,donnell,B01269,Donnell,,0,Taylor,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,donnell,P10588,Donnell,,0,Taylor,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,durr,B00865,Durr,Frank,0,Schulenburg,,,14,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,B00319,Edmunds,Merle,1,Austin,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,B00319,Edmunds,Merle,2,Taylor,,,38,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,B00319,Edmunds,Merle,3,Brenham,,,12,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,B00319,Edmunds,Merle,4,Belton,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,B00319,Edmunds,Merle,T,,,,54,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,P10542,Edmunds,,1,Taylor,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,P10542,Edmunds,,2,Brenham,,,,2,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,edmunds,P10542,Edmunds,,T,,,,,3,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,enloe,B00752,Enloe,,1,Austin,,,3,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,enloe,B00752,Enloe,,2,Taylor,,,19,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,enloe,B00752,Enloe,,3,Schulenburg,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,enloe,B00752,Enloe,,T,,,,23,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,enloe,P10679,Enloe,,0,Taylor,,,,1,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,erwin,B00324,Erwin,,0,Brenham,,,57,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,B00973,Fagan,Raymond,1,Austin,,,1,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,B00973,Fagan,Raymond,2,Taylor,,,15,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,B00973,Fagan,Raymond,3,Brenham,,,5,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,B00973,Fagan,Raymond,T,,,,21,,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,P10145,Fagan,,1,Austin,,,,3,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,P10145,Fagan,,2,Taylor,,,,12,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,P10145,Fagan,,3,Brenham,,,,3,,,,,,,,,,,
minoraverages/Hamilton,1915,Middle Texas League,fagan,P10145,Fagan,,T,,,,,18,,,,,,,,,,,
