source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P2302455,Andrada,,,Tucson,19150518,19150530,5,4,p4
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P5075830,Andrada,,,Phoenix,19150623,19150627,2,2,p2
boxscores/1915/1915-AR,1915,Rio Grande Association,andrada,P0795774,Andrada,,,Phoenix,19150623,19150627,2,2,p2
boxscores/1915/1915-AR,1915,Rio Grande Association,andrada,P8839423,Andrada,,,Tucson,19150430,19150530,6,6,p6
boxscores/1915/1915-EPH,1915,Rio Grande Association,andrada,P3841545,Andrada,,,Tucson,19150505,19150531,9,5,"p5,of3,cf1,rf2"
boxscores/1915/1915-EPH,1915,Rio Grande Association,andrada,P5865800,Andrada,,,Phoenix,19150623,19150627,2,2,p2
minoraverages/Nemec,1915,Rio Grande Association,andrada,B00013,Andrada,,1,Tucson,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,B00013,Andrada,,2,Phoenix,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,B00013,Andrada,,T,,,,12,,"p,of"
minoraverages/Nemec,1915,Rio Grande Association,andrada,P10019,Andrada,,1,Tucson,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,P10019,Andrada,,2,Phoenix,,,,,
minoraverages/Nemec,1915,Rio Grande Association,andrada,P10019,Andrada,,T,,,,,8,
boxscores/1915/1915-EPH,1915,Rio Grande Association,andrada,P8314509,Andrade,,,Tucson,19150430,19150430,1,1,p1
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P2957829,Andrado,,,Tucson,19150430,19150430,1,1,p1
boxscores/1915/1915-AJ,1915,Rio Grande Association,andrada,P6321985,Andrana,,,Tucson,19150505,19150505,1,1,p1
minoraverages/Nemec,1915,Rio Grande Association,archibald,B00021,Archibald,,0,Tucson,,,1,,of
boxscores/1915/1915-AR,1915,Rio Grande Association,archibald,P7158748,Archibold,,,Tucson,19150625,19150625,1,0,"of1,rf1"
boxscores/1915/1915-EPH,1915,Rio Grande Association,archibald,P4469606,Archibold,,,Tucson,19150625,19150625,1,0,"of1,rf1"
boxscores/1915/1915-AJ,1915,Rio Grande Association,armstrong,P9569489,Armstrong,,,El Paso,19150511,19150516,2,2,p2
boxscores/1915/1915-AR,1915,Rio Grande Association,armstrong,P8588505,Armstrong,,,El Paso,19150511,19150516,2,2,p2
boxscores/1915/1915-EPH,1915,Rio Grande Association,armstrong,P9846819,Armstrong,,,El Paso,19150511,19150516,2,2,p2
minoraverages/Nemec,1915,Rio Grande Association,armstrong,B00037,Armstrong,Bill,0,El Paso,,,2,,p
minoraverages/Nemec,1915,Rio Grande Association,armstrong,P10024,Armstrong,,0,El Paso,,,,2,
boxscores/1915/1915-AR,1915,Rio Grande Association,barton,P9955226,Barton,,,Tucson,19150427,19150509,11,0,"2b9,ss2"
boxscores/1915/1915-EPH,1915,Rio Grande Association,barton,P4652260,Barton,,,Tucson,19150427,19150509,11,0,"2b9,ss2"
minoraverages/Nemec,1915,Rio Grande Association,barton,B00045,Barton,,0,Tucson,,,11,,2b
boxscores/1915/1915-AJ,1915,Rio Grande Association,bauer,P4755299,Bauer,,,El Paso,19150622,19150705,14,0,"of14,cf14"
boxscores/1915/1915-AR,1915,Rio Grande Association,bauer,P1013995,Bauer,,,El Paso,19150601,19150620,13,0,"of13,lf1,cf12"
boxscores/1915/1915-EPH,1915,Rio Grande Association,bauer,P5711029,Bauer,,,El Paso,19150501,19150629,51,0,"1b1,2b2,of50,lf1,cf47,rf2"
minoraverages/Nemec,1915,Rio Grande Association,bauer,B00059,Bauer,Jake,0,El Paso,,,58,,of
boxscores/1915/1915-AJ,1915,Rio Grande Association,beer,P5615507,Beer,,,Las Cruces,19150501,19150522,7,6,"p6,of1,rf1"
boxscores/1915/1915-AJ,1915,Rio Grande Association,beer,P8756274,Beer,,,El Paso,19150525,19150705,11,11,p11
boxscores/1915/1915-AR,1915,Rio Grande Association,beer,P1335451,Beer,,,Las Cruces,19150508,19150523,7,5,"p5,of2,rf2"
boxscores/1915/1915-AR,1915,Rio Grande Association,beer,P3491386,Beer,,,El Paso,19150525,19150705,12,11,p11
boxscores/1915/1915-EPH,1915,Rio Grande Association,beer,P6405477,Beer,,,Las Cruces,19150501,19150523,9,6,"p6,of3,rf3"
