source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1915/1915-CN,1915,Western North Carolina League,adams,P1974812,Adams,,,Lenoir,19150729,19150809,3,3,p3
boxscores/1915/1915-CN,1915,Western North Carolina League,anderson,P3465117,Anderson,,,Gastonia,19150823,19150826,2,2,p2
boxscores/1915/1915-CN,1915,Western North Carolina League,bernsen,P7750819,Bernsen,,,Lenoir,19150729,19150828,25,1,"p1,c7,2b16,ss3"
boxscores/1915/1915-CN,1915,Western North Carolina League,bernsen,P1770349,Bernson,,,Lenoir,19150814,19150814,1,0,2b1
boxscores/1915/1915-CN,1915,Western North Carolina League,billings,P2442326,Billings,,,Morganton,19150728,19150820,19,0,"ss19,of1,cf1"
boxscores/1915/1915-CN,1915,Western North Carolina League,bitting,P6741895,Bitting,,,Lenoir,19150729,19150828,21,0,ss21
boxscores/1915/1915-CN,1915,Western North Carolina League,booe,P6576546,Booe,,,Statesville,19150728,19150828,27,1,"p1,2b19,3b1,ss8"
boxscores/1915/1915-CN,1915,Western North Carolina League,boyd,P9835985,Boyd,,,Gastonia,19150729,19150828,26,0,"of26,cf26"
boxscores/1915/1915-CN,1915,Western North Carolina League,breaux,P4923357,Breaux,,,Lenoir,19150729,19150828,24,0,"of23,lf23"
boxscores/1915/1915-CN,1915,Western North Carolina League,brouthers,P6050356,Brouthers,,,Lenoir,19150729,19150828,25,1,"p1,1b25"
boxscores/1915/1915-CN,1915,Western North Carolina League,burg@ump,P0030383,Burg,,,#umpire,19150728,19150812,,,
boxscores/1915/1915-CN,1915,Western North Carolina League,burg,P5926278,Burg,,,Lenoir,19150726,19150828,12,9,p9
boxscores/1915/1915-CN,1915,Western North Carolina League,burgess,P0254078,Burgess,,,Gastonia,19150729,19150828,26,0,3b26
boxscores/1915/1915-CN,1915,Western North Carolina League,cain,P9700472,Cain,,,Statesville,19150803,19150828,21,0,"2b4,ss18"
boxscores/1915/1915-CN,1915,Western North Carolina League,cates,P1573190,Cates,,,Lenoir,19150804,19150828,13,5,"p5,of8,rf8"
boxscores/1915/1915-CN,1915,Western North Carolina League,cheney,P4028447,Cheney,,,Gastonia,19150731,19150731,1,1,p1
boxscores/1915/1915-CN,1915,Western North Carolina League,cheney@ump,P4306395,Cheney,,,#umpire,19150819,19150819,,,
boxscores/1915/1915-CN,1915,Western North Carolina League,cheney,P8805017,Cheney,,,Statesville,19150803,19150828,16,6,"p6,of6,lf4,cf1,rf1"
boxscores/1915/1915-CN,1915,Western North Carolina League,christenbury,P8152452,Christenbury,,,Morganton,19150728,19150828,23,0,"2b21,3b1,of4,lf3,cf1"
boxscores/1915/1915-CN,1915,Western North Carolina League,cooper,P2479461,Cooper,,,Statesville,19150728,19150731,3,0,"of3,lf1,cf2"
boxscores/1915/1915-CN,1915,Western North Carolina League,correll,P5562837,Correll,,,Morganton,19150728,19150828,27,1,"p1,c7,of21,cf21"
boxscores/1915/1915-CN,1915,Western North Carolina League,decatur,P4030315,Decatur,,,Gastonia,19150731,19150817,4,4,p4
