source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
retrosheet/1916,1916,American League,,acosm101,Acosta,Merito,,Washington,19160725,19160730,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,agnes101,Agnew,Sam,,Boston,19160413,19161003,,,,,,,,,,,,,
researchers/mcconnell,1916,American League,,CYKQXPR,Ainsmith,Edward,,Washington,,,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,ainse101,Ainsmith,Eddie,,Washington,19160422,19161004,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,alexw101,Alexander,Walt,,New York,19160421,19161004,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,allim101,Allison,Milo,,Cleveland,19160913,19161001,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,araga101,Aragon,Angel,,New York,19160810,19161002,,,,,,,,,,,,,
researchers/mcconnell,1916,American League,,BGPBXQB,Austin,James,,St. Louis,,,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,austj101,Austin,Jimmy,,St. Louis,19160413,19161001,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,ayerd101,Ayers,Doc,,Washington,19160417,19161004,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,bagbj101,Bagby,Jim,,Cleveland,19160412,19160930,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,baked102,Baker,Del,,Detroit,19160415,19160930,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,bakef102,Baker,Home Run,,New York,19160412,19161004,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,barbw101,Barbare,Walter,,Cleveland,19160913,19160930,,,,,,,,,,,,,
researchers/mcconnell,1916,American League,,YRMGSVR,Barber,Tyrus,,Washington,,,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,barbt101,Barber,Turner,,Washington,19160421,19160719,,,,,,,,,,,,,
retrosheet/1916,1916,American League,,barrj104,Barry,Jack,,Boston,19160412,19160829,,,,,,,,,,,,,
