source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1917Reach,1916,Central Texas League,,B00130,Allison,,0,Temple,,,52,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20240,Allison,,0,Temple,,,,,,,,yes,,,,,,,
minoraverages/Nemec,1916,Central Texas League,allison,B00013,Allison,Frank,0,Temple,,,52,,,,,yes,,,,,,,
minoraverages/Nemec,1916,Central Texas League,andrews,B00021,Andrews,W.,0,Marlin,,,6,,,,,,,,,,,yes,
minoraverages/Nemec,1916,Central Texas League,andrews,P10019,Andrews,,0,Marlin,,,,8,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00232,Bailey,,0,Marlin,,,39,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20388,Bailey,,0,Marlin,,,,,,,,,yes,,,,,,
minoraverages/Nemec,1916,Central Texas League,bailey,B00037,Bailey,A. Eugene,0,Marlin,,,39,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00589,Ball,,0,Temple,,,25,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20539,Ball,,0,Temple,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,P10024,Ball,,0,all,,,,,,,,,,,,,,,
minoraverages/Nemec,1916,Central Texas League,ball,B00045,Ball,Ossie,0,Temple,,,25,,,,,,yes,,,,,yes,
minoraverages/Nemec,1916,Central Texas League,ball,P10024,Ball,,0,Temple,,,,16,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20661,Banville,,0,Marlin,,,,,,,,,,,,,yes,,
minoraverages/1917Reach,1916,Central Texas League,,B00718,Bauer,,0,Terrell,,,12,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20829,Bauer,,0,Terrell,,,,,,,,,,,,,,yes,
minoraverages/1917Reach,1916,Central Texas League,,P10184,Bauer,,0,all,,,,,,,,,,,,,,,
minoraverages/Nemec,1916,Central Texas League,bauer,B00059,Bauer,,0,Terrell,,,12,,,,,,,,,,,yes,
minoraverages/Nemec,1916,Central Texas League,bauer,P10035,Bauer,,0,Terrell,,,,10,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00672,Bishop,,0,Terrell,,,10,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20855,Bishop,,0,Terrell,,,,,,,,,,,,,,yes,
minoraverages/Nemec,1916,Central Texas League,bishop,B00068,Bishop,,0,Terrell,,,10,,,,,,,,,,,yes,
minoraverages/Nemec,1916,Central Texas League,bishop,P10043,Bishop,,0,Terrell,,,,9,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00840,Blass,,0,Ennis,,,23,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20886,Blass,,0,Ennis,,,,,,,,,,,,,,yes,
minoraverages/1917Reach,1916,Central Texas League,,P10137,Blass,,0,all,,,,,,,,,,,,,,,
minoraverages/Nemec,1916,Central Texas League,blass,B00076,Blass,Roy,0,Ennis,,,23,,,,,,,,,,,yes,
minoraverages/Nemec,1916,Central Texas League,blass,P10056,Blass,,0,Ennis,,,,23,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00324,Bogus,,0,Temple,,,53,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20038,Bogus,,0,Temple,,,,,yes,,,,,,,,,,
minoraverages/Nemec,1916,Central Texas League,boggess,B00084,Bogus (Boggess),Elia,0,Temple,,,53,,yes,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00783,Bowen,,0,Mexia,,,12,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20908,Bowen,,0,Mexia,,,,,,,,,,,,,,yes,
minoraverages/1917Reach,1916,Central Texas League,,P10062,Bowen,,0,all,,,,,,,,,,,,,,,
minoraverages/Nemec,1916,Central Texas League,bowen,B00092,Bowen,Ted,0,Mexia,,,12,,,,,,,,,,,yes,
minoraverages/Nemec,1916,Central Texas League,bowen,P10062,Bowen,,0,Mexia,,,,12,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00158,Brown,,0,Temple,,,21,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00651,Brown,,0,Mexia,,,16,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20369,Brown,,0,Temple,,,,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20583,Brown,,0,Mexia,,,,,,,,,yes,,,,,,
minoraverages/Nemec,1916,Central Texas League,brown-tem,B00101,Brown,E. P.,0,Temple,,,21,,,,,,yes,,,,,,
minoraverages/Nemec,1916,Central Texas League,brown-mex,B00117,Brown,,0,Mexia,,,16,,,,,,yes,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00553,Byrnes,,0,Terrell,,,14,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20327,Byrnes,,0,Terrell,,,,,,,,yes,,,,,,,
minoraverages/Nemec,1916,Central Texas League,byrnes,B00125,Byrnes,,0,Terrell,,,14,,,,,yes,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,B00450,Carmody,,0,Terrell,,,37,,,,,,,,,,,,
minoraverages/1917Reach,1916,Central Texas League,,F20316,Carmody,,0,Terrell,,,,,,,,yes,,,,,,,
minoraverages/Nemec,1916,Central Texas League,carmody,B00130,Carmody,Franklin,0,Terrell,,,37,,,,,yes,,,,,,,
