source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1917Reach,1916,Dixie League,arline,B00469,Arline,,0,Moultrie,,,48,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,askew,B00416,Askew,,1,Dothan,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,askew,B00416,Askew,,2,Bainbridge,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,askew,B00416,Askew,,T,,,,47,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,barrow,B00013,Barrow,,0,Bainbridge,,,60,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,bell,B00084,Bell,,0,Eufaula,,,47,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,bell,B00149,Bell,,0,Bainbridge,,,29,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,blackwell,B00232,Blackwell,,0,Bainbridge,,,58,,,,,,,,,,,,
researchers/morris,1916,Dixie League,,VLFTNZK,Blackwell,Frank,,Bainbridge,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,bowman,B00163,Bowman,,0,Bainbridge,,,58,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,brinson,B00207,Brinson,,0,Eufaula,,,57,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,brittain,B00196,Brittain,,0,Quitman,,,9,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,bruce,B00553,Bruce,,1,Moultrie,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,bruce,B00553,Bruce,,2,Valdosta,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,bruce,B00553,Bruce,,T,,,,47,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,burns,B00726,Burns,,0,Bainbridge,,,20,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,cashion.w,B00210,Cashion,W.,0,Moultrie,,,53,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,cashion.k,B00531,Cashion,K.,0,Moultrie,,,18,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,chambers,B00045,Chambers,,0,Dothan,,,61,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,chapman,B00427,Chapman,,0,Eufaula,,,54,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,conley,B00324,Conley,,0,Valdosta,,,59,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,dickerson,B00695,Dickerson,,0,Dothan,,,28,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,donaldson,B00076,Donaldson,,0,Quitman,,,41,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,elrod,B00356,Elrod,,0,Bainbridge,,,10,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,emery,B00286,Emery,,1,Quitman,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Dixie League,emery,B00286,Emery,,2,Dothan,,,,,,,,,,,,,,,
