source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1917Reach,1916,Georgia-Alabama League,allen,B00502,Allen,,0,Talladega,,,18,,
minoraverages/1917Reach,1916,Georgia-Alabama League,allen,F20417,Allen,,0,Talladega,,,,,ss22
minoraverages/1917Reach,1916,Georgia-Alabama League,anderson,B00577,Anderson,,0,Griffin,,,19,,
minoraverages/1917Reach,1916,Georgia-Alabama League,anderson,F20886,Anderson,,0,Griffin,,,,,p19
minoraverages/1917Reach,1916,Georgia-Alabama League,anderson,P10231,Anderson,,0,all,,,,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bales,B00125,Bales,,0,Griffin,,,40,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bales,F20369,Bales,,0,Griffin,,,,,3b39
minoraverages/1917Reach,1916,Georgia-Alabama League,bope,B00488,Bope,,0,Anniston,,,42,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bope,F20612,Bope,,0,Anniston,,,,,1b42
minoraverages/1917Reach,1916,Georgia-Alabama League,bowdoin,P10312,Bowden,,0,all,,,,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bowdoin,B00783,Bowdoin,,1,Griffin,,,,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bowdoin,B00783,Bowdoin,,2,Newnan,,,,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bowdoin,B00783,Bowdoin,,3,Anniston,,,,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bowdoin,B00783,Bowdoin,,T,,,,66,,
minoraverages/1917Reach,1916,Georgia-Alabama League,bowdoin,F20327,Bowdoin,,0,Anniston,,,,,3b62
minoraverages/1917Reach,1916,Georgia-Alabama League,,B00174,Bowen,,0,La Grange,,,70,,
minoraverages/1917Reach,1916,Georgia-Alabama League,,F20334,Bowen,,0,La Grange,,,,,3b70
minoraverages/1917Reach,1916,Georgia-Alabama League,boyd,B00319,Boyd,,0,Newnan,,,70,,
