source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,adams,B01428,Adams,,1,Davenport,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,adams,B01428,Adams,,2,Rockford,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,adams,B01428,Adams,,T,,,,37,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,adams,F20886,Adams,,1,Davenport,,,,,,,,,,,,,,yes,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,adams,F20886,Adams,,2,Rockford,,,,,,,,,,,,,,yes,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,adams,F20886,Adams,,T,,,,,,,,,,,,,,,37,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,adams,P10429,Adams,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,agnew,B01156,Agnew,,0,Rockford,,,41,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,agnew,F20648,Agnew,,0,Rockford,,,,,,,,,,,,,21,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,anderson,B01376,Anderson,,0,Moline,,,10,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,anderson,F21130,Anderson,,0,Moline,,,,,,,,,,,,,,10,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,anderson,P10385,Anderson,,0,all,,,,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,baxter,B00158,Baxter,,0,Rockford,,,122,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,baxter,F21515,Baxter,,0,Rockford,,,,,,,,,112,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,bay,B01007,Bay,,0,Rock Island,,,55,,,,,,,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,bay,F21488,Bay,,0,Rock Island,,,,,,,,,55,,,,,,
minoraverages/1917Reach,1916,Indiana-Illinois-Iowa League,beard,B01431,Beard,,0,Moline,,,12,,,,,,,,,,,,
