source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1917Reach,1916,South Atlantic League,angier,B01170,Agnier,,1,Columbia,,,,,
minoraverages/1917Reach,1916,South Atlantic League,angier,B01170,Agnier,,2,Jacksonville,,,,,
minoraverages/1917Reach,1916,South Atlantic League,angier,B01170,Agnier,,T,,,,91,,
minoraverages/1917Reach,1916,South Atlantic League,allen,B01275,Allen,,0,Jacksonville,,,16,,
minoraverages/1917Reach,1916,South Atlantic League,allen,F21196,Allen,,0,Jacksonville,,,,,p15
minoraverages/1917Reach,1916,South Atlantic League,allen,P10432,Allen,,0,all,,,,,
minoraverages/1917Reach,1916,South Atlantic League,angier,F20886,Angier,,1,Columbia,,,,,of
minoraverages/1917Reach,1916,South Atlantic League,angier,F20886,Angier,,2,Jacksonville,,,,,of
minoraverages/1917Reach,1916,South Atlantic League,angier,F20886,Angier,,T,,,,,,of85
minoraverages/1917Reach,1916,South Atlantic League,atkinson,B01291,Atkinson,,0,Columbia,,,39,,
minoraverages/1917Reach,1916,South Atlantic League,atkinson,F21229,Atkinson,,0,Columbia,,,,,p34
minoraverages/1917Reach,1916,South Atlantic League,atkinson,P10159,Atkinson,,0,all,,,,,
minoraverages/1917Reach,1916,South Atlantic League,baker-alb,B00241,Baker,O.,0,Albany,,,23,,
minoraverages/1917Reach,1916,South Atlantic League,baker-jax,B00356,Baker,H.,0,Jacksonville,,,121,,
minoraverages/1917Reach,1916,South Atlantic League,baker-alb,F21381,Baker,O.,0,Albany,,,,,p19
minoraverages/1917Reach,1916,South Atlantic League,baker-jax,F21695,Baker,H.,0,Jacksonville,,,,,c119
minoraverages/1917Reach,1916,South Atlantic League,baker-alb,P10336,Baker,O.,0,all,,,,,
minoraverages/1917Reach,1916,South Atlantic League,baumgardner,B01162,Baumgardner,,0,Macon,,,29,,
minoraverages/1917Reach,1916,South Atlantic League,baumgardner,P10493,Baumgardner,,0,all,,,,,
minoraverages/1917Reach,1916,South Atlantic League,beers,B01415,Beers,,0,Charleston,,,13,,
minoraverages/1917Reach,1916,South Atlantic League,beers,F21651,Beers,,0,Charleston,,,,,c13
minoraverages/1917Reach,1916,South Atlantic League,biemiller,B00811,Biemiller,,0,Macon,,,42,,
minoraverages/1917Reach,1916,South Atlantic League,biemiller,F20648,Biemiller,,0,Macon,,,,,ss36
minoraverages/1917Reach,1916,South Atlantic League,boland,B00854,Boland,,0,Macon,,,36,,
minoraverages/1917Reach,1916,South Atlantic League,boland,F20316,Boland,,0,Macon,,,,,2b34
minoraverages/1917Reach,1916,South Atlantic League,bowden,B00293,Bowden,,0,Montgomery,,,93,,
minoraverages/1917Reach,1916,South Atlantic League,bowden,F20924,Bowden,,0,Montgomery,,,,,of74
minoraverages/1917Reach,1916,South Atlantic League,bowden,F21726,Bowden,,0,Montgomery,,,,,c19
minoraverages/1917Reach,1916,South Atlantic League,bradshaw,B00278,Bradshaw,,0,Columbia,,,37,,
minoraverages/1917Reach,1916,South Atlantic League,bradshaw,F20166,Bradshaw,,0,Columbia,,,,,2b36
minoraverages/1917Reach,1916,South Atlantic League,brannen,B00695,Brannen,,1,Montgomery,,,,,
minoraverages/1917Reach,1916,South Atlantic League,brannen,B00695,Brannen,,2,Columbia,,,,,
minoraverages/1917Reach,1916,South Atlantic League,brannen,B00695,Brannen,,T,,,,32,,
