source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1918Reach,1917,International League,,B00442,Acosta,Baldomero,0,Baltimore,,,144,,
minoraverages/1918Reach,1917,International League,,F20784,Acosta,,0,Baltimore,,,,,of144
minoraverages/1918Reach,1917,International League,,B01376,Adams,Wm.,0,Richmond,,,43,,
minoraverages/1918Reach,1917,International League,,F21403,Adams,,0,Richmond,,,,,p43
minoraverages/1918Reach,1917,International League,,P10385,Adams,,0,Richmond,,,,,
minoraverages/1918Reach,1917,International League,,B00879,Allen,C.J.,0,Toronto,,,13,,
minoraverages/1918Reach,1917,International League,,B00961,Allen,N.,0,Providence,,,65,,
minoraverages/1918Reach,1917,International League,,F20956,Allen,,0,Toronto,,,,,of13
minoraverages/1918Reach,1917,International League,,F21293,Allen,,0,Providence,,,,,c63
minoraverages/1918Reach,1917,International League,,B00158,Altenburg,Jesse,0,Toronto,,,80,,
minoraverages/1918Reach,1917,International League,,F20919,Altenburg,,0,Toronto,,,,,of80
minoraverages/1918Reach,1917,International League,,P10534,Appleton,,0,Baltimore,,,,,
minoraverages/1918Reach,1917,International League,,B00210,Bankston,W.E.,0,Richmond,,,131,,
minoraverages/1918Reach,1917,International League,,F21000,Bankston,,0,Richmond,,,,,of131
minoraverages/1918Reach,1917,International League,,B00045,Barber,Turner,0,Baltimore,,,149,,
minoraverages/1918Reach,1917,International League,,F21021,Barber,,0,Baltimore,,,,,of149
minoraverages/1918Reach,1917,International League,,P10698,Barnes,,0,Richmond,,,,,
minoraverages/1918Reach,1917,International League,,B00076,Bentley,J.N.,0,Baltimore,,,93,,
minoraverages/1918Reach,1917,International League,,F20095,Bentley,,0,Baltimore,,,,,1b65
minoraverages/1918Reach,1917,International League,,F20768,Bentley,,0,Baltimore,,,,,of21
minoraverages/1918Reach,1917,International League,,P10542,Bentley,,0,Baltimore,,,,,
minoraverages/1918Reach,1917,International League,,B00589,Blackburne,Russell,0,Toronto,,,154,,
minoraverages/1918Reach,1917,International League,,B00590,Blackburne,Russell,0,Toronto,,,154,,
minoraverages/1918Reach,1917,International League,,F20388,Blackburne,,0,Toronto,,,,,3b101
minoraverages/1918Reach,1917,International League,,F20526,Blackburne,,0,Toronto,,,,,ss48
minoraverages/1918Reach,1917,International League,,P10852,Blackburne,,0,Toronto,,,,,
minoraverages/1918Reach,1917,International League,,B01359,Blackwell,F.W.,0,Newark,,,76,,
minoraverages/1918Reach,1917,International League,,F21182,Blackwell,,0,Newark,,,,,c67
minoraverages/1918Reach,1917,International League,,B00264,Brainard,Fred,0,Providence,,,101,,
minoraverages/1918Reach,1917,International League,,F20240,Brainard,,0,Providence,,,,,2b63
minoraverages/1918Reach,1917,International League,,F21092,Brainard,,0,Providence,,,,,of31
minoraverages/1918Reach,1917,International League,,B00973,Brandell,E.,0,Newark,,,61,,
minoraverages/1918Reach,1917,International League,,F20560,Brandell,,0,Newark,,,,,ss54
minoraverages/1918Reach,1917,International League,,B00450,Bues,Arthur F.,0,Baltimore,,,150,,
minoraverages/1918Reach,1917,International League,,F20417,Bues,,0,Baltimore,,,,,3b150
minoraverages/1918Reach,1917,International League,,B01300,Cable,Hal,0,Buffalo,,,27,,
minoraverages/1918Reach,1917,International League,,F20265,Cable,,0,Buffalo,,,,,2b13
minoraverages/1918Reach,1917,International League,,B00117,Callahan,Leo D.,0,Newark,,,147,,
minoraverages/1918Reach,1917,International League,,F20737,Callahan,,0,Newark,,,,,of143
minoraverages/1918Reach,1917,International League,,B00196,Camp,H.L.,0,Newark,,,50,,
minoraverages/1918Reach,1917,International League,,F20864,Camp,,0,Newark,,,,,of50
minoraverages/1918Reach,1917,International League,,B00854,Carlstrom,A.,0,Buffalo,,,146,,
minoraverages/1918Reach,1917,International League,,F20391,Carlstrom,,0,Buffalo,,,,,3b140
minoraverages/1918Reach,1917,International League,,P10709,Carmichael,,0,Richmond,,,,,
minoraverages/1918Reach,1917,International League,,B00638,Casey,Joseph,0,Buffalo,,,23,,
minoraverages/1918Reach,1917,International League,,F21210,Casey,,0,Buffalo,,,,,c23
minoraverages/1918Reach,1917,International League,,B00948,Cather,T.,0,Montreal,,,87,,
