source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/Newspaper,1919,Northwest International League,armstrong,B00397,Armstrong,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,arnspiger,B00207,Arnspiger,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,baird,B00308,Baird,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,barham,B00403,Barham,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,boezle,B00286,Boezle,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,cadman,B00319,Cadman,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,church,B00158,Church,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,clark,B00343,Clark,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,clink,B00416,Clink,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,coen,B00068,Coen,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,corrigan,B00229,Corrigan,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,davis,B00442,Davis,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,easterly,B00021,Easterly,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,eastley,B00174,Eastley,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,engle,B00469,Engle,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,evans,B00356,Evans,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,fitchner,B00450,Fitchner,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,french,B00182,French,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,gibson,B00381,Gibson,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,grant,B00241,Grant,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,henion,B00324,Henion,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,hillyard,B00232,Hillyard,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,hinkle,B00101,Hinkle,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,hoagland,B00434,Hoagland,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,hoffman,B00013,Hoffman,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,hood,B00130,Hood,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,mcnamara,B00264,McNamara,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,mensor,B00293,Mensor,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,messener,B00278,Messener,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,morton,B00210,Morton,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,mullen,B00255,Mullen,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,patterson,B00117,Patterson,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,phillips,B00362,Phillips,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,raymond,B00037,Raymond,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,reid,B00196,Reid,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,ritter,B00163,Ritter,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,sherret,B00335,Sherret,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,smale,B00084,Smale,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,smith,B00076,Smith,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,speas,B00045,Speas,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,spranger,B00059,Spranger,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,thompson,B00427,Thompson,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,walters,B00149,Walters,,0,Vancouver,,,,,
minoraverages/Newspaper,1919,Northwest International League,williams,B00370,Williams,,0,Seattle,,,,,
minoraverages/Newspaper,1919,Northwest International League,wilson,B00125,Wilson,,0,Tacoma,,,,,
minoraverages/Newspaper,1919,Northwest International League,zinke,B00092,Zinke,,0,Victoria,,,,,
minoraverages/Newspaper,1919,Northwest International League,zweifel,B00475,Zweifel,,0,Victoria,,,,,
