source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1921Reach,1920,International League,,B01466,Acosta,,0,Rochester,,,25,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21356,Acosta,,0,Rochester,,,,,,,,,,,,,,24,
minoraverages/1921Reach,1920,International League,,P10385,Acosta,,0,Rochester,,,,24,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B02277,Ahrens,Oddie,0,,,,1,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,P11177,Ahrens,,0,,,,,1,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00718,Altenburg,,0,Reading,,,141,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20962,Altenburg,,0,Reading,,,,,,,,,141,,,,,,
minoraverages/1921Reach,1920,International League,,B00469,Anderson,,0,Toronto,,,121,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20190,Anderson,,0,Toronto,,,,,,63,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B01857,Andrak,John,0,,,,7,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B01108,Armstrong,,0,Syracuse,,,85,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20254,Armstrong,,0,Syracuse,,,,,,36,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20620,Armstrong,,0,Syracuse,,,,,,,,59,,,,,,,
minoraverages/1921Reach,1920,International League,,B00680,Bader,,0,Toronto,,,46,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21566,Bader,,0,Toronto,,,,,,,,,,,,,,39,
minoraverages/1921Reach,1920,International League,,P10145,Bader,,0,Toronto,,,,39,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B02253,Bahr,,0,,,,1,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,P11072,Bahr,,0,,,,,1,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B02056,Bailey,,0,,,,2,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00948,Bariess,,0,Reading,,,32,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21531,Bariess,,0,Reading,,,,,,,,,,,,,,32,
minoraverages/1921Reach,1920,International League,,P10542,Bariess,,0,Reading,,,,32,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00879,Barnes,,0,Akron,,,34,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B01291,Barnes,,0,Rochester,,,45,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21397,Barnes,L.,0,Akron,,,,,,,,,,,,,,34,
minoraverages/1921Reach,1920,International League,,F21553,Barnes,V.,0,Rochester,,,,,,,,,,,,,,41,
minoraverages/1921Reach,1920,International League,,P10192,Barnes,L.,0,Akron,,,,34,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,P10373,Barnes,V.,0,Rochester,,,,41,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00397,Barney,,0,Buffalo,,,125,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20700,Barney,,0,Buffalo,,,,,,,,,119,,,,,,
minoraverages/1921Reach,1920,International League,,P10996,Barney,,0,,,,,1,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B01345,Barnhardt,,0,Reading,,,38,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21614,Barnhardt,,0,Reading,,,,,,,,,,,,,,36,
minoraverages/1921Reach,1920,International League,,P10304,Barnhardt,,0,Reading,,,,36,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20425,Bauman,,0,Jersey City,,,,,,,73,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00264,Baumann,,0,Toronto,,,95,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00739,Beck,,0,Rochester,,,20,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,P10751,Beck,,0,Rochester,,,,9,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00806,Benes,,0,Syracuse,,,133,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20612,Benes,,0,Syracuse,,,,,,,,92,,,,,,,
minoraverages/1921Reach,1920,International League,,F20768,Benes,,0,Syracuse,,,,,,,,,32,,,,,,
minoraverages/1921Reach,1920,International League,,B01250,Bengough,,0,Buffalo,,,53,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21045,Bengough,,0,Buffalo,,,,,,,,,,,,,52,,
minoraverages/1921Reach,1920,International League,,B00045,Bentley,,0,Baltimore,,,145,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20095,Bentley,,0,Baltimore,,,,,125,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21308,Bentley,,0,Baltimore,,,,,,,,,,,,,,22,
minoraverages/1921Reach,1920,International League,,P10019,Bentley,,0,Baltimore,,,,22,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00084,Beyers,,0,Rochester,,,20,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21117,Beyers,,0,Rochester,,,,,,,,,,,,,18,,
minoraverages/1921Reach,1920,International League,,B01415,Biemiller,,0,Jersey City,,,40,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F21442,Biemiller,,0,Jersey City,,,,,,,,,,,,,,31,
minoraverages/1921Reach,1920,International League,,P10113,Biemiller,,0,Jersey City,,,,31,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00904,Bishop,,0,Baltimore,,,122,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20222,Bishop,,0,Baltimore,,,,,,119,,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00343,Blackburne,,0,Toronto,,,150,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20388,Blackburne,,0,Toronto,,,,,,,133,,,,,,,,
minoraverages/1921Reach,1920,International League,,B00442,Boley,,0,Baltimore,,,143,,,,,,,,,,,,
minoraverages/1921Reach,1920,International League,,F20547,Boley,,0,Baltimore,,,,,,,,143,,,,,,,
minoraverages/1921Reach,1920,International League,,B02100,Bowden,Oliver,0,,,,2,,,,,,,,,,,,
