source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1921Reach,1920,Michigan-Ontario League,allen,B01359,Allen,,0,Battle Creek,,,7,,
minoraverages/1921Reach,1920,Michigan-Ontario League,allen,F21196,Allen,,0,Battle Creek,,,,,lf6
minoraverages/1921Reach,1920,Michigan-Ontario League,anderson,B00174,Anderson,,0,Flint,,,119,,
minoraverages/1921Reach,1920,Michigan-Ontario League,anderson,F20046,Anderson,,0,Flint,,,,,1b119
minoraverages/1921Reach,1920,Michigan-Ontario League,barnhaeft,B01444,Barnhaeft,,0,Kitchener,,,41,,
minoraverages/1921Reach,1920,Michigan-Ontario League,beattie,B00705,Beattie,,0,Kitchener,,,118,,
minoraverages/1921Reach,1920,Michigan-Ontario League,beattie,F20023,Beattie,,0,Kitchener,,,,,1b118
minoraverages/1921Reach,1920,Michigan-Ontario League,behan,B00488,Behan,,0,Hamilton,,,76,,
minoraverages/1921Reach,1920,Michigan-Ontario League,behan,F20496,Behan,,0,Hamilton,,,,,ss41
minoraverages/1921Reach,1920,Michigan-Ontario League,behan,F20776,Behan,,0,Hamilton,,,,,3b8
minoraverages/1921Reach,1920,Michigan-Ontario League,behan,F22310,Behan,,0,Hamilton,,,,,p25
minoraverages/1921Reach,1920,Michigan-Ontario League,behan,P10176,Behan,,0,Hamilton,,,,25,
minoraverages/1921Reach,1920,Michigan-Ontario League,bippes,B01156,Bippes,,0,Flint,,,15,,
minoraverages/1921Reach,1920,Michigan-Ontario League,bippes,F20552,Bippes,,0,Flint,,,,,ss15
minoraverages/1921Reach,1920,Michigan-Ontario League,blake,B00229,Blake,,0,Hamilton,,,80,,
minoraverages/1921Reach,1920,Michigan-Ontario League,blake,F21021,Blake,,0,Hamilton,,,,,lf62
minoraverages/1921Reach,1920,Michigan-Ontario League,blake,F21515,Blake,,0,Hamilton,,,,,cf7
minoraverages/1921Reach,1920,Michigan-Ontario League,blake,F21718,Blake,,0,Hamilton,,,,,rf11
minoraverages/1921Reach,1920,Michigan-Ontario League,bodecker,B00961,Bodecker,,0,Flint,,,51,,
minoraverages/1921Reach,1920,Michigan-Ontario League,bodecker,F21229,Bodecker,,0,Flint,,,,,lf8
minoraverages/1921Reach,1920,Michigan-Ontario League,bodecker,F21589,Bodecker,,0,Flint,,,,,rf7
minoraverages/1921Reach,1920,Michigan-Ontario League,bodecker,F22169,Bodecker,,0,Flint,,,,,p27
minoraverages/1921Reach,1920,Michigan-Ontario League,bodecker,P10168,Bodecker,,0,Flint,,,,27,
minoraverages/1921Reach,1920,Michigan-Ontario League,barnhaeft,F22116,Bornhaeft,,0,Kitchener,,,,,p31
minoraverages/1921Reach,1920,Michigan-Ontario League,barnhaeft,P10429,Bornhaeft,,0,Kitchener,,,,31,
minoraverages/1921Reach,1920,Michigan-Ontario League,boyle,B00822,Boyle,,0,Battle Creek,,,118,,
minoraverages/1921Reach,1920,Michigan-Ontario League,boyle,F20051,Boyle,,0,Battle Creek,,,,,1b116
minoraverages/1921Reach,1920,Michigan-Ontario League,brady,B00806,Brady,,0,Brantford,,,117,,
minoraverages/1921Reach,1920,Michigan-Ontario League,brady,F20648,Brady,,0,Brantford,,,,,ss112
minoraverages/1921Reach,1920,Michigan-Ontario League,briger,B00210,Briger,,0,London,,,68,,
minoraverages/1921Reach,1920,Michigan-Ontario League,briger,F21854,Briger,,0,London,,,,,c63
minoraverages/1921Reach,1920,Michigan-Ontario League,brock,B01337,Brock,,0,Bay City,,,32,,
minoraverages/1921Reach,1920,Michigan-Ontario League,brock,F20908,Brock,,0,Bay City,,,,,3b30
minoraverages/1921Reach,1920,Michigan-Ontario League,buckley,B00163,Buckley,,0,Brantford,,,20,,
minoraverages/1921Reach,1920,Michigan-Ontario League,buckley,F20956,Buckley,,0,Brantford,,,,,3b6
minoraverages/1921Reach,1920,Michigan-Ontario League,buckley,F22150,Buckley,,0,Brantford,,,,,p8
minoraverages/1921Reach,1920,Michigan-Ontario League,buckley,P10019,Buckley,,0,Brantford,,,,8,
minoraverages/1921Reach,1920,Michigan-Ontario League,bullard,B01595,Bullard,,0,Battle Creek,,,35,,
minoraverages/1921Reach,1920,Michigan-Ontario League,bullard,F21013,Bullard,,0,Battle Creek,,,,,lf5
minoraverages/1921Reach,1920,Michigan-Ontario League,bullard,F22175,Bullard,,0,Battle Creek,,,,,p30
minoraverages/1921Reach,1920,Michigan-Ontario League,bullard,P10455,Bullard,,0,Battle Creek,,,,30,
minoraverages/1921Reach,1920,Michigan-Ontario League,byrne,B00491,Byrne,,0,Brantford,,,102,,
minoraverages/1921Reach,1920,Michigan-Ontario League,byrne,F21672,Byrne,,0,Brantford,,,,,rf102
minoraverages/1921Reach,1920,Michigan-Ontario League,caesar,B00475,Caesar,,0,Battle Creek,,,22,,
minoraverages/1921Reach,1920,Michigan-Ontario League,caesar,F21278,Caesar,,0,Saginaw,,,,,lf9
minoraverages/1921Reach,1920,Michigan-Ontario League,caesar,F21577,Caesar,,0,Saginaw,,,,,rf9
minoraverages/1921Reach,1920,Michigan-Ontario League,calbert,B00232,Calbert,,0,London,,,98,,
minoraverages/1921Reach,1920,Michigan-Ontario League,calbert,F21101,Calbert,,0,London,,,,,lf96
minoraverages/1921Reach,1920,Michigan-Ontario League,carlin,B00747,Carlin,,0,Hamilton,,,118,,
minoraverages/1921Reach,1920,Michigan-Ontario League,carlin,F20334,Carlin,,0,Hamilton,,,,,2b36
minoraverages/1921Reach,1920,Michigan-Ontario League,carlin,F20482,Carlin,,0,Hamilton,,,,,ss77
minoraverages/1921Reach,1920,Michigan-Ontario League,carlin,F20737,Carlin,,0,Hamilton,,,,,3b6
minoraverages/1921Reach,1920,Michigan-Ontario League,carmen,B00182,Carmen,,0,London,,,49,,
minoraverages/1921Reach,1920,Michigan-Ontario League,carmen,F22209,Carmen,,0,London,,,,,p33
minoraverages/1921Reach,1920,Michigan-Ontario League,carmen,P10024,Carmen,,0,London,,,,33,
minoraverages/1921Reach,1920,Michigan-Ontario League,carrigan,B01630,Carrigan,,0,Battle Creek,,,10,,
minoraverages/1921Reach,1920,Michigan-Ontario League,carrigan,F20391,Carrigan,,0,Battle Creek,,,,,2b10
minoraverages/1921Reach,1920,Michigan-Ontario League,chambers,B00985,Chambers,,0,Battle Creek,,,16,,
minoraverages/1921Reach,1920,Michigan-Ontario League,chambers,F21450,Chambers,,0,Battle Creek,,,,,cf13
minoraverages/1921Reach,1920,Michigan-Ontario League,clark,B00442,Clark,,0,Brantford,,,100,,
minoraverages/1921Reach,1920,Michigan-Ontario League,clark,F20829,Clark,,0,Brantford,,,,,3b57
minoraverages/1921Reach,1920,Michigan-Ontario League,clark,F21037,Clark,,0,Brantford,,,,,lf36
minoraverages/1921Reach,1920,Michigan-Ontario League,comeford,B01509,Comeford,,0,Brantford,,,6,,
minoraverages/1921Reach,1920,Michigan-Ontario League,comeford,F21771,Comeford,,0,Brantford,,,,,rf5
minoraverages/1921Reach,1920,Michigan-Ontario League,conley,B01415,Conley,,0,Hamilton,,,60,,
minoraverages/1921Reach,1920,Michigan-Ontario League,conley,F20430,Conley,,0,Hamilton,,,,,2b5
minoraverages/1921Reach,1920,Michigan-Ontario League,conley,F20924,Conley,,0,Hamilton,,,,,3b26
minoraverages/1921Reach,1920,Michigan-Ontario League,conley,F21783,Conley,,0,Hamilton,,,,,c20
minoraverages/1921Reach,1920,Michigan-Ontario League,conzett,B00879,Conzett,,0,Battle Creek,,,19,,
minoraverages/1921Reach,1920,Michigan-Ontario League,conzett,F21174,Conzett,,0,Battle Creek,,,,,lf19
minoraverages/1921Reach,1920,Michigan-Ontario League,cook,B01546,Cook,,0,Bay City,,,18,,
minoraverages/1921Reach,1920,Michigan-Ontario League,cook,F22099,Cook,,0,Bay City,,,,,p18
minoraverages/1921Reach,1920,Michigan-Ontario League,cook,P10304,Cook,,0,Bay City,,,,18,
minoraverages/1921Reach,1920,Michigan-Ontario League,corcoran,B00117,Corcoran,,0,Hamilton,,,133,,
minoraverages/1921Reach,1920,Michigan-Ontario League,corcoran,F20189,Corcoran,,0,Hamilton,,,,,2b9
minoraverages/1921Reach,1920,Michigan-Ontario League,corcoran,F20943,Corcoran,,0,Hamilton,,,,,3b15
minoraverages/1921Reach,1920,Michigan-Ontario League,corcoran,F21084,Corcoran,,0,Hamilton,,,,,lf55
minoraverages/1921Reach,1920,Michigan-Ontario League,corcoran,F21427,Corcoran,,0,Hamilton,,,,,cf35
minoraverages/1921Reach,1920,Michigan-Ontario League,crichlow,B00726,Crichlow,,0,London,,,109,,
minoraverages/1921Reach,1920,Michigan-Ontario League,crichlow,F21000,Crichlow,,0,London,,,,,lf8
minoraverages/1921Reach,1920,Michigan-Ontario League,crichlow,F21434,Crichlow,,0,London,,,,,cf100
minoraverages/1921Reach,1920,Michigan-Ontario League,cuyler,B00771,Cuyler,,0,Bay City,,,69,,
minoraverages/1921Reach,1920,Michigan-Ontario League,cuyler,F21117,Cuyler,,0,Bay City,,,,,lf8
minoraverages/1921Reach,1920,Michigan-Ontario League,cuyler,F21680,Cuyler,,0,Bay City,,,,,rf56
minoraverages/1921Reach,1920,Michigan-Ontario League,danzig,B00957,Danzig,,0,Flint,,,16,,
