source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01490,Ainsworth,,0,Flint,,,28,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21806,Ainsworth,,0,Flint,,,,,,,,,,,,,,28,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10441,Ainsworth,,0,Flint,,,,28,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10035,Allen,,0,Flint,,,,3,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01649,Anckre,,0,Kitchener,,,6,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21651,Anckre,,0,Kitchener,,,,,,,,,,,,,,6,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10516,Anckre,,0,Kitchener,,,,6,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00502,Anderson,,0,Saginaw,,,98,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20144,Anderson,,0,Saginaw,,,,,91,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00515,Ashley,,0,Port Huron-Sarnia,,,34,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F22378,Ashley,,0,Kitchener,,,,,,,,,,,,,33,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10963,Auld,,0,Flint,,,,1,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00904,Beecher,,0,Brantford,,,106,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20612,Beecher,,0,Brantford,,,,,,,,103,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21515,Beecher,,0,Brantford,,,,,,,,,,,,6,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00695,Behan,,0,Hamilton,,,42,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21794,Behan,,0,Hamilton,,,,,,,,,,,,,,34,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10097,Behan,,0,Hamilton,,,,34,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00528,Belz,,0,Saginaw,,,64,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20080,Belz,,0,Saginaw,,,,,64,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01010,Berry,W.,0,Hamilton,,,15,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01546,Berry,C.,0,Kitchener,,,34,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21887,Berry,C.,0,Kitchener,,,,,,,,,,,,,,31,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21999,Berry,W.,0,Hamilton,,,,,,,,,,,,,,15,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10429,Berry,W.,0,Hamilton,,,,15,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10527,Berry,C.,0,Kitchener,,,,31,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01523,Berryman,,0,Hamilton,,,25,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F22295,Berryman,,0,Hamilton,,,,,,,,,,,,,23,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00566,Birrell,,0,Port Huron-Sarnia,,,64,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20115,Birrell,,0,Port Huron-Sarnia,,,,,23,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20829,Birrell,,0,Port Huron-Sarnia,,,,,,,,,,5,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21125,Birrell,,0,Port Huron-Sarnia,,,,,,,,,,,29,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10640,Birrell,,0,Kitchener,,,,2,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00760,Blake,,0,Hamilton,,,90,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20841,Blake,,0,Hamilton,,,,,,,,,,89,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10826,Bohn,,0,Saginaw,,,,3,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00416,Boothby,,0,Bay City,,,45,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20547,Boothby,,0,Bay City,,,,,,,8,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F22048,Boothby,,0,Bay City,,,,,,,,,,,,,,33,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10081,Boothby,,0,Bay City,,,,33,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00335,Boyle,,0,Port Huron-Sarnia,,,106,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20046,Boyle,,0,Port Huron-Sarnia,,,,,106,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01431,Brady,,0,Saginaw,,,14,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F20700,Brady,,0,Saginaw,,,,,,,,13,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B00210,Briger,,0,London,,,69,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F22251,Briger,,0,London,,,,,,,,,,,,,59,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01242,Brooks,,0,Saginaw,,,14,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F22085,Brooks,,0,Saginaw,,,,,,,,,,,,,,9,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10550,Brooks,,0,Saginaw,,,,9,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01466,Bullard,,0,Port Huron-Sarnia,,,24,,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,F21912,Bullard,,0,Port Huron-Sarnia,,,,,,,,,,,,,,23,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10320,Bullard,,0,Port Huron-Sarnia,,,,23,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,P10746,Burdan,,0,Hamilton,,,,2,,,,,,,,,,,
minoraverages/1922Spalding,1921,Michigan-Ontario League,,B01078,Burman,,0,London,,,5,,,,,,,,,,,,
