source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Hamilton,1930,Ontario League,,P10168,Allen,,0,Brantford,,,,13,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00021,Anderson,,0,London,,,42,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00293,Baxter,,0,St. Thomas,,,46,,yes,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10176,Beyers,,1,Brantford,,,,,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10176,Beyers,,2,Guelph,,,,,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10176,Beyers,,T,,,,,11,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00255,Bonk,,0,London,,,57,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00013,Bowers,,0,Brantford,,,22,,,,,,,,,,,yes,
minoraverages/Hamilton,1930,Ontario League,,P10062,Bowers,,0,Brantford,,,,13,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00324,Boyd,,0,Guelph,,,51,,,,yes,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00335,Carr,,0,St. Catharines,,,51,,,,yes,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00101,Cimpi,,0,Brantford,,,42,,,yes,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10244,Cohan,,0,Hamilton,,,,12,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00427,Connacher,,0,Guelph,,,42,,,yes,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00125,Cross,,0,St. Catharines,,,57,,yes,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10097,Delaney,,0,St. Catharines,,,,13,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00196,Dennis,,0,St. Catharines,,,51,,yes,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00319,Devers,,0,St. Thomas,,,44,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00045,Doherty,,0,St. Catharines,,,46,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00158,Emery,,0,Brantford,,,46,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10121,Francis,,1,Guelph,,,,,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10121,Francis,,2,St. Thomas,,,,,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10121,Francis,,T,,,,,17,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00362,Garey,,0,St. Catharines,,,31,,,yes,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00149,Gleason,,0,Brantford,,,33,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10035,Grabowski,,0,London,,,,22,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00182,Haas,,0,Brantford,,,47,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10019,Hagen,,0,London,,,,14,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00229,Haslin,,0,St. Catharines,,,50,,,,,yes,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10192,Hodge,,0,London,,,,15,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00286,Hoose,,0,Guelph,,,43,,,,,,,,,,yes,,
minoraverages/Hamilton,1930,Ontario League,,B00264,Jack,,0,St. Catharines,,,40,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00068,Koch,,0,London,,,50,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00117,Kovacic,,0,London,,,47,,yes,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10113,Kronk,,0,Hamilton,,,,12,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00381,Kuzma,,0,Brantford,,,47,,,,,yes,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00163,Leslie,,0,London,,,47,,,,,,,,,,yes,,
minoraverages/Hamilton,1930,Ontario League,,P10024,Lucas,,0,London,,,,17,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10043,Martin,,0,St. Catharines,,,,24,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00356,McMaine,,0,London,,,57,,,,yes,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10137,McPhee,,0,St. Thomas,,,,9,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10202,Meyers,,0,St. Thomas,,,,14,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00130,Michaels,,0,St. Thomas,,,27,,,,,,,,,,yes,,
minoraverages/Hamilton,1930,Ontario League,,B00241,Miller,,0,St. Thomas,,,55,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00278,Minalic,,0,Brantford,,,47,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00370,Moore,,0,Guelph,,,35,,,,,,,,,,,yes,
minoraverages/Hamilton,1930,Ontario League,,P10100,Moore,,0,Guelph,,,,18,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00059,Murphy,,0,St. Catharines,,,26,,,,,,,,,,,yes,
minoraverages/Hamilton,1930,Ontario League,,B00210,Noble,,0,Guelph,,,30,,,,,,,,,,,yes,
minoraverages/Hamilton,1930,Ontario League,,P10215,Noble,A. (or S.),0,Hamilton,,,,12,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10231,Noble,J.,0,Guelph,,,,9,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00397,Nuthatch,,0,Brantford,,,44,,,,yes,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00084,O'Connor,,0,London,,,50,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00343,Orme,,0,Guelph,,,34,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10159,Papke,,0,Brantford,,,,13,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00207,Patrick,,0,St. Thomas,,,40,,,,yes,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00076,Potter,,0,Guelph,,,37,,,,,yes,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00442,Rath,,0,Guelph,,,47,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00092,Rice,,0,Brantford,,,55,,,,,,,,,,yes,,
minoraverages/Hamilton,1930,Ontario League,,P10081,Ridler,,0,London,,,,8,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10184,Sarsfield,,0,Brantford,,,,10,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10145,Schaefer,,0,Guelph,,,,15,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00416,Scheer,,0,St. Thomas,,,44,,,yes,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10056,Sisler,,0,St. Thomas,,,,11,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10070,Smith,,0,St. Thomas,,,,17,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00403,Spiro,,1,St. Thomas,,,,,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00403,Spiro,,2,Guelph,,,,,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00403,Spiro,,T,,,,41,,yes,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00174,Syze,,0,Brantford,,,57,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00232,Unitz,,0,St. Thomas,,,50,,,,,,,,,,yes,,
minoraverages/Hamilton,1930,Ontario League,,B00434,Waring,,0,St. Thomas,,,51,,,,,,yes,,,,,,
minoraverages/Hamilton,1930,Ontario League,,P10228,Warnick,,0,St. Catharines,,,,13,,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00308,Watson,,0,Guelph,,,29,,yes,,,,,,,,,,
minoraverages/Hamilton,1930,Ontario League,,B00037,Wojack,,0,London,,,57,,,yes,,,,,,,,,
