source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B03038,Abplanalp,Walter,0,Olean,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,P11189,Abplanalp,,0,Olean,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B00210,Accardo,Thomas,0,Lockport,,,118,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F20449,Accardo,,0,Lockport,,,,,3b80
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F20981,Accardo,,0,Lockport,,,,,of32
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B01706,Alexander,Robert,0,Wellsville,,,13,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,P10478,Alexander,,0,Wellsville,,,,9,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B01041,Almendro,Jaime,0,Erie,,,120,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F20571,Almendro,,0,Erie,,,,,ss120
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B02917,Alsinewski,Albert,0,Lockport,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B01820,Anderson,Andy,0,Lockport,,,20,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F21912,Anderson,,0,Lockport,,,,,p21
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,P10550,Anderson,,0,Lockport,,,,21,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B01538,Andromidas,Nick,0,Erie,,,32,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F22150,Andromidas,,0,Erie,,,,,p30
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,P10516,Andromidas,,0,Erie,,,,30,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B02925,Anhalt,Arthur,0,Lockport,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,P11080,Anhalt,,0,Lockport,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B00806,Anziano,Victor,1,Jamestown,,,59,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B00806,Anziano,Victor,2,Batavia,,,41,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B00806,Anziano,Victor,T,,,,100,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F20956,Anziano,,1,Batavia,,,,,of41
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F20956,Anziano,,2,Jamestown,,,,,of59
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F20956,Anziano,,T,,,,,,of100
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B01143,Armstrong,Geo.,0,Jamestown,,,41,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F21381,Armstrong,,0,Jamestown,,,,,c39
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B02930,Baber,Ernest,0,Lockport,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,P11095,Baber,,0,Lockport,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B03046,Badding,William,0,Olean,,,,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,B00985,Ballard,Jerome,0,Batavia,,,119,,
minoraverages/1945TSN,1944,Pennsylvania-Ontario-New York League,,F20128,Ballard,,0,Batavia,,,,,1b119
