source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1946TSN,1945,Ohio State League,,B00783,Allison,Ben,0,Springfield,,,23,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F21783,Allison,,0,Springfield,,,,,,,,,,,,,,21,
minoraverages/1946TSN,1945,Ohio State League,,P10486,Allison,,0,Springfield,,,,21,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01960,Amata,Anthony,0,Middletown,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00553,Archer,Robert,0,Marion,,,77,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20571,Archer,,0,Marion,,,,,,,,77,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00623,Arthur,William,0,Lima,,,101,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20547,Arthur,,0,Lima,,,,,,,,101,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01798,Bailey,Edward,0,Marion,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10767,Bailey,Francis,0,Marion,,,,2,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01983,Balzli,Charles,0,Middletown,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00739,Barkovich,Martin,0,Newark,,,97,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20505,Barkovich,,0,Newark,,,,,,,12,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20594,Barkovich,,0,Newark,,,,,,,,82,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10847,Barret,Eugene,0,Newark,,,,6,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B02035,Barrett,Eugene,0,Newark,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00491,Bartholomew,Robert,0,Zanesville,,,140,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20855,Bartholomew,,0,Zanesville,,,,,,,,,140,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B02192,Bebernitz,Robert,0,Springfield,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00229,Beck,Theodore,0,Marion,,,130,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20886,Beck,,0,Marion,,,,,,,,,130,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01093,Becker,Joseph,0,Springfield,,,48,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01384,Becker,Robert,0,Middletown,,,11,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20240,Becker,,0,Springfield,,,,,,27,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20526,Becker,,0,Springfield,,,,,,,,18,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F21705,Becker,,0,Middletown,,,,,,,,,,,,,,11,
minoraverages/1946TSN,1945,Ohio State League,,P10168,Becker,,0,Middletown,,,,11,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00182,Belcastro,Joseph,0,Zanesville,,,104,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20102,Belcastro,,0,Zanesville,,,,,10,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20206,Belcastro,,0,Zanesville,,,,,,58,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20737,Belcastro,,0,Zanesville,,,,,,,,,32,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00324,Belotti,James,0,Springfield,,,38,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20864,Belotti,,0,Springfield,,,,,,,,,38,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01402,Bielemeier,Joseph,0,Zanesville,,,42,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F21434,Bielemeier,,0,Zanesville,,,,,,,,,,,,,,42,
minoraverages/1946TSN,1945,Ohio State League,,P10043,Bielemeier,,0,Zanesville,,,,42,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00335,Bierer,Wallace,0,Newark,,,27,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F21229,Bierer,,0,Newark,,,,,,,,,,,,,25,,
minoraverages/1946TSN,1945,Ohio State League,,B00833,Biggs,Harley,0,Middletown,,,14,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20369,Biggs,,0,Middletown,,,,,,10,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B02159,Bing,Richard,0,Springfield,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10982,Bing,Richard,0,Springfield,,,,1,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01848,Blackstone,Jerome,0,Marion,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00705,Blenke,John,0,Lima,,,13,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F21068,Blenke,,0,Lima,,,,,,,,,13,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01918,Boerger,Willard,0,Marion,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10894,Boerger,Willard,0,Marion,,,,2,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00264,Bolick,Troy,0,Springfield,,,138,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20962,Bolick,,0,Springfield,,,,,,,,,138,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10925,Bolick,Troy,0,Springfield,,,,1,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01428,Bollinger,Harold,0,Newark,,,12,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20583,Bollinger,,0,Newark,,,,,,,,10,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01086,Bonk,Leonard,0,Newark,,,19,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F21158,Bonk,,0,Newark,,,,,,,,,17,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10588,Bonk,Leonard,0,Newark,,,,2,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00045,Bracchitta,Joseph,0,Springfield,,,86,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20832,Bracchitta,,0,Springfield,,,,,,,,,83,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01617,Braden,Kenneth,1,Middletown,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01617,Braden,Kenneth,2,Lima,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B01617,Braden,Kenneth,T,,,,,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10679,Braden,Kenneth,1,Middletown,,,,2,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10679,Braden,Kenneth,2,Lima,,,,3,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,P10679,Braden,Kenneth,T,,,,,5,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,B00502,Brashaw,Leo,0,Newark,,,34,,,,,,,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F20776,Brashaw,,0,Newark,,,,,,,,,15,,,,,,
minoraverages/1946TSN,1945,Ohio State League,,F21397,Brashaw,,0,Newark,,,,,,,,,,,,,,14,
