source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1947TSN,1946,Alabama State League,anderson,B00264,Anderson,William,0,Greenville,,,27,,
minoraverages/1947TSN,1946,Alabama State League,anderson,F20997,Anderson,,0,Greenville,,,,,of17
minoraverages/1947TSN,1946,Alabama State League,anderson,P10478,Anderson,William,0,Greenville,,,,7,
minoraverages/1947TSN,1946,Alabama State League,ankenbrandt,B00196,Ankenbrandt,Francis,0,Greenville,,,119,,
minoraverages/1947TSN,1946,Alabama State League,ankenbrandt,F20206,Ankenbrandt,,0,Greenville,,,,,2b118
minoraverages/1947TSN,1946,Alabama State League,ankenbrandt,P10982,Ankenbrandt,Francis,0,Greenville,,,,1,
minoraverages/1947TSN,1946,Alabama State League,archiopoli,B00232,Archiopoli,Andrew,0,Ozark,,,108,,
minoraverages/1947TSN,1946,Alabama State League,archiopoli,F20583,Archiopoli,,0,Ozark,,,,,ss53
minoraverages/1947TSN,1946,Alabama State League,archiopoli,F20962,Archiopoli,,0,Ozark,,,,,of49
minoraverages/1947TSN,1946,Alabama State League,archiopoli,P10429,Archiopoli,Andrew,0,Ozark,,,,8,
minoraverages/1947TSN,1946,Alabama State League,atkins,B00577,Atkins,James,0,Geneva,,,50,,
minoraverages/1947TSN,1946,Alabama State League,atkins,F21381,Atkins,,0,Geneva,,,,,p33
minoraverages/1947TSN,1946,Alabama State League,atkins,P10024,Atkins,,0,Geneva,,,,33,
minoraverages/1947TSN,1946,Alabama State League,bass,B01939,Bass,,0,Ozark,,,,,
minoraverages/1947TSN,1946,Alabama State League,bass,P10925,Bass,,0,Ozark,,,,1,
minoraverages/1947TSN,1946,Alabama State League,batt,B00356,Batt,John,1,Dothan,,,33,,
minoraverages/1947TSN,1946,Alabama State League,batt,B00356,Batt,John,2,Greenville,,,48,,
minoraverages/1947TSN,1946,Alabama State League,batt,B00356,Batt,John,T,,,,81,,
minoraverages/1947TSN,1946,Alabama State League,batt,F20051,Batt,,1,Dothan,,,,,1b
minoraverages/1947TSN,1946,Alabama State League,batt,F20051,Batt,,2,Greenville,,,,,1b
minoraverages/1947TSN,1946,Alabama State League,batt,F20051,Batt,,T,,,,,,1b72
minoraverages/1947TSN,1946,Alabama State League,batt,F21117,Batt,,1,Dothan,,,,,of
minoraverages/1947TSN,1946,Alabama State League,batt,F21117,Batt,,2,Greenville,,,,,of
minoraverages/1947TSN,1946,Alabama State League,batt,F21117,Batt,,T,,,,,,of13
minoraverages/1947TSN,1946,Alabama State League,baxter,B00811,Baxter,Haywood,1,Greenville,,,53,,
minoraverages/1947TSN,1946,Alabama State League,baxter,B00811,Baxter,Haywood,2,Ozark,,,1,,
minoraverages/1947TSN,1946,Alabama State League,baxter,B00811,Baxter,Haywood,T,,,,54,,
minoraverages/1947TSN,1946,Alabama State League,baxter,F20768,Baxter,,1,Greenville,,,,,of
minoraverages/1947TSN,1946,Alabama State League,baxter,F20768,Baxter,,2,Ozark,,,,,of
minoraverages/1947TSN,1946,Alabama State League,baxter,F20768,Baxter,,T,,,,,,of41
minoraverages/1947TSN,1946,Alabama State League,baxter,P10432,Baxter,Haywood,0,Greenville,,,,6,
