source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,alivojvodic,B01170,Alivojvodic,Nick,0,Iola,,,10,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,alivojvodic,F20776,Alivojvodic,,0,Iola,,,,,p
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,alivojvodic,P10464,Alivojvodic,,0,Iola,,,,10,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,arlitt,B00059,Arlitt,Adolph,0,Carthage,,,119,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,arlitt,F20038,Arlitt,,0,Carthage,,,,,1b
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,arlitt,P10320,Arlitt,,0,Carthage,,,,9,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,aubrey,B00590,Aubrey,Kenneth,0,Iola,,,117,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,aubrey,F20211,Aubrey,,0,Iola,,,,,3b
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,baker,B00210,Baker,Jerry,0,Pittsburg,,,31,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,baker,F20784,Baker,,0,Pittsburg,,,,,p
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,baker,P10159,Baker,,0,Pittsburg,,,,22,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,ballou,B00515,Ballou,Duane,0,Carthage,,,113,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,ballou,F20539,Ballou,,0,Carthage,,,,,of
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bayless,B00672,Bayless,Don,0,Pittsburg,,,5,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bayless,F20713,Bayliss,,0,Pittsburg,,,,,p
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bayless,P10348,Bayliss,,0,Pittsburg,,,,5,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,beam,B01029,Beam,Nelson,0,Pittsburg,,,35,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,beam,F20810,Beam,,0,Pittsburg,,,,,p
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,beam,P10121,Beam,,0,Pittsburg,,,,35,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,beran,B00771,Beran,Joseph,0,Miami,,,22,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,beran,F20943,Beran,,0,Miami,,,,,p
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,beran,P10357,Beran,,0,Miami,,,,18,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bernadett,B00623,Bernadett,Michael,0,Pittsburg,,,112,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bernadett,F20298,Bernadett,,0,Pittsburg,,,,,ss
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,borghi,B00469,Borghi,Frank,0,Carthage,,,103,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,borghi,F20144,Borghi,,0,Carthage,,,,,2b
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,boyer,B00255,Boyer,Cloyd,0,Carthage,,,7,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,boyer,P10399,Boyer,,0,Carthage,,,,5,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bridges,B00920,Bridges,Olin,0,Carthage,,,60,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bridges,F20334,Bridges,,0,Carthage,,,,,ss
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bubnak,B00752,Bubnak,Andy,0,Iola,,,115,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,bubnak,F20303,Bubnak,,0,Iola,,,,,ss
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,buck,B00232,Buck,William,0,Carthage,,,22,,
minoraverages/1947TSN,1946,Kansas-Oklahoma-Missouri League,buck,F20737,Buck,,0,Carthage,,,,,p
