source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B02062,Abdella,James,0,Hornell,,,17,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21718,Abdella,,0,Hornell,,,,,,,,,,,,,,17,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10550,Abdella,,0,Hornell,,,,17,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01663,Aber,Albert,0,Batavia,,,27,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F22036,Abers,,0,Batavia,,,,,,,,,,,,,,26,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10432,Abers,,0,Batavia,,,,26,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01820,Abplanalp,Walter,0,Olean,,,19,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F22103,Abplanalp,,0,Olean,,,,,,,,,,,,,,19,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10312,Abplanalp,,0,Olean,,,,19,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00117,Abreu,Joseph,0,Wellsville,,,106,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20190,Abreu,,0,Wellsville,,,,,,67,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20391,Abreu,,0,Wellsville,,,,,,,37,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01983,Adams,Robert,0,Wellsville,,,39,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20526,Adams,,0,Wellsville,,,,,,,10,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20636,Adans,,0,Wellsville,,,,,,,,20,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00059,Addis,Robert,0,Wellsville,,,34,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21210,Addis,,0,Wellsville,,,,,,,,,33,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00695,Alexopoulos,Andrew,0,Jamestown,,,101,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20051,Alexopoulos,,0,Jamestown,,,,,101,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P11166,Allen,,0,Olean,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10654,Anderson,,0,Bradford,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00207,Antonetz,Rudolph,0,Olean,,,22,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21319,Antonetz,,0,Olean,,,,,,,,,16,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01798,Atkins,Arnold,0,Hamilton,,,39,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F22073,Atkins,,0,Hamilton,,,,,,,,,,,,,,35,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10575,Atkins,,0,Hamilton,,,,35,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01551,August,Joseph,0,Hornell,,,26,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21232,August,,0,Hornell,,,,,,,,,26,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00475,Babcock,James,0,Olean,,,118,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20673,Babcock,,0,Olean,,,,,,,,118,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00854,Bakkelund,Harold,0,Hamilton,,,14,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P11177,Banach,,0,Olean,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P11417,Baran,,1,Wellsville,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P11417,Baran,,2,Hornell,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P11417,Baran,,T,,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01960,Barskite,Joseph,0,Wellsville,,,29,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F22246,Barskite,,0,Wellsville,,,,,,,,,,,,,,29,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10516,Barskite,,0,Wellsville,,,,29,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00638,Bartz,Theodore,0,Jamestown,,,125,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20144,Bartz,,0,Jamestown,,,,,25,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21021,Bartz,,0,Jamestown,,,,,,,,,100,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00068,Beck,Donald,0,Hornell,,,16,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21442,Beck,,0,Hornell,,,,,,,,,,,,,13,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00544,Beech,John,0,Wellsville,,,116,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20518,Beech,,0,Wellsville,,,,,,,10,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20956,Beech,,0,Wellsville,,,,,,,,,108,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01086,Belke,Mervin,0,Hornell,,,22,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21343,Belke,,0,Hornell,,,,,,,,,20,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10901,Bellidiea,,0,Hornell,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00589,Benevich,William,0,Olean,,,101,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20038,Benevich,,0,Olean,,,,,100,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10665,Bienia,,0,Bradford,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10925,Bilonich,,0,Hornell,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01489,Bilonick,Charles,0,Hornell,,,14,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F22295,Bilonick,,0,Hornell,,,,,,,,,,,,,,14,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10917,Bintliff,,0,Hornell,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00822,Black,Norman,0,Wellsville,,,50,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21278,Black,,0,Wellsville,,,,,,,,,47,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00747,Blackwood,Wm.,0,Bradford,,,65,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F20279,Blackwood,,0,Bradford,,,,,,60,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00794,Bodan,Joseph,0,Olean,,,88,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21182,Bodan,,0,Olean,,,,,,,,,78,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P11189,Bodan,,0,Olean,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B02070,Bonforte,Ronald,0,Wellsville,,,20,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F22142,Bonforte,,0,Wellsville,,,,,,,,,,,,,,20,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10336,Bonforte,,0,Wellsville,,,,20,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01733,Braam,William,0,Olean,,,34,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21794,Braam,,0,Olean,,,,,,,,,,,,,,28,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10145,Braam,,0,Olean,,,,28,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10679,Braden,,0,Bradford,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01490,Brant,Charles,0,Wellsville,,,11,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F22272,Brant,,0,Wellsville,,,,,,,,,,,,,,11,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P11327,Brant,,0,Wellsville,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B01595,Bricker,Cyril,0,Hamilton,,,30,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,F21854,Bricker,,0,Hamilton,,,,,,,,,,,,,,26,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10534,Bricker,,0,Hamilton,,,,26,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,P10930,Briganti,,0,Hornell,,,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B00403,Brown,John,0,Wellsville,,,121,,,,,,,,,,,,
minoraverages/1947TSN,1946,Pennsylvania-Ontario-New York League,,B02019,Brown,A. O.,0,Batavia,,,24,,,,,,,,,,,,
