source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1947TSN,1946,Southeastern League,,B00158,Abreu,Jose,0,Pensacola,,,12,,
minoraverages/1947TSN,1946,Southeastern League,,F21577,Abreu,,0,Pensacola,,,,,c12
minoraverages/1947TSN,1946,Southeastern League,,B01055,Acosta,Julian,0,Anniston,,,56,,
minoraverages/1947TSN,1946,Southeastern League,,F20095,Acosta,,0,Anniston,,,,,1b12
minoraverages/1947TSN,1946,Southeastern League,,F21255,Acosta,,0,Anniston,,,,,of27
minoraverages/1947TSN,1946,Southeastern League,,F21672,Acosta,,0,Anniston,,,,,p14
minoraverages/1947TSN,1946,Southeastern League,,P10228,Acosta,,0,Anniston,,,,14,
minoraverages/1947TSN,1946,Southeastern League,,B00488,Adkins,Wm. R.,0,Pensacola,,,80,,
minoraverages/1947TSN,1946,Southeastern League,,F20571,Adkins,,0,Pensacola,,,,,3b51
minoraverages/1947TSN,1946,Southeastern League,,F20864,Adkins,,0,Pensacola,,,,,of19
minoraverages/1947TSN,1946,Southeastern League,,B01345,Albert,Dalton,0,Meridian,,,42,,
minoraverages/1947TSN,1946,Southeastern League,,F21811,Albert,,0,Meridian,,,,,p32
minoraverages/1947TSN,1946,Southeastern League,,P10606,Albert,,0,Meridian,,,,32,
minoraverages/1947TSN,1946,Southeastern League,,B01064,Albertson,Robert,0,Gadsden,,,34,,
minoraverages/1947TSN,1946,Southeastern League,,F21948,Albertson,,0,Gadsden,,,,,p21
minoraverages/1947TSN,1946,Southeastern League,,P10665,Albertson,,0,Gadsden,,,,21,
minoraverages/1947TSN,1946,Southeastern League,,B01617,Amato,Harry,0,Selma,,,58,,
minoraverages/1947TSN,1946,Southeastern League,,F21045,Amato,,0,Selma,,,,,of57
minoraverages/1947TSN,1946,Southeastern League,,B02654,Anderson,Charles,0,Montgomery,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B02687,Archiopoli,Andrew,0,Montgomery,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B01119,Armstrong,Carl,0,Pensacola,,,20,,
minoraverages/1947TSN,1946,Southeastern League,,F20505,Armstrong,,0,Pensacola,,,,,3b20
minoraverages/1947TSN,1946,Southeastern League,,B01663,Bailey,George,0,Anniston,,,13,,
minoraverages/1947TSN,1946,Southeastern League,,B02925,Bailey,Clarence,0,Selma,,,,,
minoraverages/1947TSN,1946,Southeastern League,,F21163,Bailey,,0,Anniston,,,,,of11
minoraverages/1947TSN,1946,Southeastern League,,B02277,Bankhead,Jack,0,Gadsden,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B01836,Barger,John,0,Gadsden,,,28,,
minoraverages/1947TSN,1946,Southeastern League,,F22134,Barger,,0,Gadsden,,,,,p28
minoraverages/1947TSN,1946,Southeastern League,,P10569,Barger,,0,Gadsden,,,,28,
minoraverages/1947TSN,1946,Southeastern League,,B00196,Barker,Norbert,0,Vicksburg,,,111,,
minoraverages/1947TSN,1946,Southeastern League,,F20254,Barker,,0,Vicksburg,,,,,2b27
minoraverages/1947TSN,1946,Southeastern League,,F20583,Barker,,0,Vicksburg,,,,,3b13
minoraverages/1947TSN,1946,Southeastern League,,F20745,Barker,,0,Vicksburg,,,,,ss50
minoraverages/1947TSN,1946,Southeastern League,,F21335,Barker,,0,Vicksburg,,,,,of17
minoraverages/1947TSN,1946,Southeastern League,,B00308,Barkley,James,0,Pensacola,,,124,,
minoraverages/1947TSN,1946,Southeastern League,,F21130,Barkley,,0,Pensacola,,,,,of123
minoraverages/1947TSN,1946,Southeastern League,,B00760,Barnhart,Carl,0,Pensacola,,,61,,
minoraverages/1947TSN,1946,Southeastern League,,F20375,Barnhart,,0,Pensacola,,,,,2b17
minoraverages/1947TSN,1946,Southeastern League,,F20855,Barnhart,,0,Pensacola,,,,,of16
minoraverages/1947TSN,1946,Southeastern League,,B00531,Bartkowski,Stanley,0,Vicksburg,,,31,,
minoraverages/1947TSN,1946,Southeastern League,,F21059,Bartkowski,,0,Vicksburg,,,,,of24
minoraverages/1947TSN,1946,Southeastern League,,B01368,Basile,Joseph,0,Montgomery,,,26,,
minoraverages/1947TSN,1946,Southeastern League,,F20080,Basile,,0,Montgomery,,,,,1b23
minoraverages/1947TSN,1946,Southeastern League,,B00370,Beal,Robert,0,Gadsden,,,110,,
minoraverages/1947TSN,1946,Southeastern League,,F20189,Beal,,0,Gadsden,,,,,2b73
minoraverages/1947TSN,1946,Southeastern League,,F20526,Beal,,0,Gadsden,,,,,3b29
minoraverages/1947TSN,1946,Southeastern League,,B01415,Beavers,Alex,0,Selma,,,31,,
minoraverages/1947TSN,1946,Southeastern League,,F21985,Beavers,,0,Selma,,,,,p28
minoraverages/1947TSN,1946,Southeastern League,,P10244,Beavers,,0,Selma,,,,28,
minoraverages/1947TSN,1946,Southeastern League,,B03072,Bedding,,0,Vicksburg,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B02503,Beddingfield,Marcus,0,Meridian,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B02184,Beechko,Nicholas,0,Anniston,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B00149,Behrends,John,0,Jackson,,,101,,
minoraverages/1947TSN,1946,Southeastern League,,F21241,Behrends,,0,Jackson,,,,,of101
minoraverages/1947TSN,1946,Southeastern League,,B02860,Bellinger,Glen,0,Pensacola,,,,,
minoraverages/1947TSN,1946,Southeastern League,,P10963,Bellinger,Glen,0,Pensacola,,,,2,
minoraverages/1947TSN,1946,Southeastern League,,B02818,Bentz,Howard,0,Pensacola,,,,,
minoraverages/1947TSN,1946,Southeastern League,,P11051,Bentz,Howard,0,Pensacola,,,,2,
minoraverages/1947TSN,1946,Southeastern League,,B02767,Bevell,Grady,0,Pensacola,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B01740,Bickford,Vernon,0,Jackson,,,29,,
minoraverages/1947TSN,1946,Southeastern League,,F21999,Bickford,,0,Jackson,,,,,p28
minoraverages/1947TSN,1946,Southeastern League,,P10184,Bickford,,0,Jackson,,,,28,
minoraverages/1947TSN,1946,Southeastern League,,B02429,Bishop,Gale,0,Jackson,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B00695,Blair,Louis,0,Vicksburg,,,70,,
minoraverages/1947TSN,1946,Southeastern League,,F20458,Blair,,0,Vicksburg,,,,,3b40
minoraverages/1947TSN,1946,Southeastern League,,F20886,Blair,,0,Vicksburg,,,,,of13
minoraverages/1947TSN,1946,Southeastern League,,B01971,Blumette,Peter,0,Montgomery,,,10,,
minoraverages/1947TSN,1946,Southeastern League,,F21695,Blumette,,0,Montgomery,,,,,p10
minoraverages/1947TSN,1946,Southeastern League,,P10100,Blumette,,0,Montgomery,,,,10,
minoraverages/1947TSN,1946,Southeastern League,,B00264,Bowers,Grover,0,Gadsden,,,132,,
minoraverages/1947TSN,1946,Southeastern League,,F21125,Bowers,,0,Gadsden,,,,,of126
minoraverages/1947TSN,1946,Southeastern League,,B00566,Brannan,Charles,0,Selma,,,16,,
minoraverages/1947TSN,1946,Southeastern League,,F20841,Brannan,,0,Selma,,,,,of16
minoraverages/1947TSN,1946,Southeastern League,,B02982,Braumbaugh,Harold,0,Vicksburg,,,,,
minoraverages/1947TSN,1946,Southeastern League,,P10751,Braumbaugh,Harold,0,Vicksburg,,,,2,
minoraverages/1947TSN,1946,Southeastern League,,B00794,Bridgers,Byron,0,Gadsden,,,117,,
minoraverages/1947TSN,1946,Southeastern League,,F20768,Bridgers,,0,Gadsden,,,,,ss117
minoraverages/1947TSN,1946,Southeastern League,,B01227,Britt,Zennie,1,Pensacola,,,5,,
minoraverages/1947TSN,1946,Southeastern League,,B01227,Britt,Zennie,2,Jackson,,,26,,
minoraverages/1947TSN,1946,Southeastern League,,B01227,Britt,Zennie,T,,,,31,,
minoraverages/1947TSN,1946,Southeastern League,,F22175,Britt,,1,Pensacola,,,,,p.
minoraverages/1947TSN,1946,Southeastern League,,F22175,Britt,,2,Jackson,,,,,p.
minoraverages/1947TSN,1946,Southeastern League,,F22175,Britt,,T,,,,,,p28
minoraverages/1947TSN,1946,Southeastern League,,P10429,Britt,,1,Pensacola,,,,5,
minoraverages/1947TSN,1946,Southeastern League,,P10429,Britt,,2,Jackson,,,,23,
minoraverages/1947TSN,1946,Southeastern League,,P10429,Britt,,T,,,,,28,
minoraverages/1947TSN,1946,Southeastern League,,B02698,Brittain,August,0,Montgomery,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B02901,Broome,George,0,Selma,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B00232,Brossart,Robert,0,Anniston,,,28,,
minoraverages/1947TSN,1946,Southeastern League,,F20919,Brossart,,0,Anniston,,,,,of26
minoraverages/1947TSN,1946,Southeastern League,,B00068,Brown,George,0,Gadsden,,,119,,
minoraverages/1947TSN,1946,Southeastern League,,B01489,Brown,Charles,0,Montgomery,,,73,,
minoraverages/1947TSN,1946,Southeastern League,,F21117,Brown,G.,0,Gadsden,,,,,of118
minoraverages/1947TSN,1946,Southeastern League,,F21469,Brown,C.,0,Montgomery,,,,,c65
minoraverages/1947TSN,1946,Southeastern League,,B02958,Bubbinnotti,Greno,0,Selma,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B01321,Buckel,Walter,0,Montgomery,,,122,,
minoraverages/1947TSN,1946,Southeastern League,,F20417,Buckel,,0,Montgomery,,,,,3b114
minoraverages/1947TSN,1946,Southeastern League,,B01203,Buffington,John,0,Selma,,,125,,
minoraverages/1947TSN,1946,Southeastern League,,F20316,Buffington,,0,Selma,,,,,2b102
minoraverages/1947TSN,1946,Southeastern League,,F20612,Buffington,,0,Selma,,,,,3b18
minoraverages/1947TSN,1946,Southeastern League,,B02215,Burrows,John,0,Anniston,,,,,
minoraverages/1947TSN,1946,Southeastern League,,P10839,Burrows,John,0,Anniston,,,,5,
minoraverages/1947TSN,1946,Southeastern League,,B01234,Burtschey,Edward,0,Anniston,,,25,,
minoraverages/1947TSN,1946,Southeastern League,,P10289,Burtschey,,0,Anniston,,,,20,
minoraverages/1947TSN,1946,Southeastern League,,F22020,Burtschy,,0,Anniston,,,,,p20
minoraverages/1947TSN,1946,Southeastern League,,B00356,Bytnar,Henry,0,Vicksburg,,,11,,
minoraverages/1947TSN,1946,Southeastern League,,F22188,Bytnar,,0,Vicksburg,,,,,p11
minoraverages/1947TSN,1946,Southeastern League,,P10687,Bytnar,,0,Vicksburg,,,,11,
minoraverages/1947TSN,1946,Southeastern League,,B02974,Caffrey,Elmer,0,Selma,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B01124,Calderone,Samuel,0,Meridian,,,82,,
minoraverages/1947TSN,1946,Southeastern League,,F21528,Calderone,,0,Meridian,,,,,c69
minoraverages/1947TSN,1946,Southeastern League,,B02534,Callaway,William,0,Meridian,,,,,
minoraverages/1947TSN,1946,Southeastern League,,P10852,Callaway,William,0,Meridian,,,,9,
minoraverages/1947TSN,1946,Southeastern League,,B01162,Cardey,Jack,0,Selma,,,41,,
minoraverages/1947TSN,1946,Southeastern League,,F21783,Cardey,,0,Selma,,,,,p30
minoraverages/1947TSN,1946,Southeastern League,,P10159,Cardey,,0,Selma,,,,30,
minoraverages/1947TSN,1946,Southeastern League,,B00961,Carlin,James,0,Montgomery,,,99,,
minoraverages/1947TSN,1946,Southeastern League,,F20279,Carlin,,0,Montgomery,,,,,2b97
minoraverages/1947TSN,1946,Southeastern League,,B01722,Casbier,Noel,0,Jackson,,,16,,
minoraverages/1947TSN,1946,Southeastern League,,B00084,Castiglione,Peter,0,Selma,,,134,,
minoraverages/1947TSN,1946,Southeastern League,,F20648,Castiglione,,0,Selma,,,,,ss132
minoraverages/1947TSN,1946,Southeastern League,,B00752,Cato,Leon,0,Jackson,,,135,,
minoraverages/1947TSN,1946,Southeastern League,,F20970,Cato,,0,Jackson,,,,,of135
minoraverages/1947TSN,1946,Southeastern League,,F20962,Cavoise,,0,Montgomery,,,,,of113
minoraverages/1947TSN,1946,Southeastern League,,B00092,Cavosie,Joseph,0,Montgomery,,,115,,
minoraverages/1947TSN,1946,Southeastern League,,B01885,Coble,David,0,Gadsden,,,25,,
minoraverages/1947TSN,1946,Southeastern League,,F21434,Coble,,0,Gadsden,,,,,c19
minoraverages/1947TSN,1946,Southeastern League,,B01288,Cola,Clem,0,Montgomery,,,15,,
minoraverages/1947TSN,1946,Southeastern League,,B02516,Colontino,John,0,Meridian,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B02714,Condit,Douglas,0,Montgomery,,,,,
minoraverages/1947TSN,1946,Southeastern League,,P10805,Condit,Douglas,0,Montgomery,,,,4,
minoraverages/1947TSN,1946,Southeastern League,,B01625,Conn,Hampton,0,Jackson,,,11,,
minoraverages/1947TSN,1946,Southeastern League,,F22209,Conn,,0,Jackson,,,,,p11
minoraverages/1947TSN,1946,Southeastern League,,P10917,Conn,Hampton,0,Jackson,,,,11,
minoraverages/1947TSN,1946,Southeastern League,,B01994,Cook,Roland,0,Selma,,,29,,
minoraverages/1947TSN,1946,Southeastern League,,F21590,Cook,,0,Selma,,,,,p29
minoraverages/1947TSN,1946,Southeastern League,,P10385,Cook,,0,Selma,,,,29,
minoraverages/1947TSN,1946,Southeastern League,,B02228,Couglin,Dominic,0,Anniston,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B02464,Covert,Frank,0,Meridian,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B00182,Creel,John,0,Montgomery,,,134,,
minoraverages/1947TSN,1946,Southeastern League,,F21037,Creel,,0,Montgomery,,,,,of132
minoraverages/1947TSN,1946,Southeastern League,,B02070,Crider,Russell,0,Jackson,,,29,,
minoraverages/1947TSN,1946,Southeastern League,,F22223,Crider,,0,Jackson,,,,,p29
minoraverages/1947TSN,1946,Southeastern League,,P10176,Crider,,0,Jackson,,,,29,
minoraverages/1947TSN,1946,Southeastern League,,B00335,Davis,Hargrove,0,Montgomery,,,33,,
minoraverages/1947TSN,1946,Southeastern League,,B00442,Davis,Thomas,0,Jackson,,,137,,
minoraverages/1947TSN,1946,Southeastern League,,B02542,Davis,Audry,0,Montgomery,,,,,
minoraverages/1947TSN,1946,Southeastern League,,B02996,Davis,Herbert,0,Vicksburg,,,,,
minoraverages/1947TSN,1946,Southeastern League,,F21084,Davis,T.,0,Jackson,,,,,of137
minoraverages/1947TSN,1946,Southeastern League,,F21278,Davis,H.,0,Montgomery,,,,,of31
minoraverages/1947TSN,1946,Southeastern League,,B00403,DeFreitas,Walter,0,Jackson,,,37,,
minoraverages/1947TSN,1946,Southeastern League,,F20287,DeFreitas,,0,Jackson,,,,,2b34
minoraverages/1947TSN,1946,Southeastern League,,B01402,Deets,John,0,Montgomery,,,24,,
minoraverages/1947TSN,1946,Southeastern League,,F21898,Deets,,0,Montgomery,,,,,p24
minoraverages/1947TSN,1946,Southeastern League,,P10070,Deets,,0,Montgomery,,,,24,
