source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Alabama State League,archipoli,B01804,Archipoli,Daniel,0,Andalusia,,,19,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,archipoli,F22134,Archipoli,,0,Andalusia,,,,,,,,,,,,,,18,
minoraverages/1950TSN,1949,Alabama State League,archipoli,P10550,Archipoli,,0,Andalusia,,,,18,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,babston,B01291,Babston,Fred,0,Dothan,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,babston,F21319,Babston,,0,Dothan,,,,,,,,,14,,,,,,
minoraverages/1950TSN,1949,Alabama State League,bailey,B01477,Bailey,Marvin,0,Troy,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,bailey,F20583,Bailey,,0,Troy,,,,,,,10,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,bass,B00130,Bass,Daniel,0,Geneva,,,47,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,bass,F21013,Bass,,0,Geneva,,,,,,,,,47,,,,,,
minoraverages/1950TSN,1949,Alabama State League,beasley,B00427,Beasley,John M.,0,Enterprise,,,120,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,beasley,F20072,Beasley,,0,Enterprise,,,,,120,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,bechtold,B01227,Bechtold,William,0,Andalusia,,,75,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,bechtold,F20673,Bechtold,,0,Andalusia,,,,,,,,75,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,black,B01696,Black,Jimmy,0,Andalusia,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,black,F21092,Black,,0,Andalusia,,,,,,,,,10,,,,,,
minoraverages/1950TSN,1949,Alabama State League,boldyga,B01580,Boldyga,Joseph,0,Dothan,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,boldyga,F21739,Boldyga,,0,Dothan,,,,,,,,,,,,,,14,
minoraverages/1950TSN,1949,Alabama State League,boldyga,P10493,Boldyga,,0,Dothan,,,,14,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,breaux,B00760,Breaux,Clifton,0,Troy,,,76,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,breaux,F21255,Breaux,,0,Troy,,,,,,,,,75,,,,,,
minoraverages/1950TSN,1949,Alabama State League,bryers,B01197,Bryers,Neil,0,Troy,,,11,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,buchanan,B00403,Buchanan,Andrew,0,Geneva,,,43,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,buchanan,F20222,Buchanan,,0,Geneva,,,,,,22,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,buchanan,F20430,Buchanan,,0,Geneva,,,,,,,18,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,burns,B00021,Burns,John,0,Greenville,,,46,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,burns,F20832,Burns,,0,Greenville,,,,,,,,,46,,,,,,
minoraverages/1950TSN,1949,Alabama State League,burris,B01029,Burris,Carl,0,Troy,,,109,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,burris,F21000,Burris,,0,Troy,,,,,,,,,108,,,,,,
minoraverages/1950TSN,1949,Alabama State League,byrd,B00502,Byrd,Jennings,0,Brewton,,,71,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,byrd,F20067,Byrd,,0,Brewton,,,,,71,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,byrne,B01086,Byrne,Gladin,0,Brewton,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,byrne,P10244,Byrne,,0,Brewton,,,,8,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cagle,B00163,Cagle,Lamar,0,Andalusia,,,104,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cagle,F20388,Cagle,,0,Andalusia,,,,,,13,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cagle,F20737,Cagle,,0,Andalusia,,,,,,,,29,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cagle,F21045,Cagle,,0,Andalusia,,,,,,,,,59,,,,,,
minoraverages/1950TSN,1949,Alabama State League,casella,B01514,Casella,Roy,0,Greenville,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,casella,F20768,Casella,,0,Greenville,,,,,,,,13,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cash,B01010,Cash,Alfred,0,Geneva,,,100,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cash,F20458,Cash,,0,Geneva,,,,,,,55,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cash,F20699,Cash,,0,Geneva,,,,,,,,41,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cavosie,B00045,Cavosie,Joseph,0,Dothan,,,53,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cavosie,F20014,Cavosie,,0,Dothan,,,,,32,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cavosie,F20334,Cavosie,,0,Dothan,,,,,,18,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,cavosie,M90060,Cavosie,Joe,,Dothan,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,chadwick,B00752,Chadwick,Doyle,0,Troy,,,22,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,chadwick,F21308,Chadwick,,0,Troy,,,,,,,,,12,,,,,,
minoraverages/1950TSN,1949,Alabama State League,chadwick,F21961,Chadwick,,0,Troy,,,,,,,,,,,,,,10,
minoraverages/1950TSN,1949,Alabama State League,chaillot,B00125,Chaillot,Emil,0,Enterprise,,,91,,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,chaillot,F21101,Chaillot,,0,Enterprise,,,,,,,,,75,,,,,,
minoraverages/1950TSN,1949,Alabama State League,chaillot,F22012,Chaillot,,0,Enterprise,,,,,,,,,,,,,,11,
minoraverages/1950TSN,1949,Alabama State League,chaillot,P10516,Chaillot,,0,Enterprise,,,,11,,,,,,,,,,,
minoraverages/1950TSN,1949,Alabama State League,clark,B00362,Clark,Robert,0,Ozark,,,119,,,,,,,,,,,,
