source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Appalachian League,adamcewicz,B00163,Adamcewicz,Erwin,0,Johnson City,,,114,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,adamcewicz,F21092,Adamcewicz,,0,Johnson City,,,,,,,,,107,,,,,,
minoraverages/1950TSN,1949,Appalachian League,alexy,B01119,Alexy,John,0,Welch,,,13,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,alexy,F20177,Alexy,,0,Welch,,,,,13,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,allegar,B00149,Allegar,Edwin,0,Bristol,,,116,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,allegar,F20474,Allegar,,0,Bristol,,,,,,,115,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,baker,B00747,Baker,William,0,New River,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,baker,F21646,Baker,,0,New River,,,,,,,,,,,,,,17,
minoraverages/1950TSN,1949,Appalachian League,baker,P10231,Baker,,0,New River,,,,17,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,barker,B01291,Barker,George,0,Pulaski,,,25,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,barker,F21904,Barker,,0,Pulaski,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Appalachian League,barker,P10192,Barker,,0,Pulaski,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,barry,B00705,Barry,Edward,0,Johnson City,,,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,barry,F20038,Barry,,0,Johnson City,,,,,32,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,battavio,B00865,Battavio,Paul,0,Bluefield,,,50,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,battavio,F20369,Battavio,,0,Bluefield,,,,,,48,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,baylor,B01197,Baylor,Roger,0,Kingsport,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,baylor,F21101,Baylor,,0,Kingsport,,,,,,,,,24,,,,,,
minoraverages/1950TSN,1949,Appalachian League,beane,B00718,Beane,Paul,0,New River,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,beane,F20206,Beane,,0,New River,,,,,,36,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,beard,B00210,Beard,Ralph,0,Bluefield,,,20,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,beard,F20222,Beard,,0,Bluefield,,,,,,16,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,beavers,B00840,Beavers,Harley,0,Johnson City,,,121,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,beavers,F21068,Beavers,,0,Johnson City,,,,,,,,,119,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,B00672,Belcik,Andy,1,Elizabethton,,,57,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,B00672,Belcik,Andy,2,Bristol,,,36,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,B00672,Belcik,Andy,T,,,,93,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,F20303,Belcik,,1,Elizabethton,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,F20303,Belcik,,2,Bristol,,,,,,yes,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,F20303,Belcik,,T,,,,,,,19,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,F20547,Belcik,,1,Elizabethton,,,,,,,yes,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,F20547,Belcik,,2,Bristol,,,,,,,yes,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,F20547,Belcik,,T,,,,,,,,48,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,belcik,M90094,Belcik,Andy,,Elizabethton,19490606,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bernier,B01595,Bernier,Joseph,0,Pulaski,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bernier,F21783,Bernier,,0,Pulaski,,,,,,,,,,,,,,21,
minoraverages/1950TSN,1949,Appalachian League,bernier,P10455,Bernier,,0,Pulaski,,,,21,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bertovich,B01733,Bertovich,Anthony,0,Welch,,,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bertovich,F21912,Bertovich,,0,Welch,,,,,,,,,,,,,,13,
minoraverages/1950TSN,1949,Appalachian League,bertovich,P10527,Bertovich,,0,Welch,,,,13,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bidwell,B01489,Bidwell,Alonzo,1,Johnson City,,,3,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bidwell,B01489,Bidwell,Alonzo,2,Elizabethton,,,18,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bidwell,B01489,Bidwell,Alonzo,T,,,,21,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bidwell,F21840,Bidwell,,1,Johnson City,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Appalachian League,bidwell,F21840,Bidwell,,2,Elizabethton,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Appalachian League,bidwell,F21840,Bidwell,,T,,,,,,,,,,,,,,,20,
minoraverages/1950TSN,1949,Appalachian League,bidwell,P10606,Bidwell,,1,Johnson City,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bidwell,P10606,Bidwell,,2,Elizabethton,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bidwell,P10606,Bidwell,,T,,,,,20,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bigby,B01711,Bigby,Thomas,0,Elizabethton,,,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bigby,F20375,Bigby,,0,Elizabethton,,,,,,17,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,boehm,B00752,Boehm,Lynwood,0,Bluefield,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,boehm,F21502,Boehm,,0,Bluefield,,,,,,,,,,,,,,22,
minoraverages/1950TSN,1949,Appalachian League,boehm,P10202,Boehm,,0,Bluefield,,,,22,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bowman,B01617,Bowman,Bob,0,Bluefield,,,23,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,bowman,F21475,Bowman,,0,Bluefield,,,,,,,,,,,,,,23,
minoraverages/1950TSN,1949,Appalachian League,bowman,P10184,Bowman,,0,Bluefield,,,,23,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,brown-blu,B01490,Brown,Robert,0,Bluefield,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,brown-jc,B01740,Brown,Buster,0,Johnson City,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,brown-blu,F21531,Brown,R.,0,Bluefield,,,,,,,,,,,,,,16,
minoraverages/1950TSN,1949,Appalachian League,brown-jc,F21771,Brown,B.,0,Johnson City,,,,,,,,,,,,,,27,
minoraverages/1950TSN,1949,Appalachian League,brown-blu,P10121,Brown,R.,0,Bluefield,,,,16,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,brown-jc,P10361,Brown,B.,0,Johnson City,,,,27,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,camerota,B00319,Camerota,Frank,0,Welch,,,123,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,camerota,F20449,Camerota,,0,Welch,,,,,,,55,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,camerota,F20981,Camerota,,0,Welch,,,,,,,,,68,,,,,,
minoraverages/1950TSN,1949,Appalachian League,carrier,B01523,Carrier,Ralph,0,Pulaski,,,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,carrier,F21488,Carrier,,0,Pulaski,,,,,,,,,,,,,,22,
minoraverages/1950TSN,1949,Appalachian League,carrier,P10429,Carrier,,0,Pulaski,,,,22,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,carter,B00794,Carter,Earl,0,Elizabethton,,,94,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,carter,F21381,Carter,,0,Elizabethton,,,,,,,,,,,,,84,,
minoraverages/1950TSN,1949,Appalachian League,caskey,B00021,Caskey,Forrest,0,Elizabethton,,,22,,,,,,,,,,,,
minoraverages/1950TSN,1949,Appalachian League,caskey,F21638,Caskey,,0,Elizabethton,,,,,,,,,,,,,,13,
