source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Carolina League,abernathy,B01630,Abernathy,Talmadge,1,Burlington,,,27,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abernathy,B01630,Abernathy,Talmadge,2,Greensboro,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abernathy,B01630,Abernathy,Talmadge,T,,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abernathy,F22012,Abernathy,,1,Burlington,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Carolina League,abernathy,F22012,Abernathy,,2,Greensboro,,,,,,,,,,,,,,yes,
minoraverages/1950TSN,1949,Carolina League,abernathy,F22012,Abernathy,,T,,,,,,,,,,,,,,,37,
minoraverages/1950TSN,1949,Carolina League,abernathy,P10277,Abernathy,,1,Burlington,,,,27,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abernathy,P10277,Abernathy,,2,Greensboro,,,,10,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abernathy,P10277,Abernathy,,T,,,,,37,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abramson,B01523,Abramson,David,0,Winston-Salem,,,43,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abramson,F20153,Abramson,,0,Winston-Salem,,,,,10,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,abramson,F21434,Abramson,,0,Winston-Salem,,,,,,,,,,,,,27,,
minoraverages/1950TSN,1949,Carolina League,adams,B01086,Adams,Melvin,0,Reidsville,,,37,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,adams,F21920,Adams,,0,Reidsville,,,,,,,,,,,,,,30,
minoraverages/1950TSN,1949,Carolina League,adams,P10534,Adams,,0,Reidsville,,,,30,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,allen,B01313,Allen,John M.,0,Martinsville,,,102,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,allen,F20458,Allen,,0,Martinsville,,,,,,,24,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,allen,F20620,Allen,,0,Martinsville,,,,,,,,78,,,,,,,
minoraverages/1950TSN,1949,Carolina League,allswede,B01359,Allswede,Keith,0,Durham,,,30,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,allswede,F20298,Allswede,,0,Durham,,,,,,17,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,ammons,B00037,Ammons,Wallace,0,Martinsville,,,14,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,ammons,F22134,Ammons,,0,Martinsville,,,,,,,,,,,,,,10,
minoraverages/1950TSN,1949,Carolina League,angell,F21672,Angell,,0,Danville,,,,,,,,,,,,,,37,
minoraverages/1950TSN,1949,Carolina League,angell,P10137,Angell,,0,Danville,,,,37,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,angell,B01007,Angell (Angelo),Peter,0,Danville,,,54,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,arduini,B00101,Arduini,Salvatore,0,Durham,,,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,armbruster,B01288,Armbruster,Eugene,0,Martinsville,,,26,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,armbruster,F21101,Armbruster,,0,Martinsville,,,,,,,,,26,,,,,,
minoraverages/1950TSN,1949,Carolina League,arroyo,B01119,Arroyo,Luis,0,Greensboro,,,48,,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,arroyo,F22127,Arroyo,,0,Greensboro,,,,,,,,,,,,,,46,
minoraverages/1950TSN,1949,Carolina League,arroyo,P10192,Arroyo,,0,Greensboro,,,,46,,,,,,,,,,,
minoraverages/1950TSN,1949,Carolina League,ashworth,B00381,Ashworth,Harry,0,Danville,,,131,,,,,,,,,,,,
