source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Central League,anderson,B00590,Anderson,Richard,0,Grand Rapids,,,33,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,anderson,F20956,Anderson,,0,Grand Rapids,,,,,,,,,,,,,16,,
minoraverages/1950TSN,1949,Central League,ankoviak,B00403,Ankoviak,William,0,Dayton,,,138,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,ankoviak,F20023,Ankoviak,,0,Dayton,,,,,15,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,ankoviak,F20768,Ankoviak,,0,Dayton,,,,,,,,,127,,,,,,
researchers/mcconnell,1949,Central League,,RMKCTYX,Ankoviak,William,,Dayton,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,ankrum,B00502,Ankrum,Robert,0,Dayton,,,132,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,ankrum,F20131,Ankrum,,0,Dayton,,,,,,132,,,,,,,,,
minoraverages/1950TSN,1949,Central League,babcock,B00130,Babcock,James,0,Grand Rapids,,,62,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,babcock,F20240,Babcock,,0,Grand Rapids,,,,,,,60,,,,,,,,
minoraverages/1950TSN,1949,Central League,beesley,B01119,Beesley,Earl,0,Muskegon,,,43,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,beesley,F21117,Beesley,,0,Muskegon,,,,,,,,,,,,,,41,
minoraverages/1950TSN,1949,Central League,beesley,P10289,Beesley,,0,Muskegon,,,,41,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,beggs,M90047,Beggs,Joseph,,Charleston,,,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,bell,B00747,Bell,Norman,0,Charleston,,,33,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,bell,F21324,Bell,,0,Charleston,,,,,,,,,,,,,,33,
minoraverages/1950TSN,1949,Central League,bell,P10043,Bell,,0,Charleston,,,,33,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,bernhardt,B00450,Bernhardt,William,0,Charleston,,,118,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,bernhardt,F20144,Bernhardt,,0,Charleston,,,,,,61,,,,,,,,,
minoraverages/1950TSN,1949,Central League,bernhardt,F20776,Bernhardt,,0,Charleston,,,,,,,,,60,,,,,,
minoraverages/1950TSN,1949,Central League,beverly,B01093,Beverly,W. Howard,0,Charleston,,,16,,,,,,,,,,,,
minoraverages/1950TSN,1949,Central League,beverly,F21286,Beverly,,0,Charleston,,,,,,,,,,,,,,16,
