source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1950TSN,1949,Coastal Plain League,alexander-rm,B00771,Alexander,Raymond,0,Rocky Mount,,,13,,
minoraverages/1950TSN,1949,Coastal Plain League,alexander-roa,B01905,Alexander,Richard,0,Roanoke Rapids,,,12,,
minoraverages/1950TSN,1949,Coastal Plain League,allsbrook,B01861,Allsbrook,Robert,0,Rocky Mount,,,11,,
minoraverages/1950TSN,1949,Coastal Plain League,allsbrook,F20807,Allsbrook,,0,Rocky Mount,,,,,ss11
minoraverages/1950TSN,1949,Coastal Plain League,alusik,B00948,Alusik,Joseph,0,Goldsboro,,,33,,
minoraverages/1950TSN,1949,Coastal Plain League,alusik,F21904,Alusik,,0,Goldsboro,,,,,p26
minoraverages/1950TSN,1949,Coastal Plain League,alusik,P10486,Alusik,,0,Goldsboro,,,,26,
minoraverages/1950TSN,1949,Coastal Plain League,amoroso,B00985,Amoroso,Leonard,0,Roanoke Rapids,,,12,,
minoraverages/1950TSN,1949,Coastal Plain League,amoroso,F22355,Amoroso,,0,Roanoke Rapids,,,,,p12
minoraverages/1950TSN,1949,Coastal Plain League,amoroso,P10202,Amoroso,,0,Roanoke Rapids,,,,12,
minoraverages/1950TSN,1949,Coastal Plain League,anthony,B00577,Anthony,Joseph,0,New Bern,,,105,,
minoraverages/1950TSN,1949,Coastal Plain League,anthony,F21553,Anthony,,0,New Bern,,,,,c95
minoraverages/1950TSN,1949,Coastal Plain League,antolick,B00343,Antolick,Joseph,0,Tarboro,,,103,,
minoraverages/1950TSN,1949,Coastal Plain League,antolick,F21528,Antolick,,0,Tarboro,,,,,c79
minoraverages/1950TSN,1949,Coastal Plain League,antolick,M90083,Antolick,Joseph,,Tarboro,,,,,
minoraverages/1950TSN,1949,Coastal Plain League,aycock,B01124,Aycock,Gordon B.,0,Wilson,,,84,,
minoraverages/1950TSN,1949,Coastal Plain League,aycock,F21680,Aycock,,0,Wilson,,,,,c72
minoraverages/1950TSN,1949,Coastal Plain League,backo,B00590,Backo,John,0,Kinston,,,33,,
minoraverages/1950TSN,1949,Coastal Plain League,backo,F21609,Backo,,0,Kinston,,,,,c25
minoraverages/1950TSN,1949,Coastal Plain League,baktis,B00806,Baktis,Simon,0,Goldsboro,,,84,,
minoraverages/1950TSN,1949,Coastal Plain League,baktis,F21614,Baktis,,0,Goldsboro,,,,,c83
minoraverages/1950TSN,1949,Coastal Plain League,bandini,B00544,Bandini,Philip,1,Goldsboro,,,8,,
minoraverages/1950TSN,1949,Coastal Plain League,bandini,B00544,Bandini,Philip,2,Kinston,,,6,,
minoraverages/1950TSN,1949,Coastal Plain League,bandini,B00544,Bandini,Philip,T,,,,14,,
minoraverages/1950TSN,1949,Coastal Plain League,bandini,F21416,Bandini,,1,Goldsboro,,,,,of
minoraverages/1950TSN,1949,Coastal Plain League,bandini,F21416,Bandini,,2,Kinston,,,,,of
minoraverages/1950TSN,1949,Coastal Plain League,bandini,F21416,Bandini,,T,,,,,,of12
minoraverages/1950TSN,1949,Coastal Plain League,barnes,B01994,Barnes,Clifton,0,Wilson,,,34,,
minoraverages/1950TSN,1949,Coastal Plain League,barnes,F22223,Barnes,,0,Wilson,,,,,p34
minoraverages/1950TSN,1949,Coastal Plain League,barnes,P10455,Barnes,,0,Wilson,,,,34,
minoraverages/1950TSN,1949,Coastal Plain League,bass,B00811,Bass,Warriner,0,Roanoke Rapids,,,68,,
minoraverages/1950TSN,1949,Coastal Plain League,bass,F21264,Bass,,0,Roanoke Rapids,,,,,of64
minoraverages/1950TSN,1949,Coastal Plain League,bauder,B01682,Bauder,Raymond,0,Tarboro,,,33,,
minoraverages/1950TSN,1949,Coastal Plain League,bauder,F20046,Bauder,,0,Tarboro,,,,,1b68
minoraverages/1950TSN,1949,Coastal Plain League,beaird,B00475,Beaird,Richard,0,Roanoke Rapids,,,75,,
minoraverages/1950TSN,1949,Coastal Plain League,beaird,F21255,Beaird,,0,Roanoke Rapids,,,,,of75
minoraverages/1950TSN,1949,Coastal Plain League,benton,B01444,Benton,Horace,0,Rocky Mount,,,32,,
minoraverages/1950TSN,1949,Coastal Plain League,benton,F21936,Benton,,0,Rocky Mount,,,,,p23
minoraverages/1950TSN,1949,Coastal Plain League,benton,M90026,Benton,Horace,,Rocky Mount,19490626,,,,
minoraverages/1950TSN,1949,Coastal Plain League,benton,P10373,Benton,,0,Rocky Mount,,,,23,
minoraverages/1950TSN,1949,Coastal Plain League,bergstrom,B00760,Bergstrom,Robert,0,Roanoke Rapids,,,29,,
minoraverages/1950TSN,1949,Coastal Plain League,bergstrom,F22267,Bergstrom,,0,Roanoke Rapids,,,,,p29
minoraverages/1950TSN,1949,Coastal Plain League,bergstrom,P10493,Bergstrom,,0,Roanoke Rapids,,,,29,
minoraverages/1950TSN,1949,Coastal Plain League,bernardini,B01798,Bernardini,Ralph,1,Rocky Mount,,,22,,
minoraverages/1950TSN,1949,Coastal Plain League,bernardini,B01798,Bernardini,Ralph,2,Wilson,,,12,,
minoraverages/1950TSN,1949,Coastal Plain League,bernardini,B01798,Bernardini,Ralph,T,,,,34,,
minoraverages/1950TSN,1949,Coastal Plain League,bernardini,F21566,Bernardini,,1,Rocky Mount,,,,,c
minoraverages/1950TSN,1949,Coastal Plain League,bernardini,F21566,Bernardini,,2,Wilson,,,,,c
minoraverages/1950TSN,1949,Coastal Plain League,bernardini,F21566,Bernardini,,T,,,,,,c32
minoraverages/1950TSN,1949,Coastal Plain League,bevill,F20685,Bevil,,0,New Bern,,,,,ss126
minoraverages/1950TSN,1949,Coastal Plain League,bevill,B00356,Bevill,Jas. Wm.,0,New Bern,,,126,,
minoraverages/1950TSN,1949,Coastal Plain League,birchenough,B01983,Birchenough,James,0,Tarboro,,,22,,
minoraverages/1950TSN,1949,Coastal Plain League,birchenough,F22272,Birchenough,,0,Tarboro,,,,,p22
minoraverages/1950TSN,1949,Coastal Plain League,birchenough,P10385,Birchenough,,0,Tarboro,,,,22,
minoraverages/1950TSN,1949,Coastal Plain League,blackwell,B00646,Blackwell,Merle,0,Goldsboro,,,52,,
minoraverages/1950TSN,1949,Coastal Plain League,blackwell,F20943,Blackwell,,0,Goldsboro,,,,,of48
minoraverages/1950TSN,1949,Coastal Plain League,block,B01384,Block,Irving,0,Roanoke Rapids,,,19,,
minoraverages/1950TSN,1949,Coastal Plain League,block,F20369,Block,,0,Roanoke Rapids,,,,,2b17
minoraverages/1950TSN,1949,Coastal Plain League,boehmer,B01453,Boehmer,Joseph,0,Kinston,,,58,,
minoraverages/1950TSN,1949,Coastal Plain League,boehmer,F21623,Boehmer,,0,Kinston,,,,,c44
minoraverages/1950TSN,1949,Coastal Plain League,bolick,B00130,Bolick,Milton,0,Roanoke Rapids,,,135,,
minoraverages/1950TSN,1949,Coastal Plain League,bolick,F20254,Bolick,,0,Roanoke Rapids,,,,,2b106
minoraverages/1950TSN,1949,Coastal Plain League,bolick,F20425,Bolick,,0,Roanoke Rapids,,,,,3b29
minoraverages/1950TSN,1949,Coastal Plain League,bond,B01466,Bond,Jack,0,Roanoke Rapids,,,68,,
minoraverages/1950TSN,1949,Coastal Plain League,bond,F21241,Bond,,0,Roanoke Rapids,,,,,of60
minoraverages/1950TSN,1949,Coastal Plain League,broughman,B02056,Broughman,Robert,0,Tarboro,,,35,,
