source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1950TSN,1949,Eastern Shore League,argeros,B00491,Aegeros,James,0,Salisbury,,,24,,
minoraverages/1950TSN,1949,Eastern Shore League,allison,B01108,Allison,Robert,0,Easton,,,27,,
minoraverages/1950TSN,1949,Eastern Shore League,allison,F21117,Allison,,0,Easton,,,,,p24
minoraverages/1950TSN,1949,Eastern Shore League,allison,P10290,Allison,,0,Easton,,,,24,
minoraverages/1950TSN,1949,Eastern Shore League,anderson,B00174,Anderson,Andrew,0,Easton,,,107,,
minoraverages/1950TSN,1949,Eastern Shore League,anderson,F20935,Anderson,,0,Easton,,,,,c101
minoraverages/1950TSN,1949,Eastern Shore League,andre,B00912,Andre,John,0,Rehoboth Beach,,,35,,
minoraverages/1950TSN,1949,Eastern Shore League,andre,F21264,Andre,,0,Rehoboth Beach,,,,,p29
minoraverages/1950TSN,1949,Eastern Shore League,andre,P10137,Andre,,0,Rehoboth Beach,,,,29,
minoraverages/1950TSN,1949,Eastern Shore League,andrejko,B00739,Andrejko,Edward,0,Seaford,,,37,,
minoraverages/1950TSN,1949,Eastern Shore League,andrejko,F20886,Andrejko,,0,Seaford,,,,,of23
minoraverages/1950TSN,1949,Eastern Shore League,argeros,F21045,Argeros,,0,Salisbury,,,,,c24
minoraverages/1950TSN,1949,Eastern Shore League,arrildt,B00898,Arrildt,William,0,Cambridge,,,25,,
minoraverages/1950TSN,1949,Eastern Shore League,arrildt,F21502,Arrildt,,0,Cambridge,,,,,p23
minoraverages/1950TSN,1949,Eastern Shore League,arrildt,P10145,Arrildt,,0,Cambridge,,,,23,
minoraverages/1950TSN,1949,Eastern Shore League,backo,B00264,Backo,John,0,Easton,,,12,,
minoraverages/1950TSN,1949,Eastern Shore League,baker,B01181,Baker,Leonard,0,Federalsburg,,,42,,
minoraverages/1950TSN,1949,Eastern Shore League,baker,F21356,Baker,,0,Federalsburg,,,,,p42
minoraverages/1950TSN,1949,Eastern Shore League,baker,P10035,Baker,,0,Federalsburg,,,,41,
minoraverages/1950TSN,1949,Eastern Shore League,barney,B00760,Barney,Lester,0,Cambridge,,,24,,
minoraverages/1950TSN,1949,Eastern Shore League,barney,F21076,Barney,,0,Cambridge,,,,,c20
minoraverages/1950TSN,1949,Eastern Shore League,benedict,B01291,Benedict,Hoyt,0,Salisbury,,,17,,
minoraverages/1950TSN,1949,Eastern Shore League,benedict,F21397,Benedict,,0,Salisbury,,,,,p17
minoraverages/1950TSN,1949,Eastern Shore League,benedict,P10070,Benedict,,0,Salisbury,,,,17,
minoraverages/1950TSN,1949,Eastern Shore League,bennett,B01216,Bennett,Jack,0,Cambridge,,,10,,
minoraverages/1950TSN,1949,Eastern Shore League,berger,B00356,Berger,Ronald,0,Salisbury,,,106,,
minoraverages/1950TSN,1949,Eastern Shore League,berger,F20700,Berger,,0,Salisbury,,,,,of106
minoraverages/1950TSN,1949,Eastern Shore League,bertocci,B00566,Bertocci,Dominic,0,Cambridge,,,89,,
minoraverages/1950TSN,1949,Eastern Shore League,bertocci,F20648,Bertocci,,0,Cambridge,,,,,of89
minoraverages/1950TSN,1949,Eastern Shore League,betcher,B00614,Betcher,Ralph,0,Rehoboth Beach,,,119,,
minoraverages/1950TSN,1949,Eastern Shore League,betcher,F20391,Betcher,,0,Rehoboth Beach,,,,,3b119
minoraverages/1950TSN,1949,Eastern Shore League,bradford,B01288,Bradford,Ray,0,Federalsburg,,,29,,
minoraverages/1950TSN,1949,Eastern Shore League,bradford,F21293,Bradford,,0,Federalsburg,,,,,p28
minoraverages/1950TSN,1949,Eastern Shore League,bradford,P10168,Bradford,,0,Federalsburg,,,,28,
minoraverages/1950TSN,1949,Eastern Shore League,bragg,B00021,Bragg,Gordon,0,Easton,,,94,,
minoraverages/1950TSN,1949,Eastern Shore League,bragg,F20612,Bragg,,0,Easton,,,,,of94
minoraverages/1950TSN,1949,Eastern Shore League,brzezowski,B00450,Brezezowski,Anthony,0,Cambridge,,,12,,
minoraverages/1950TSN,1949,Eastern Shore League,brown,P10277,Brown,,0,Salisbury,,,,9,
minoraverages/1950TSN,1949,Eastern Shore League,browning,B00705,Browning,Gene,0,Federalsburg,,,74,,
minoraverages/1950TSN,1949,Eastern Shore League,browning,F21021,Browning,,0,Federalsburg,,,,,c71
minoraverages/1950TSN,1949,Eastern Shore League,brzezowski,F21434,Brzezowski,,0,Cambridge,,,,,p12
minoraverages/1950TSN,1949,Eastern Shore League,brzezowski,P10266,Brzezowski,,0,Cambridge,,,,12,
minoraverages/1950TSN,1949,Eastern Shore League,bucco,B01431,Bucco,Richard,0,Seaford,,,11,,
minoraverages/1950TSN,1949,Eastern Shore League,bucco,F20745,Bucco,,0,Seaford,,,,,of10
