source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1950TSN,1949,Georgia State League,acree,B00232,Acree,John T.,0,Sparta,,,15,,
minoraverages/1950TSN,1949,Georgia State League,acree,F21149,Acree,,0,Sparta,,,,,of15
minoraverages/1950TSN,1949,Georgia State League,alrick,B00101,Alrick,Edward,1,Vidalia-Lyons,,,,,
minoraverages/1950TSN,1949,Georgia State League,alrick,B00101,Alrick,Edward,2,Sparta,,,,,
minoraverages/1950TSN,1949,Georgia State League,alrick,B00101,Alrick,Edward,T,,,,13,,
minoraverages/1950TSN,1949,Georgia State League,alrick,P10622,Alrick,,1,Vidalia-Lyons,,,,,
minoraverages/1950TSN,1949,Georgia State League,alrick,P10622,Alrick,,2,Sparta,,,,,
minoraverages/1950TSN,1949,Georgia State League,alrick,P10622,Alrick,,T,,,,,13,
minoraverages/1950TSN,1949,Georgia State League,alvares,B00973,Alvares,Romon L.,0,Fitzgerald,,,38,,
minoraverages/1950TSN,1949,Georgia State League,alvares,F20072,Alvares,,0,Fitzgerald,,,,,1b39
minoraverages/1950TSN,1949,Georgia State League,anderson-tif,B01595,Anderson,William,0,Tifton,,,11,,
minoraverages/1950TSN,1949,Georgia State League,anderson-fit,B01733,Anderson,Walter,0,Fitzgerald,,,13,,
minoraverages/1950TSN,1949,Georgia State League,anderson-tif,F21403,Anderson,,0,Tifton,,,,,p11
minoraverages/1950TSN,1949,Georgia State League,anderson-fit,F21806,Anderson,,0,Fitzgerald,,,,,p13
minoraverages/1950TSN,1949,Georgia State League,anderson-tif,P10253,Anderson,Wm.,0,Tifton,,,,11,
minoraverages/1950TSN,1949,Georgia State League,anderson-fit,P10336,Anderson,Walter,1,Fitzgerald,,,,,
minoraverages/1950TSN,1949,Georgia State League,anderson-fit,P10336,Anderson,Walter,2,Sparta,,,,,
minoraverages/1950TSN,1949,Georgia State League,anderson-fit,P10336,Anderson,Walter,T,,,,,11,
minoraverages/1950TSN,1949,Georgia State League,baker-dou,B00695,Baker,Roy E.,0,Douglas,,,75,,
minoraverages/1950TSN,1949,Georgia State League,baker-dou,F20604,Baker,,0,Douglas,,,,,3b75
minoraverages/1950TSN,1949,Georgia State League,baker-hb,M90132,Baker,Ray,,Hazlehurst-Baxley,19490709,,,,
minoraverages/1950TSN,1949,Georgia State League,banas,B00948,Banas,George A.,0,Hazlehurst-Baxley,,,68,,
minoraverages/1950TSN,1949,Georgia State League,banas,F20970,Banas,,0,Hazlehurst-Baxley,,,,,of68
minoraverages/1950TSN,1949,Georgia State League,bandini,B00037,Bandini,Philip,0,Hazlehurst-Baxley,,,11,,
minoraverages/1950TSN,1949,Georgia State League,bandini,F20792,Bandini,,0,Hazlehurst-Baxley,,,,,of11
minoraverages/1950TSN,1949,Georgia State League,barnes,B00362,Barnes,William W.,0,Tifton,,,147,,
minoraverages/1950TSN,1949,Georgia State League,barnes,F20144,Barnes,,0,Tifton,,,,,2b147
minoraverages/1950TSN,1949,Georgia State League,bassginani,F20102,Basignani,,0,Hazlehurst-Baxley,,,,,1b88
minoraverages/1950TSN,1949,Georgia State League,baskin,B01804,Baskin,P. Allen,0,Tifton,,,15,,
