source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1950TSN,1949,Middle Atlantic League,allen,B01804,Allen,William,0,New Castle,,,10,,
minoraverages/1950TSN,1949,Middle Atlantic League,anderson,B01947,Anderson,Clarence,0,Johnstown,,,19,,
minoraverages/1950TSN,1949,Middle Atlantic League,anderson,F21566,Anderson,,0,Johnstown,,,,,p19
minoraverages/1950TSN,1949,Middle Atlantic League,anderson,P10159,Anderson,,0,Johnstown,,,,19,
minoraverages/1950TSN,1949,Middle Atlantic League,arduini,B00149,Arduini,Salvatore,0,Butler,,,17,,
minoraverages/1950TSN,1949,Middle Atlantic League,arduini,F20417,Arduini,,0,Butler,,,,,3b17
minoraverages/1950TSN,1949,Middle Atlantic League,asbill,B01156,Asbill,Joseph,0,Erie,,,23,,
minoraverages/1950TSN,1949,Middle Atlantic League,asbill,F21920,Asbill,,0,Erie,,,,,p22
minoraverages/1950TSN,1949,Middle Atlantic League,asbill,P10192,Asbill,,0,Erie,,,,22,
minoraverages/1950TSN,1949,Middle Atlantic League,ballestrini,B00416,Ballestrini,Richard,0,Johnstown,,,77,,
minoraverages/1950TSN,1949,Middle Atlantic League,ballestrini,F21370,Ballestrini,,0,Johnstown,,,,,c69
minoraverages/1950TSN,1949,Middle Atlantic League,barrow,B01926,Barrow,Raymond,0,Butler,,,11,,
minoraverages/1950TSN,1949,Middle Atlantic League,barrow,F21577,Barrow,,0,Butler,,,,,p11
minoraverages/1950TSN,1949,Middle Atlantic League,battles,B01674,Battles,Kenneth,0,Oil City,,,16,,
minoraverages/1950TSN,1949,Middle Atlantic League,battles,F21904,Battles,,0,Oil City,,,,,p16
minoraverages/1950TSN,1949,Middle Atlantic League,battles,P10527,Battles,,0,Oil City,,,,16,
minoraverages/1950TSN,1949,Middle Atlantic League,beacham,B00469,Beacham,Walter,0,Vandergrift,,,56,,
minoraverages/1950TSN,1949,Middle Atlantic League,beacham,F21021,Beacham,,0,Vandergrift,,,,,of22
minoraverages/1950TSN,1949,Middle Atlantic League,beacham,F21912,Beacham,,0,Vandergrift,,,,,p29
minoraverages/1950TSN,1949,Middle Atlantic League,beacham,P10266,Beacham,,0,Vandergrift,,,,29,
minoraverages/1950TSN,1949,Middle Atlantic League,beck,M90060,Beck,Walter,,Butler,19490526,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,bedford,B01032,Bedford,Ralph,0,Uniontown,,,63,,
minoraverages/1950TSN,1949,Middle Atlantic League,bedford,F21450,Bedford,,0,Uniontown,,,,,c45
minoraverages/1950TSN,1949,Middle Atlantic League,beran,B00957,Beran,Joseph,0,Johnstown,,,140,,
minoraverages/1950TSN,1949,Middle Atlantic League,beran,F21068,Beran,,0,Johnstown,,,,,of140
minoraverages/1950TSN,1949,Middle Atlantic League,berns,B00343,Berns,Raymond,0,Erie,,,132,,
minoraverages/1950TSN,1949,Middle Atlantic League,berns,F20841,Berns,,0,Erie,,,,,of132
minoraverages/1950TSN,1949,Middle Atlantic League,bertovich,B01696,Bertovich,Anthony,0,Youngstown,,,17,,
minoraverages/1950TSN,1949,Middle Atlantic League,bertovich,F22036,Bertovich,,0,Youngstown,,,,,p17
minoraverages/1950TSN,1949,Middle Atlantic League,bertovich,P10432,Bertovich,,0,Youngstown,,,,17,
minoraverages/1950TSN,1949,Middle Atlantic League,betz,B00084,Betz,Robert,0,Youngstown,,,133,,
minoraverages/1950TSN,1949,Middle Atlantic League,betz,F20128,Betz,,0,Youngstown,,,,,1b19
minoraverages/1950TSN,1949,Middle Atlantic League,betz,F20956,Betz,,0,Youngstown,,,,,of109
minoraverages/1950TSN,1949,Middle Atlantic League,bilo,B00614,Bilo,Eugene,0,New Castle,,,95,,
minoraverages/1950TSN,1949,Middle Atlantic League,bilo,F21000,Bilo,,0,New Castle,,,,,of92
minoraverages/1950TSN,1949,Middle Atlantic League,blair,B01885,Blair,Robert,0,Youngstown,,,10,,
minoraverages/1950TSN,1949,Middle Atlantic League,blair,F21638,Blair,,0,Youngstown,,,,,p10
minoraverages/1950TSN,1949,Middle Atlantic League,blandino,B00068,Blandino,Leo,0,Johnstown,,,48,,
minoraverages/1950TSN,1949,Middle Atlantic League,blandino,F20298,Blandino,,0,Johnstown,,,,,3b42
minoraverages/1950TSN,1949,Middle Atlantic League,blauman,B01939,Blauman,Richard,0,Youngstown,,,26,,
minoraverages/1950TSN,1949,Middle Atlantic League,blauman,F21833,Blauman,,0,Youngstown,,,,,p27
minoraverages/1950TSN,1949,Middle Atlantic League,blauman,P10373,Blauman,,0,Youngstown,,,,27,
minoraverages/1950TSN,1949,Middle Atlantic League,block,B01873,Block,Rollin,0,Oil City,,,24,,
minoraverages/1950TSN,1949,Middle Atlantic League,block,F21747,Block,,0,Oil City,,,,,p24
minoraverages/1950TSN,1949,Middle Atlantic League,block,P10121,Block,,0,Oil City,,,,24,
minoraverages/1950TSN,1949,Middle Atlantic League,boseo,B00718,Boseo,Fred,0,Oil City,,,104,,
minoraverages/1950TSN,1949,Middle Atlantic League,boseo,F20552,Boseo,,0,Oil City,,,,,ss104
minoraverages/1950TSN,1949,Middle Atlantic League,botman,B01918,Botman,George,0,Uniontown,,,14,,
minoraverages/1950TSN,1949,Middle Atlantic League,botman,F21948,Botman,,0,Uniontown,,,,,p14
minoraverages/1950TSN,1949,Middle Atlantic League,botman,P10231,Botman,,0,Uniontown,,,,14,
minoraverages/1950TSN,1949,Middle Atlantic League,brophy,B00739,Brophy,James,0,Johnstown,,,104,,
minoraverages/1950TSN,1949,Middle Atlantic League,brophy,F20878,Brophy,,0,Johnstown,,,,,of104
minoraverages/1950TSN,1949,Middle Atlantic League,bucchioni,B01337,Bucchioni,Felix,0,New Castle,,,44,,
minoraverages/1950TSN,1949,Middle Atlantic League,bucchioni,F21771,Bucchioni,,0,New Castle,,,,,p30
minoraverages/1950TSN,1949,Middle Atlantic League,bucchioni,P10441,Bucchioni,,0,New Castle,,,,30,
minoraverages/1950TSN,1949,Middle Atlantic League,buranskas,B00362,Buranskas,Victor,0,Butler,,,138,,
minoraverages/1950TSN,1949,Middle Atlantic League,buranskas,F20051,Buranskas,,0,Butler,,,,,1b138
minoraverages/1950TSN,1949,Middle Atlantic League,burns,B00037,Burns,John,0,Uniontown,,,51,,
minoraverages/1950TSN,1949,Middle Atlantic League,burns,F21037,Burns,,0,Uniontown,,,,,of50
minoraverages/1950TSN,1949,Middle Atlantic League,cabanaw,B00397,Cabanaw,Roy,0,Butler,,,98,,
minoraverages/1950TSN,1949,Middle Atlantic League,cabanaw,F20211,Cabanaw,,0,Butler,,,,,2b98
minoraverages/1950TSN,1949,Middle Atlantic League,cable,B00973,Cable,Jack,0,Uniontown,,,95,,
minoraverages/1950TSN,1949,Middle Atlantic League,cable,F20222,Cable,,0,Uniontown,,,,,2b44
minoraverages/1950TSN,1949,Middle Atlantic League,cable,F20612,Cable,,0,Uniontown,,,,,ss51
minoraverages/1950TSN,1949,Middle Atlantic League,cannon,B01538,Cannon,William,0,Oil City,,,54,,
minoraverages/1950TSN,1949,Middle Atlantic League,cannon,F21898,Cannon,,0,Oil City,,,,,p47
minoraverages/1950TSN,1949,Middle Atlantic League,cannon,P10304,Cannon,,0,Oil City,,,,47,
minoraverages/1950TSN,1949,Middle Atlantic League,carey,B01466,Carey,Elwood,0,Youngstown,,,15,,
minoraverages/1950TSN,1949,Middle Atlantic League,carey,F22103,Carey,,0,Youngstown,,,,,p12
minoraverages/1950TSN,1949,Middle Atlantic League,carey,P10035,Carey,,0,Youngstown,,,,12,
minoraverages/1950TSN,1949,Middle Atlantic League,carlson,B00752,Carlson,Irving,0,Butler,,,136,,
minoraverages/1950TSN,1949,Middle Atlantic League,carlson,F20620,Carlson,,0,Butler,,,,,ss136
minoraverages/1950TSN,1949,Middle Atlantic League,cholewa,B01580,Cholewa,Louis,0,New Castle,,,21,,
minoraverages/1950TSN,1949,Middle Atlantic League,cholewa,F20943,Cholewa,,0,New Castle,,,,,of21
minoraverages/1950TSN,1949,Middle Atlantic League,churchill.r,B00117,Churchill,Robert,0,New Castle,,,12,,
minoraverages/1950TSN,1949,Middle Atlantic League,churchill.h,B00833,Churchill,Herbert,0,New Castle,,,44,,
minoraverages/1950TSN,1949,Middle Atlantic League,churchill.r,F21255,Churchill,R.,0,New Castle,,,,,of11
minoraverages/1950TSN,1949,Middle Atlantic League,churchill.h,F21973,Churchill,H.,0,New Castle,,,,,p44
minoraverages/1950TSN,1949,Middle Atlantic League,churchill.h,P10455,Churchill,H.,0,New Castle,,,,44,
minoraverages/1950TSN,1949,Middle Atlantic League,churn,B01291,Churn,Clarence,0,Uniontown,,,41,,
minoraverages/1950TSN,1949,Middle Atlantic League,churn,F21806,Churn,,0,Uniontown,,,,,p33
minoraverages/1950TSN,1949,Middle Atlantic League,churn,P10534,Churn,,0,Uniontown,,,,33,
minoraverages/1950TSN,1949,Middle Atlantic League,ciske,B01658,Ciske,William,0,Erie,,,26,,
minoraverages/1950TSN,1949,Middle Atlantic League,ciske,F22012,Ciske,,0,Erie,,,,,p25
minoraverages/1950TSN,1949,Middle Atlantic League,ciske,P10137,Ciske,,0,Erie,,,,25,
minoraverages/1950TSN,1949,Middle Atlantic League,clark,B01288,Clark,Uell,0,Youngstown,,,39,,
minoraverages/1950TSN,1949,Middle Atlantic League,clark,F20810,Clark,,0,Youngstown,,,,,of32
minoraverages/1950TSN,1949,Middle Atlantic League,coles,B00760,Coles,Ray,0,Erie,,,127,,
minoraverages/1950TSN,1949,Middle Atlantic League,coles,F20144,Coles,,0,Erie,,,,,2b125
minoraverages/1950TSN,1949,Middle Atlantic League,collias,B00999,Collias,Harry,0,Johnstown,,,79,,
minoraverages/1950TSN,1949,Middle Atlantic League,collias,F21469,Collins,,0,Johnstown,,,,,c71
minoraverages/1950TSN,1949,Middle Atlantic League,conlee,B01857,Conlee,Leon,0,Oil City,,,20,,
minoraverages/1950TSN,1949,Middle Atlantic League,conlee,F22188,Conlee,,0,Oil City,,,,,p20
minoraverages/1950TSN,1949,Middle Atlantic League,conlee,P10550,Conlee,,0,Oil City,,,,20,
minoraverages/1950TSN,1949,Middle Atlantic League,cook,B01514,Cook,Robert,0,New Castle,,,33,,
minoraverages/1950TSN,1949,Middle Atlantic League,cook,F21528,Cook,,0,New Castle,,,,,p26
minoraverages/1950TSN,1949,Middle Atlantic League,cook,P10606,Cook,,0,New Castle,,,,26,
minoraverages/1950TSN,1949,Middle Atlantic League,coorlas,B00278,Coorlas,Peter,0,Oil City,,,25,,
minoraverages/1950TSN,1949,Middle Atlantic League,coorlas,F20505,Coorlas,,0,Oil City,,,,,3b25
minoraverages/1950TSN,1949,Middle Atlantic League,corbett,B00264,Corbett,Tyrus,0,New Castle,,,37,,
minoraverages/1950TSN,1949,Middle Atlantic League,corbett,F21553,Corbett,,0,New Castle,,,,,p11
minoraverages/1950TSN,1949,Middle Atlantic League,corbett,P10336,Corbett,,0,New Castle,,,,11,
minoraverages/1950TSN,1949,Middle Atlantic League,cruze,B00577,Cruze,Robert,0,Butler,,,11,,
minoraverages/1950TSN,1949,Middle Atlantic League,cruze,F22099,Cruze,,0,Butler,,,,,p10
minoraverages/1950TSN,1949,Middle Atlantic League,cruze,P10070,Cruze,,0,Butler,,,,10,
minoraverages/1950TSN,1949,Middle Atlantic League,davidson,B01078,Davidson,Max,0,Erie,,,34,,
minoraverages/1950TSN,1949,Middle Atlantic League,davidson,F21207,Davidson,,0,Erie,,,,,of34
minoraverages/1950TSN,1949,Middle Atlantic League,decruydt,B01630,De Cruydt,Amede,0,Butler,,,29,,
minoraverages/1950TSN,1949,Middle Atlantic League,decruydt,F21680,De Cruydt,,0,Butler,,,,,p29
minoraverages/1950TSN,1949,Middle Atlantic League,decruydt,P10097,De Cruydt,,0,Butler,,,,29,
minoraverages/1950TSN,1949,Middle Atlantic League,dieters,F21609,Deiters,,0,Uniontown,,,,,p36
minoraverages/1950TSN,1949,Middle Atlantic League,denning,B00013,Denning,Otto,0,Oil City,,,77,,
minoraverages/1950TSN,1949,Middle Atlantic League,denning,F20046,Denning,,0,Oil City,,,,,1b18
minoraverages/1950TSN,1949,Middle Atlantic League,denning,F21293,Denning,,0,Oil City,,,,,c31
minoraverages/1950TSN,1949,Middle Atlantic League,denning,M90039,Denning,Otto,,Oil City,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,dever,B01227,Dever,Daniel,0,Johnstown,,,11,,
minoraverages/1950TSN,1949,Middle Atlantic League,dever,F21491,Dever,,0,Johnstown,,,,,c10
minoraverages/1950TSN,1949,Middle Atlantic League,dickman,B01649,Dickman,Charles,0,New Castle,,,13,,
minoraverages/1950TSN,1949,Middle Atlantic League,dickman,F21264,Dickman,,0,New Castle,,,,,c10
minoraverages/1950TSN,1949,Middle Atlantic League,diedrick,B00531,Diedrick,Robert,0,Oil City,,,44,,
minoraverages/1950TSN,1949,Middle Atlantic League,diedrick,F20102,Diedrick,,0,Oil City,,,,,1b32
minoraverages/1950TSN,1949,Middle Atlantic League,dieter,B01848,Dieter,Daniel,0,Butler,,,11,,
minoraverages/1950TSN,1949,Middle Atlantic League,dieter,F22223,Dieter,,0,Butler,,,,,p11
minoraverages/1950TSN,1949,Middle Atlantic League,dieters,B01663,Dieters,Gary,0,Uniontown,,,37,,
minoraverages/1950TSN,1949,Middle Atlantic League,dieters,P10493,Dieters,,0,Uniontown,,,,36,
minoraverages/1950TSN,1949,Middle Atlantic League,donahue,B01682,Donahue,Richard,0,Youngstown,,,19,,
minoraverages/1950TSN,1949,Middle Atlantic League,donahue,F21783,Donahue,,0,Youngstown,,,,,p18
minoraverages/1950TSN,1949,Middle Atlantic League,donahue,P10277,Donahue,,0,Youngstown,,,,18,
minoraverages/1950TSN,1949,Middle Atlantic League,draveckey,B00920,Draveckey,Andrew,0,Uniontown,,,34,,
minoraverages/1950TSN,1949,Middle Atlantic League,draveckey,F21335,Draveckey,,0,Uniontown,,,,,c32
minoraverages/1950TSN,1949,Middle Atlantic League,dunham,B00356,Dunham,Arthur,0,Erie,,,77,,
minoraverages/1950TSN,1949,Middle Atlantic League,dunham,F21210,Dunham,,0,Erie,,,,,of35
minoraverages/1950TSN,1949,Middle Atlantic League,dunham,F21854,Dunham,,0,Erie,,,,,p19
minoraverages/1950TSN,1949,Middle Atlantic League,dunham,P10361,Dunham,,0,Erie,,,,19,
minoraverages/1950TSN,1949,Middle Atlantic League,dunlavey,B01971,Dunlavey,John,0,Oil City,,,10,,
minoraverages/1950TSN,1949,Middle Atlantic League,dunlavey,F20449,Dunlavey,,0,Oil City,,,,,3b10
minoraverages/1950TSN,1949,Middle Atlantic League,edmunds,B01359,Edmunds,Arthur,0,Butler,,,22,,
minoraverages/1950TSN,1949,Middle Atlantic League,edmunds,F22191,Edmunds,,0,Butler,,,,,p22
minoraverages/1950TSN,1949,Middle Atlantic League,edmunds,P10665,Edmunds,,0,Butler,,,,22,
minoraverages/1950TSN,1949,Middle Atlantic League,engle,M90052,Engle,Robert,,Butler,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,feltman,B00822,Feltman,Marvin,0,New Castle,,,76,,
minoraverages/1950TSN,1949,Middle Atlantic League,feltman,F20832,Feltman,,0,New Castle,,,,,of76
minoraverages/1950TSN,1949,Middle Atlantic League,fisher,B01722,Fisher,Dale,0,Erie,,,31,,
minoraverages/1950TSN,1949,Middle Atlantic League,fisher,F22085,Fisher,,0,Erie,,,,,p31
minoraverages/1950TSN,1949,Middle Atlantic League,fisher,P10081,Fisher,,0,Erie,,,,31,
minoraverages/1950TSN,1949,Middle Atlantic League,franiak,B00904,Franiak,Walter,0,New Castle,,,65,,
minoraverages/1950TSN,1949,Middle Atlantic League,franiak,F20095,Franiak,,0,New Castle,,,,,1b27
minoraverages/1950TSN,1949,Middle Atlantic League,franiak,F20784,Franiak,,0,New Castle,,,,,of37
minoraverages/1950TSN,1949,Middle Atlantic League,gabrielli,B01143,Gabrielli,David,0,Erie,,,32,,
minoraverages/1950TSN,1949,Middle Atlantic League,gabrielli,F21403,Gabrielli,,0,Erie,,,,,c24
minoraverages/1950TSN,1949,Middle Atlantic League,galinkin,B01007,Galinkin,Norman,0,Johnstown,,,136,,
minoraverages/1950TSN,1949,Middle Atlantic League,galinkin,F20080,Galinkin,,0,Johnstown,,,,,1b135
minoraverages/1950TSN,1949,Middle Atlantic League,gardner,B00783,Gardner,Robert,0,Youngstown,,,136,,
minoraverages/1950TSN,1949,Middle Atlantic League,gardner,F20369,Gardner,,0,Youngstown,,,,,3b129
minoraverages/1950TSN,1949,Middle Atlantic League,garrett,B00475,Garrett,George,0,Youngstown,,,12,,
minoraverages/1950TSN,1949,Middle Atlantic League,gazzola,B01300,Gazzola,John,0,New Castle,,,36,,
minoraverages/1950TSN,1949,Middle Atlantic League,gazzola,F20604,Gazzola,,0,New Castle,,,,,ss28
minoraverages/1950TSN,1949,Middle Atlantic League,giardullo,B01779,Giardullo,Michael,0,New Castle,,,40,,
minoraverages/1950TSN,1949,Middle Atlantic League,giardullo,F22134,Giardullo,,0,New Castle,,,,,p36
minoraverages/1950TSN,1949,Middle Atlantic League,giardullo,P10575,Giardullo,,0,New Castle,,,,36,
minoraverages/1950TSN,1949,Middle Atlantic League,gilkerson,B01765,Gilkerson,Richard,0,Butler,,,36,,
minoraverages/1950TSN,1949,Middle Atlantic League,gilkerson,F22048,Gilkerson,,0,Butler,,,,,p36
minoraverages/1950TSN,1949,Middle Atlantic League,gilkerson,P10168,Gillkerson,,0,Butler,,,,36,
minoraverages/1950TSN,1949,Middle Atlantic League,gipp,B01345,Gipp,Myron,0,New Castle,,,84,,
minoraverages/1950TSN,1949,Middle Atlantic League,gipp,F21362,Gipp,,0,New Castle,,,,,c84
minoraverages/1950TSN,1949,Middle Atlantic League,gonzales,B01523,Gonzales,Rigoberto,0,New Castle,,,15,,
minoraverages/1950TSN,1949,Middle Atlantic League,gorski,B01489,Gorski,Joseph,0,Uniontown,,,12,,
minoraverages/1950TSN,1949,Middle Atlantic League,gorski,F21961,Gorski,,0,Uniontown,,,,,p12
minoraverages/1950TSN,1949,Middle Atlantic League,gorski,P10385,Gorski,,0,Uniontown,,,,12,
minoraverages/1950TSN,1949,Middle Atlantic League,graff,B00207,Graff,Milton,0,Uniontown,,,47,,
minoraverages/1950TSN,1949,Middle Atlantic League,graff,F20594,Graff,,0,Uniontown,,,,,ss47
minoraverages/1950TSN,1949,Middle Atlantic League,griffin,M90083,Griffin,Wes,,Uniontown,,,,,
minoraverages/1950TSN,1949,Middle Atlantic League,harig,B00174,Harig,Charles,0,Youngstown,,,137,,
minoraverages/1950TSN,1949,Middle Atlantic League,harig,F20792,Harig,,0,Youngstown,,,,,of135
minoraverages/1950TSN,1949,Middle Atlantic League,hassler,B01055,Hassler,Percy,0,Butler,,,19,,
minoraverages/1950TSN,1949,Middle Atlantic League,hassler,F20482,Hassler,,0,Butler,,,,,3b17
minoraverages/1950TSN,1949,Middle Atlantic League,haven,F21887,Haven,,0,Butler,,,,,p17
minoraverages/1950TSN,1949,Middle Atlantic League,haven,P10244,Haven,,0,Butler,,,,17,
minoraverages/1950TSN,1949,Middle Atlantic League,heater,B01960,Heater,William,0,Youngstown,,,44,,
minoraverages/1950TSN,1949,Middle Atlantic League,heater,F22073,Heater,,0,Youngstown,,,,,p41
minoraverages/1950TSN,1949,Middle Atlantic League,heater,P10486,Heater,,0,Youngstown,,,,41,
