source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1951TSN,1950,Big State League,,M90026,Adair,James,,Gainesville,,,,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01170,Albrecht,Edward,0,Wichita Falls,,,14,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21528,Albrecht,,0,Wichita Falls,,,,,,,,,,,,,,14,
minoraverages/1951TSN,1950,Big State League,,P10176,Albrecht,,0,Wichita Falls,,,,14,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00865,Alotta,Philip,1,Waco,,,27,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00865,Alotta,Philip,2,Austin,,,22,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00865,Alotta,Philip,T,,,,49,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21196,Alotta,,1,Waco,,,,,,,,,yes,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21196,Alotta,,2,Austin,,,,,,,,,yes,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21196,Alotta,,T,,,,,,,,,,40,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01275,Altizer,Quentin,0,Greenville,,,24,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21822,Altizer,,0,Greenville,,,,,,,,,,,,,,23,
minoraverages/1951TSN,1950,Big State League,,P10081,Altizer,,0,Greenville,,,,23,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00196,Archie,George,0,Texarkana,,,82,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20023,Archie,,0,Texarkana,,,,,81,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,M90018,Archie,George,,Texarkana,,,,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00515,Attyd,Leonard,0,Temple,,,139,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20298,Attyd,,0,Temple,,,,,,16,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20496,Attyd,,0,Temple,,,,,,,117,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00158,Baas,John,0,Waco,,,117,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21158,Baas,,0,Waco,,,,,,,,,114,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01733,Barlow,Frederick,0,Waco,,,15,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20518,Barlow,,0,Waco,,,,,,,12,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00076,Basso,S. James,0,Temple,,,144,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21059,Basso,,0,Temple,,,,,,,,,141,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00045,Belford,Robert,0,Greenville,,,57,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20115,Belford,,0,Greenville,,,,,57,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00397,Bell,Frederick,0,Temple,,,132,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21045,Bell,,0,Temple,,,,,,,,,130,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01572,Bernal,Lazaro,0,Sherman-Denison,,,19,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21442,Bernal,,0,Sherman-Denison,,,,,,,,,,,,,15,,
minoraverages/1951TSN,1950,Big State League,,B00021,Bevan,J. Harold,0,Waco,,,58,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20482,Bevan,,0,Waco,,,,,,,48,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01861,Blanco,Jose,0,Sherman-Denison,,,15,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20604,Blanco,,0,Sherman-Denison,,,,,,,,14,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01291,Boone,Ronald,0,Waco,,,12,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00037,Bower,Albert,0,Austin,,,29,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F22127,Bower,,0,Austin,,,,,,,,,,,,,,20,
minoraverages/1951TSN,1950,Big State League,,P10373,Bower,,0,Austin,,,,20,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00229,Bradsher,Jack,0,Sherman-Denison,,,146,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20832,Bradsher,,0,Sherman-Denison,,,,,,,,,145,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01857,Breeding,Harold,0,Waco,,,13,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21566,Breeding,,0,Waco,,,,,,,,,,,,,,13,
minoraverages/1951TSN,1950,Big State League,,P10633,Breeding,,0,Waco,,,,13,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00833,Bremer,Walter,0,Waco,,,29,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21210,Bremer,,0,Waco,,,,,,,,,18,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00381,Brown,Richard,0,Austin,,,127,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20792,Brown,,0,Austin,,,,,,,,,121,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00879,Budny,Joseph,0,Texarkana,,,24,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21771,Budny,,0,Texarkana,,,,,,,,,,,,,,23,
minoraverages/1951TSN,1950,Big State League,,P10062,Budny,,0,Texarkana,,,,23,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01402,Bumgarner,John,0,Waco,,,52,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21833,Bumgarner,,0,Waco,,,,,,,,,,,,,,45,
minoraverages/1951TSN,1950,Big State League,,P10478,Bumgarner,,0,Waco,,,,45,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00084,Bunch,Junior,0,Temple,,,48,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21957,Bunch,,0,Temple,,,,,,,,,,,,,,37,
minoraverages/1951TSN,1950,Big State League,,P10100,Bunch,,0,Temple,,,,37,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00241,Burns,Glenn,0,Gainesville,,,93,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21182,Burns,,0,Gainesville,,,,,,,,,93,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01489,Bussman,J. Eugene,0,Waco,,,45,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21912,Bussman,,0,Waco,,,,,,,,,,,,,,32,
minoraverages/1951TSN,1950,Big State League,,P10455,Bussman,,0,Waco,,,,32,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01203,Cain,James,1,Waco,,,4,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01203,Cain,James,2,Gainesville,,,10,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01203,Cain,James,T,,,,14,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21961,Cain,,1,Waco,,,,,,,,,,,,,,yes,
minoraverages/1951TSN,1950,Big State League,,F21961,Cain,,2,Gainesville,,,,,,,,,,,,,,yes,
minoraverages/1951TSN,1950,Big State League,,F21961,Cain,,T,,,,,,,,,,,,,,,13,
minoraverages/1951TSN,1950,Big State League,,B00362,Campbell,Fred,0,Austin,,,114,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00531,Campbell,Joseph,0,Greenville,,,133,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20388,Campbell,,0,Greenville,,,,,,77,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20648,Campbell,,0,Austin,,,,,,,,84,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21117,Campbell,,0,Greenville,,,,,,,,,56,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21434,Campbell,,0,Austin,,,,,,,,,,,,,34,,
minoraverages/1951TSN,1950,Big State League,,B01337,Cardinale,Rocco,0,Austin,,,15,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21416,Cardinale,,0,Austin,,,,,,,,,,,,,15,,
minoraverages/1951TSN,1950,Big State League,,B00544,Carlson,Irving,0,Waco,,,148,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20620,Carlson,,0,Waco,,,,,,,,148,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00013,Carswell,Frank,0,Texarkana,,,126,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20190,Carswell,,0,Texarkana,,,,,10,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20552,Carswell,,0,Texarkana,,,,,,,76,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20721,Carswell,,0,Texarkana,,,,,,,,,39,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01368,Castillo,Gilberto,0,Sherman-Denison,,,67,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F20685,Castillo,,0,Sherman-Denison,,,,,,,,59,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01658,Clary,Kenneth,0,Waco,,,35,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F21718,Clary,,0,Waco,,,,,,,,,,,,,,35,
minoraverages/1951TSN,1950,Big State League,,P10527,Clary,,0,Waco,,,,35,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B01477,Clay,Levi,0,Sherman-Denison,,,12,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,F22048,Clay,,0,Sherman-Denison,,,,,,,,,,,,,,12,
minoraverages/1951TSN,1950,Big State League,,F21609,Cole,,1,Wichita Falls,,,,,,,,,,,,,,yes,
minoraverages/1951TSN,1950,Big State League,,F21609,Cole,,2,Gainesville,,,,,,,,,,,,,,yes,
minoraverages/1951TSN,1950,Big State League,,F21609,Cole,,T,,,,,,,,,,,,,,,11,
minoraverages/1951TSN,1950,Big State League,,B00174,Cole (Kisloski),Edward,1,Wichita Falls,,,12,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00174,Cole (Kisloski),Edward,2,Gainesville,,,2,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,B00174,Cole (Kisloski),Edward,T,,,,14,,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,P10654,Cole (Kisloski),,1,Wichita Falls,,,,9,,,,,,,,,,,
minoraverages/1951TSN,1950,Big State League,,P10654,Cole (Kisloski),,2,Gainesville,,,,2,,,,,,,,,,,
