source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1951TSN,1950,California League,,B00059,Acton,James R.,0,Visalia,,,94,,
minoraverages/1951TSN,1950,California League,,F20131,Acton,,0,Visalia,,,,,1b24
minoraverages/1951TSN,1950,California League,,F21335,Acton,,0,Visalia,,,,,c55
minoraverages/1951TSN,1950,California League,,M90052,Acton,James,,Visalia,,,,,
minoraverages/1951TSN,1950,California League,,B00196,Adams,Richard,0,Stockton,,,127,,
minoraverages/1951TSN,1950,California League,,F20046,Adams,,0,Stockton,,,,,1b123
minoraverages/1951TSN,1950,California League,,B00013,Ahtipis,Dan S.,0,Santa Barbara,,,11,,
minoraverages/1951TSN,1950,California League,,B01848,Andrews,Robert S.,0,Ventura,,,19,,
minoraverages/1951TSN,1950,California League,,F21705,Andrews,,0,Ventura,,,,,p19
minoraverages/1951TSN,1950,California League,,P10070,Andrews,,0,Ventura,,,,19,
minoraverages/1951TSN,1950,California League,,B01905,Banaszak,Anthony,0,Ventura,,,11,,
minoraverages/1951TSN,1950,California League,,F21590,Banaszak,,0,Ventura,,,,,p11
minoraverages/1951TSN,1950,California League,,P10348,Banaszak,,0,Ventura,,,,11,
minoraverages/1951TSN,1950,California League,,B00957,Barisoff,William,0,Bakersfield,,,23,,
minoraverages/1951TSN,1950,California League,,F21117,Barisoff,,0,Bakersfield,,,,,of20
minoraverages/1951TSN,1950,California League,,B01428,Barnes,Richard,0,San Jose,,,20,,
minoraverages/1951TSN,1950,California League,,F21544,Barnes,,0,San Jose,,,,,p20
minoraverages/1951TSN,1950,California League,,P10159,Barnes,,0,San Jose,,,,20,
minoraverages/1951TSN,1950,California League,,B00356,Bebernes,Vernon N.,0,Stockton,,,87,,
minoraverages/1951TSN,1950,California League,,F20425,Bebernes,,0,Stockton,,,,,3b64
minoraverages/1951TSN,1950,California League,,F20745,Bebernes,,0,Stockton,,,,,of24
minoraverages/1951TSN,1950,California League,,B01899,Becker,Roger,0,Santa Barbara,,,14,,
minoraverages/1951TSN,1950,California League,,F22004,Becker,,0,Santa Barbara,,,,,p14
minoraverages/1951TSN,1950,California League,,P10622,Becker,,0,Santa Barbara,,,,14,
minoraverages/1951TSN,1950,California League,,B01625,Bellone,Michael W.,0,Bakersfield,,,40,,
minoraverages/1951TSN,1950,California League,,F20327,Bellone,,0,Bakersfield,,,,,2b38
minoraverages/1951TSN,1950,California League,,B00264,Bench,John F.,0,Ventura,,,16,,
minoraverages/1951TSN,1950,California League,,F22209,Bench,,0,Ventura,,,,,p14
minoraverages/1951TSN,1950,California League,,P10503,Bench,,0,Ventura,,,,14,
minoraverages/1951TSN,1950,California League,,B00397,Bernard,Pablo,0,Ventura,,,115,,
minoraverages/1951TSN,1950,California League,,F20211,Bernard,,0,Ventura,,,,,2b20
minoraverages/1951TSN,1950,California League,,F20648,Bernard,,0,Ventura,,,,,ss94
minoraverages/1951TSN,1950,California League,,B00973,Birnel,Earl L.,0,Visalia,,,80,,
minoraverages/1951TSN,1950,California League,,F20334,Birnel,,0,Visalia,,,,,2b16
minoraverages/1951TSN,1950,California League,,F20526,Birnel,,0,Visalia,,,,,3b63
minoraverages/1951TSN,1950,California League,,B01384,Bloxam,Loyal H.,0,Modesto,,,27,,
minoraverages/1951TSN,1950,California League,,F21695,Bloxam,,0,Modesto,,,,,p23
minoraverages/1951TSN,1950,California League,,P10244,Bloxam,,0,Modesto,,,,23,
minoraverages/1951TSN,1950,California League,,B00531,Bollman,William G.,0,Modesto,,,140,,
minoraverages/1951TSN,1950,California League,,F20673,Bollman,,0,Modesto,,,,,ss139
minoraverages/1951TSN,1950,California League,,B01197,Boltz,Kelsey,0,Modesto,,,77,,
minoraverages/1951TSN,1950,California League,,F21416,Boltz,,0,Modesto,,,,,c72
