source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1958TSN,1957,Alabama-Florida League,,B00013,Addison,Dwain,0,Panama City,,,12,,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,F21475,Addison,,0,Panama City,,,,,,,,,,,,,,12,
minoraverages/1958TSN,1957,Alabama-Florida League,,P10019,Addison,,0,Panama City,,,,12,,,,,,,,,,,
researchers/nemec,1957,Alabama-Florida League,,MJWXGKT,Adkins,Dennis,,Fort Walton Beach,,,,,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,B01601,Alsup,Jerry,0,Graceville,,,2,,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,P10611,Alsup,,0,Graceville,,,,1,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,B01787,Andrews,Gerald,0,Pensacola,,,2,,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,P10738,Andrews,,0,Pensacola,,,,2,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,B01649,Bacque,Eugene,0,Montgomery,,,3,,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,B01630,Bancroft,Charles,0,Montgomery,,,9,,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,P10654,Barque,,0,Montgomery,,,,3,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,B00021,Beane,William,0,Fort Walton Beach,,,34,,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,F21515,Beane,,0,Fort Walton Beach,,,,,,,,,,,,,,23,
minoraverages/1958TSN,1957,Alabama-Florida League,,P10024,Beane,,0,Fort Walton Beach,,,,23,,,,,,,,,,,
minoraverages/1958TSN,1957,Alabama-Florida League,,B00037,Beck,William,0,Graceville,,,42,,,,,,,,,,,,
