source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1959TSN,1958,Alabama-Florida League,aceto,B00013,Aceto,Vincent,0,Selma,,,58,,
minoraverages/1959TSN,1958,Alabama-Florida League,aceto,F20924,Aceto,,0,Selma,,,,,of57
minoraverages/1959TSN,1958,Alabama-Florida League,acosta,B00021,Acosta,Teolindo,0,Dothan,,,124,,
minoraverages/1959TSN,1958,Alabama-Florida League,acosta,F21163,Acosta,,0,Dothan,,,,,of124
minoraverages/1959TSN,1958,Alabama-Florida League,adair,B00037,Adair,Elkin,0,Panama City,,,25,,
minoraverages/1959TSN,1958,Alabama-Florida League,adair,F20153,Adair,,0,Panama City,,,,,1b18
minoraverages/1959TSN,1958,Alabama-Florida League,adams,B02432,Adams,Floyd,0,Panama City,,,7,,
minoraverages/1959TSN,1958,Alabama-Florida League,adkins,B02441,Adkins,William,0,Panama City,,,3,,
minoraverages/1959TSN,1958,Alabama-Florida League,adkins,P11067,Adkins,,0,Panama City,,,,3,
minoraverages/1959TSN,1958,Alabama-Florida League,andeits,B00045,Andeits,John,0,Dothan,,,57,,
minoraverages/1959TSN,1958,Alabama-Florida League,andeits,F21255,Andeits,,0,Dothan,,,,,of11
minoraverages/1959TSN,1958,Alabama-Florida League,andeits,F21771,Andeits,,0,Dothan,,,,,p34
minoraverages/1959TSN,1958,Alabama-Florida League,andeits,P10019,Andeits,,0,Dothan,,,,34,
minoraverages/1959TSN,1958,Alabama-Florida League,andersen,B00059,Andersen,Laurits,0,Montgomery,,,13,,
minoraverages/1959TSN,1958,Alabama-Florida League,antoni,B02569,Antoni,Charles,0,Pensacola,,,9,,
minoraverages/1959TSN,1958,Alabama-Florida League,antoni,P11189,Antoni,,0,Pensacola,,,,6,
minoraverages/1959TSN,1958,Alabama-Florida League,applegate,B00068,Applegate,Frank,0,Panama City,,,34,,
minoraverages/1959TSN,1958,Alabama-Florida League,applegate,F20571,Applegate,,0,Panama City,,,,,3b34
minoraverages/1959TSN,1958,Alabama-Florida League,atherton,B02290,Atherton,George,0,Graceville,,,7,,
minoraverages/1959TSN,1958,Alabama-Florida League,bailey,B02654,Bailey,Forrest,0,Selma,,,4,,
minoraverages/1959TSN,1958,Alabama-Florida League,bailey,P11254,Bailey,,0,Selma,,,,4,
minoraverages/1959TSN,1958,Alabama-Florida League,barbee,B00076,Barbee,James L.,0,Fort Walton Beach,,,13,,
minoraverages/1959TSN,1958,Alabama-Florida League,barbee,F22238,Barbee,,0,Fort Walton Beach,,,,,p12
minoraverages/1959TSN,1958,Alabama-Florida League,barbee,P10024,Barbee,,0,Fort Walton Beach,,,,12,
minoraverages/1959TSN,1958,Alabama-Florida League,barnes,B00084,Barnes,Robert,0,Selma,,,15,,
minoraverages/1959TSN,1958,Alabama-Florida League,barnes,P11265,Barnes,,0,Selma,,,,2,
minoraverages/1959TSN,1958,Alabama-Florida League,barnett,B00092,Barnett,George,0,Fort Walton Beach,,,14,,
minoraverages/1959TSN,1958,Alabama-Florida League,barnett,F22378,Barnett,,0,Fort Walton Beach,,,,,p14
minoraverages/1959TSN,1958,Alabama-Florida League,barnett,P10035,Barnett,,0,Fort Walton Beach,,,,14,
minoraverages/1959TSN,1958,Alabama-Florida League,basse,B00101,Basse,Hugh,0,Dothan,,,25,,
minoraverages/1959TSN,1958,Alabama-Florida League,basse,F21752,Basse,,0,Dothan,,,,,p23
minoraverages/1959TSN,1958,Alabama-Florida League,basse,P10043,Basse,,0,Dothan,,,,23,
minoraverages/1959TSN,1958,Alabama-Florida League,beerbower,B00117,Beerbower,Dale,0,Panama City,,,23,,
minoraverages/1959TSN,1958,Alabama-Florida League,beerbower,F22329,Beerbower,,0,Panama City,,,,,p23
minoraverages/1959TSN,1958,Alabama-Florida League,beerbower,P10056,Beerbower,,0,Panama City,,,,23,
minoraverages/1959TSN,1958,Alabama-Florida League,behrends,B00125,Behrends,Charles,0,Dothan,,,16,,
minoraverages/1959TSN,1958,Alabama-Florida League,behrends,F22116,Behrends,,0,Dothan,,,,,p16
minoraverages/1959TSN,1958,Alabama-Florida League,behrends,P10062,Behrends,,0,Dothan,,,,16,
minoraverages/1959TSN,1958,Alabama-Florida League,belcher,B00130,Belcher,Eugene,0,Panama City,,,34,,
minoraverages/1959TSN,1958,Alabama-Florida League,belcher,F21623,Belcher,,0,Panama City,,,,,c32
minoraverages/1959TSN,1958,Alabama-Florida League,belden,B00149,Belden,George,0,Selma,,,19,,
minoraverages/1959TSN,1958,Alabama-Florida League,belden,F21718,Belden,,0,Selma,,,,,p10
minoraverages/1959TSN,1958,Alabama-Florida League,belden,P10070,Belden,,0,Selma,,,,10,
minoraverages/1959TSN,1958,Alabama-Florida League,beltran,B00158,Beltran,Martin,0,Fort Walton Beach,,,11,,
minoraverages/1959TSN,1958,Alabama-Florida League,beltran,F21726,Beltran,,0,Fort Walton Beach,,,,,p11
minoraverages/1959TSN,1958,Alabama-Florida League,beltran,P10081,Beltran,,0,Fort Walton Beach,,,,11,
minoraverages/1959TSN,1958,Alabama-Florida League,berner,B02357,Berner,Ted,0,Montgomery,,,2,,
minoraverages/1959TSN,1958,Alabama-Florida League,berner,P11023,Berner,,0,Montgomery,,,,2,
minoraverages/1959TSN,1958,Alabama-Florida League,berry,M90060,Berry,Cornelius (Neil),,Montgomery,19580522,,,,
minoraverages/1959TSN,1958,Alabama-Florida League,bertschy,B02070,Bertschy,Robert,0,Columbus,,,8,,
minoraverages/1959TSN,1958,Alabama-Florida League,birri.f,B00163,Birri,Frank,0,Graceville,,,123,,
minoraverages/1959TSN,1958,Alabama-Florida League,birri.r,B00174,Birri,Robert,0,Graceville,,,20,,
minoraverages/1959TSN,1958,Alabama-Florida League,birri.f,F20316,Birri,F.,0,Graceville,,,,,2b52
minoraverages/1959TSN,1958,Alabama-Florida League,birri.f,F20547,Birri,F.,0,Graceville,,,,,3b78
minoraverages/1959TSN,1958,Alabama-Florida League,birri.r,F21174,Birri,R.,0,Graceville,,,,,of12
minoraverages/1959TSN,1958,Alabama-Florida League,boone,B00182,Boone,Ronald,0,Columbus,,,36,,
minoraverages/1959TSN,1958,Alabama-Florida League,boone,F21638,Boone,,0,Columbus,,,,,c29
minoraverages/1959TSN,1958,Alabama-Florida League,brannon,B02455,Brannon,Joseph,0,Panama City,,,5,,
minoraverages/1959TSN,1958,Alabama-Florida League,brannon,P11072,Brannon,,0,Panama City,,,,4,
minoraverages/1959TSN,1958,Alabama-Florida League,bridges,B00196,Bridges,Donald,0,Montgomery,,,13,,
minoraverages/1959TSN,1958,Alabama-Florida League,bridges,F21705,Bridges,,0,Montgomery,,,,,p13
minoraverages/1959TSN,1958,Alabama-Florida League,bridges,P10097,Bridges,,0,Montgomery,,,,13,
minoraverages/1959TSN,1958,Alabama-Florida League,brightwell,B00207,Brightwell,William,0,Panama City,,,27,,
minoraverages/1959TSN,1958,Alabama-Florida League,brightwell,F20189,Brightwell,,0,Panama City,,,,,1b16
minoraverages/1959TSN,1958,Alabama-Florida League,brightwell,M90110,Brightwell,William,,Panama City,,,,,
minoraverages/1959TSN,1958,Alabama-Florida League,brightwell,P11080,Brightwell,,0,Panama City,,,,4,
minoraverages/1959TSN,1958,Alabama-Florida League,brophy,B00210,Brophy,Arthur,0,Fort Walton Beach,,,14,,
minoraverages/1959TSN,1958,Alabama-Florida League,brophy,F21854,Brophy,,0,Fort Walton Beach,,,,,p14
minoraverages/1959TSN,1958,Alabama-Florida League,brophy,P10100,Brophy,,0,Fort Walton Beach,,,,14,
minoraverages/1959TSN,1958,Alabama-Florida League,burleson,B00229,Burleson,James,0,Montgomery,,,54,,
minoraverages/1959TSN,1958,Alabama-Florida League,burleson,F20518,Burleson,,0,Montgomery,,,,,3b35
minoraverages/1959TSN,1958,Alabama-Florida League,burleson,F21059,Burleson,,0,Montgomery,,,,,of18
minoraverages/1959TSN,1958,Alabama-Florida League,burttram,B00232,Burttram,Jerry,0,Montgomery,,,58,,
minoraverages/1959TSN,1958,Alabama-Florida League,burttram,F20661,Burttram,,0,Montgomery,,,,,ss58
minoraverages/1959TSN,1958,Alabama-Florida League,byram,B00241,Byram,John,0,Panama City,,,19,,
minoraverages/1959TSN,1958,Alabama-Florida League,byram,F21076,Byram,,0,Panama City,,,,,of19
minoraverages/1959TSN,1958,Alabama-Florida League,caesar,B00255,Caesar,Albert,0,Columbus,,,18,,
minoraverages/1959TSN,1958,Alabama-Florida League,caesar,F20768,Caesar,,0,Columbus,,,,,ss18
minoraverages/1959TSN,1958,Alabama-Florida League,caldwell,B00264,Caldwell,James,0,Pensacola,,,20,,
minoraverages/1959TSN,1958,Alabama-Florida League,caldwell,F21553,Caldwell,,0,Pensacola,,,,,c12
minoraverages/1959TSN,1958,Alabama-Florida League,campbell,B02081,Campbell,Joseph,0,Columbus,,,7,,
minoraverages/1959TSN,1958,Alabama-Florida League,campbell,P10113,Campbell,,0,Columbus,,,,6,
minoraverages/1959TSN,1958,Alabama-Florida League,cantrell,B00278,Cantrell,John,0,Pensacola,,,120,,
minoraverages/1959TSN,1958,Alabama-Florida League,cantrell,F21101,Cantrell,,0,Pensacola,,,,,of120
minoraverages/1959TSN,1958,Alabama-Florida League,cantrell,P11190,Cantrell,,0,Pensacola,,,,1,
minoraverages/1959TSN,1958,Alabama-Florida League,caputo,B00286,Caputo,Louis,0,Pensacola,,,71,,
minoraverages/1959TSN,1958,Alabama-Florida League,caputo,F20334,Caputo,,0,Pensacola,,,,,2b67
minoraverages/1959TSN,1958,Alabama-Florida League,carden,B00293,Carden,Alfred,0,Pensacola,,,22,,
minoraverages/1959TSN,1958,Alabama-Florida League,carden,F21695,Carden,,0,Pensacola,,,,,p19
minoraverages/1959TSN,1958,Alabama-Florida League,carden,P10121,Carden,,0,Pensacola,,,,19,
minoraverages/1959TSN,1958,Alabama-Florida League,carothers,B00308,Carothers,Robert,0,Selma,,,85,,
minoraverages/1959TSN,1958,Alabama-Florida League,carothers,F20699,Carothers,,0,Selma,,,,,ss72
minoraverages/1959TSN,1958,Alabama-Florida League,carothers,P11279,Carothers,,0,Selma,,,,1,
minoraverages/1959TSN,1958,Alabama-Florida League,catton,B00319,Catton,Robert,0,Columbus,,,51,,
minoraverages/1959TSN,1958,Alabama-Florida League,catton,F21491,Catton,,0,Columbus,,,,,c46
minoraverages/1959TSN,1958,Alabama-Florida League,clark,B00324,Clark,Charles,0,Panama City,,,85,,
minoraverages/1959TSN,1958,Alabama-Florida League,clark,F20265,Clark,,0,Panama City,,,,,2b66
minoraverages/1959TSN,1958,Alabama-Florida League,clark,F20810,Clark,,0,Panama City,,,,,of17
minoraverages/1959TSN,1958,Alabama-Florida League,clark,M90129,Clark,Charles,,Panama City,19580602,,,,
minoraverages/1959TSN,1958,Alabama-Florida League,clifford,B00335,Clifford,Jerry,0,Selma,,,72,,
minoraverages/1959TSN,1958,Alabama-Florida League,clifford,F21149,Clifford,,0,Selma,,,,,of72
minoraverages/1959TSN,1958,Alabama-Florida League,clift,B02304,Clift,Frank,0,Graceville,,,3,,
minoraverages/1959TSN,1958,Alabama-Florida League,clift,P10958,Clift,,0,Graceville,,,,1,
minoraverages/1959TSN,1958,Alabama-Florida League,coley,B00343,Coley,Ewart,1,Fort Walton Beach,,,13,,
minoraverages/1959TSN,1958,Alabama-Florida League,coley,B00343,Coley,Ewart,2,Panama City,,,3,,
minoraverages/1959TSN,1958,Alabama-Florida League,coley,B00343,Coley,Ewart,T,,,,16,,
minoraverages/1959TSN,1958,Alabama-Florida League,coley,F21904,Coley,,1,Fort Walton Beach,,,,,p
minoraverages/1959TSN,1958,Alabama-Florida League,coley,F21904,Coley,,2,Panama City,,,,,p
minoraverages/1959TSN,1958,Alabama-Florida League,coley,F21904,Coley,,T,,,,,,p13
minoraverages/1959TSN,1958,Alabama-Florida League,coley,P10137,Coley,,1,Fort Walton Beach,,,,11,
minoraverages/1959TSN,1958,Alabama-Florida League,coley,P10137,Coley,,2,Panama City,,,,2,
minoraverages/1959TSN,1958,Alabama-Florida League,coley,P10137,Coley,,T,,,,,13,
minoraverages/1959TSN,1958,Alabama-Florida League,coller,B00356,Coller,Charles,0,Montgomery,,,44,,
minoraverages/1959TSN,1958,Alabama-Florida League,coller,F21811,Coller,,0,Montgomery,,,,,p38
minoraverages/1959TSN,1958,Alabama-Florida League,coller,P10145,Coller,,0,Montgomery,,,,38,
minoraverages/1959TSN,1958,Alabama-Florida League,corbin,B02168,Corbin,Joseph,0,Dothan,,,5,,
minoraverages/1959TSN,1958,Alabama-Florida League,corbin,P10826,Corbin,,0,Dothan,,,,5,
minoraverages/1959TSN,1958,Alabama-Florida League,cordeiro,B02665,Cordeiro,Raymond,0,Selma,,,7,,
minoraverages/1959TSN,1958,Alabama-Florida League,cordeiro,P10159,Cordeiro,,0,Selma,,,,7,
minoraverages/1959TSN,1958,Alabama-Florida League,courington,B00362,Courington,James,0,Panama City,,,40,,
minoraverages/1959TSN,1958,Alabama-Florida League,courington,F21158,Courington,,0,Panama City,,,,,of26
