source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1959TSN,1958,Western League,,B02289,Acker,Michael,0,Amarillo,,,1,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,P10958,Acker,,0,Amarillo,,,,1,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00013,Aldredge,James,0,Lincoln,,,29,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F20919,Aldredge,,0,Lincoln,,,,,,,,,29,,,,,,
minoraverages/1959TSN,1958,Western League,,B00021,Altman,George,0,Pueblo,,,89,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F20956,Altman,,0,Pueblo,,,,,,,,,84,,,,,,
researchers/mcconnell,1958,Western League,,NWQYCBB,Altman,George,,Pueblo,,,,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00037,Alvarez,Alberto,0,Albuquerque,,,22,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F21609,Alvarez,,0,Albuquerque,,,,,,,,,,,,,15,,
minoraverages/1959TSN,1958,Western League,,B02145,Anderson,Herbert,0,Albuquerque,,,1,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00045,Aspromonte,Robert,0,Des Moines,,,130,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F20768,Aspromonte,,0,Des Moines,,,,,,,,125,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00059,Attyd,Leonard,0,Amarillo,,,16,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F20526,Attyd,,0,Amarillo,,,,,,,16,,,,,,,,
researchers/mcconnell,1958,Western League,,YXWSJDR,Attyd,Leonard,,Amarillo,,,,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00068,Augustoni,William,0,Topeka,,,18,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F21747,Augustoni,,0,Topeka,,,,,,,,,,,,,,16,
minoraverages/1959TSN,1958,Western League,,P11334,Augustoni,,0,Topeka,,,,16,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00076,Baldschun,Jack,0,Albuquerque,,,19,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F22280,Baldschun,,0,Albuquerque,,,,,,,,,,,,,,19,
minoraverages/1959TSN,1958,Western League,,P10019,Baldschun,,0,Albuquerque,,,,19,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00084,Baldwin,Frank,0,Colorado Springs,,,39,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F21381,Baldwin,,0,Colorado Springs,,,,,,,,,,,,,29,,
minoraverages/1959TSN,1958,Western League,,B02464,Basgall,Romanus,0,Lincoln,,,6,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,M90047,Basgall,Romanus (Monty),,Lincoln,,,,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00092,Bauer,Raymond,0,Amarillo,,,45,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F21651,Bauer,,0,Amarillo,,,,,,,,,,,,,,45,
minoraverages/1959TSN,1958,Western League,,P10024,Bauer,,0,Amarillo,,,,45,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00101,Bauta,Eduardo,0,Lincoln,,,48,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F22012,Bauta,,0,Lincoln,,,,,,,,,,,,,,48,
minoraverages/1959TSN,1958,Western League,,P10035,Bauta,,0,Lincoln,,,,48,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00117,Bays,Richard,0,Amarillo,,,40,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F22073,Bays,,0,Amarillo,,,,,,,,,,,,,,40,
minoraverages/1959TSN,1958,Western League,,P10043,Bays,,0,Amarillo,,,,40,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B02478,Bell,William,0,Lincoln,,,5,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,P11102,Bell,,0,Lincoln,,,,5,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00125,Bertell,Richard,0,Pueblo,,,87,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F21488,Bertell,,0,Pueblo,,,,,,,,,,,,,84,,
minoraverages/1959TSN,1958,Western League,,B00130,Bielik,George,0,Des Moines,,,53,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F22329,Bielik,,0,Des Moines,,,,,,,,,,,,,,47,
minoraverages/1959TSN,1958,Western League,,P10056,Bielik,,0,Des Moines,,,,47,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00149,Blanton,E. Hugh,0,Amarillo,,,38,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F21879,Blanton,,0,Amarillo,,,,,,,,,,,,,,37,
minoraverages/1959TSN,1958,Western League,,P10062,Blanton,,0,Amarillo,,,,37,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00158,Bockman,J. Edward,0,Amarillo,,,39,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F20463,Bockman,,0,Amarillo,,,,,,,19,,,,,,,,
minoraverages/1959TSN,1958,Western League,,M90026,Bockman,J. Edward,,Amarillo,,,,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00163,Bone,William,0,Sioux City,,,26,,,,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,F20350,Bone,,0,Sioux City,,,,,,25,,,,,,,,,
minoraverages/1959TSN,1958,Western League,,B00174,Boniar,Francis,0,Des Moines,,,107,,,,,,,,,,,,
